,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-522980.4042939705,-0.0,0.0
1,10,-522980.58316658443,0.09946031231665983,0.049730156158329916
2,20,-522981.6903126177,0.4916150152304908,0.22236406612428256
3,30,-522984.91932430497,1.4229053656497852,0.5824187142068695
4,40,-522992.8086315695,2.9531730582937596,1.1887162407685539
5,50,-523008.2275535675,4.810358041017025,2.0388986771569764
6,60,-523033.45868110424,6.704058593820081,3.0786060307436856
7,70,-523070.01864715817,8.480606526655903,4.243035189275543
8,80,-523118.8024545978,10.089591512398329,5.479392267847288
9,90,-523180.2703494726,11.528001748268434,6.750436278942653
10,100,-523254.5941856533,12.809015724109491,8.031331606718595
11,110,-523341.75761511264,13.949318362143828,9.305842318476062
12,120,-523441.6219796053,14.964977366948727,10.563442967650918
13,130,-523553.96967479686,15.87043745142582,11.797385131713236
14,140,-523678.5330314471,16.678494683522153,13.003447096564196
15,150,-523815.0138497162,17.40049679800723,14.179124180909277
16,160,-523963.0969252418,18.046502372715636,15.323093939990212
17,170,-524122.4593494303,18.62543324423459,16.434853999262124
18,180,-524292.7770749683,19.1451738840871,17.514471245055756
19,190,-524473.7293979543,19.6126813529263,18.562404824222902
20,200,-524665.0020555484,20.034095620387262,19.579380408230644
21,210,-524866.2893019582,20.41480487786467,20.566299581546627
22,220,-525077.2952273692,20.7595310748962,21.524173888782386
23,230,-525297.7345485865,21.07240830869413,22.454077246009543
24,240,-525527.3330011443,21.357064502150777,23.35711192260205
25,250,-525765.8274618387,21.61667673994088,24.234384301195675
26,260,-526012.9658824231,21.854015243938193,25.08698735991638
27,270,-526268.5070578748,22.071516505928624,25.915988670985097
28,280,-526532.2203256156,22.271319525374565,26.722422592513613
29,290,-526803.8851968826,22.45529538935221,27.50728499222896
30,300,-527083.2909395586,22.625098797725514,28.27153023752471
31,310,-527370.2361571172,22.782182446395755,29.01606977307383
32,320,-527664.5283518987,22.92782181436195,29.741771544510268
33,330,-527965.9834817987,23.063153517572246,30.44946048032289
34,340,-528274.4255415066,23.18919523677323,31.13991977729748
35,350,-528589.6861440772,23.30682264668571,31.813891963547217
36,360,-528911.6041372755,23.416819244984033,32.47208017341036
37,370,-529240.0251750948,23.519918551118515,33.11515051121242
38,380,-529574.8014210943,23.616744251624887,33.743733883279496
39,390,-529915.7911450866,23.70784151996192,34.35842720432265
40,400,-530262.8584357044,23.793711595120897,34.95979528541503
41,410,-530615.8728499707,23.874822107490065,35.54837304751855
42,420,-530974.7091619095,23.951593291730447,36.12466743006081
43,430,-531339.2470642279,24.02436779680141,36.68915855935485
44,440,-531709.3709293449,24.093514505273134,37.24230161083107
45,450,-532084.9695275985,24.159280511303223,37.78452799851658
46,460,-532465.9358917851,24.2218902833353,38.31624586476538
47,470,-532852.166906979,24.281771247257645,38.837843996284946
48,480,-533243.5633675151,24.339067121408846,39.349692660862644
49,490,-533640.0296235913,24.393829266412684,39.85214123521146
50,500,-534041.4733991796,24.446368242061034,40.345521542799546
51,510,-534447.805670217,24.49693559870637,40.830151260501594
52,520,-534858.9405254378,24.545584955578633,41.306332535740516
53,530,-535274.7949996652,24.59241447510733,41.77435168584053
54,540,-535695.2888708926,24.63765270407886,42.234482009909705
55,550,-536120.3446419248,24.68143000001138,42.6869850602001
56,560,-536549.8873294615,24.723806943954088,43.132109972849136
57,570,-536983.8444150935,24.76479035227963,43.57009325222461
58,580,-537422.1456501333,24.804520097590284,44.001160325121596
59,590,-537864.7229885095,24.843268291981076,44.42552856689435
60,600,-538311.5105363895,24.880950481281445,44.84340599287097
61,610,-538762.4444556826,24.917727031392904,45.25499091107339
62,620,-539217.4627229667,24.953587708063424,45.660473185814034
63,630,-539676.5054159912,24.98836599643114,46.06003216141397
64,640,-540139.5139983877,25.022607625462115,46.45384164853894
65,650,-540606.4320055038,25.05625063720799,46.84207116012985
66,660,-541077.2044035747,25.089067749615154,47.22488024471967
67,670,-541551.7778261778,25.121291046557694,47.60242126103548
68,680,-542030.1003043675,25.15278772227471,47.97484055082459
69,690,-542512.1214325512,25.18389666930874,48.342279524220785
70,700,-542997.791962644,25.214853033598,48.70487762216798
71,710,-543487.0643993126,25.244767894313554,49.062763770858865
72,720,-543979.8921083682,25.27425928025031,49.41605951589881
73,730,-544476.2297705215,25.304018450671144,49.7648904002126
74,740,-544976.0335092482,25.333054751640937,50.10937488394265
75,750,-545479.2603573198,25.36148567414784,50.44962074396607
76,760,-545985.8684532371,25.389996216702325,50.78573676392115
77,770,-546495.817069811,25.418339591438198,51.1178303659064
78,780,-547009.0665531296,25.445977465953966,51.44599975926393
79,790,-547525.5781145575,25.47347233716304,51.770339507893354
80,800,-548045.3138722354,25.501385602867117,52.09094767637434
81,810,-548568.2371199811,25.528695189842026,52.40791587460116
82,820,-549094.3118841426,25.55530748652533,52.7213254584596
83,830,-549623.5028884613,25.58232354962989,53.03126088693824
84,840,-550155.7758997018,25.609568544023205,53.337809177767475
85,850,-550691.0974875679,25.636536758581983,53.64105024317104
86,860,-551229.4349479009,25.663065706612542,53.94105727096174
87,870,-551770.7563392668,25.689317188880523,54.23790089530811
88,880,-552315.0303057311,25.715594953857362,54.5316519842323
89,890,-552862.2263712824,25.742344070639355,54.8223832297066
90,900,-553412.3145703585,25.769776600878558,55.11016856577625
91,910,-553965.2659961387,25.79609450307623,55.39507077432062
92,920,-554521.0520690307,25.821562595851915,55.67714213662984
93,930,-555079.6445636337,25.848293349053645,55.95644603503605
94,940,-555641.0163340489,25.8755092562933,56.23305104165046
95,950,-556205.1406766552,25.901651881242422,56.50701121276943
96,960,-556771.9914540699,25.927703598607195,56.778375819264326
97,970,-557341.5427483636,25.95497567940308,57.04720447660365
98,980,-557913.7697839235,25.982244362629856,57.313555482271475
99,990,-558488.6479028263,26.009102761160396,57.577477058363726
100,1000,-559066.1531114762,26.035414453071937,57.839013235483435
101,1010,-559646.2617856774,26.061921121334308,58.09820971924055
102,1020,-560228.9506048101,26.089644327666683,58.35511954410322
103,1030,-560814.1972214478,26.11748578541752,58.60979386905383
104,1040,-561401.9793312137,26.14486979180947,58.862274270017224
105,1050,-561992.2753701446,26.17171835727648,59.11259798967367
106,1060,-562585.063776768,26.19971308996901,59.360808772257585
107,1070,-563180.3236972633,26.228089189002564,59.60695348900335
108,1080,-563778.0349065072,26.255622050142847,59.851068459225644
109,1090,-564378.1769175366,26.284436758488223,60.0931930758321
110,1100,-564980.7303407094,26.313067749171672,60.33336874005617
111,1110,-565585.6758026755,26.341661763840317,60.57162972753285
112,1120,-566192.9941631841,26.37027207277731,60.80801029050053
113,1130,-566802.6671785401,26.398218002397254,61.04254099374375
114,1140,-567414.6759399704,26.42916857093781,61.275264674103525
115,1150,-568029.0030563525,26.459824816862483,61.506224796711464
116,1160,-568645.6311092378,26.487728395720396,61.73543875639152
117,1170,-569264.5423514924,26.517738418703,61.96293366793252
118,1180,-569885.719977952,26.549462894321522,62.188755060516996
119,1190,-570509.1475401089,26.57947255153533,62.41293124074436
120,1200,-571134.8086645964,26.61057523114124,62.635487093639675
121,1210,-571762.6870052132,26.642107277678118,62.856455842823195
122,1220,-572392.7675429846,26.67180460285762,63.07585786981217
123,1230,-573025.0337785085,26.705662338973983,63.293728147418
124,1240,-573659.4712753409,26.73920527390402,63.510107126526414
125,1250,-574296.0653200442,26.768832190282588,63.72500183139199
126,1260,-574934.8005577856,26.802065025520278,63.93843456104804
127,1270,-575575.6628878807,26.83731803803785,64.15045069437618
128,1280,-576218.6384323018,26.86968095600605,64.36106911804382
129,1290,-576863.7131543119,26.90328544705699,64.5703051094606
130,1300,-577510.8730821168,26.939194228179986,64.778193695136
131,1310,-578160.1055247576,26.973125756081213,64.98475684229342
132,1320,-578811.3967147713,27.008134648588396,65.19001124429342
133,1330,-579464.7339641366,27.044724674010457,65.39398668189969
134,1340,-580120.1046306526,27.080129163444127,65.59670383724296
135,1350,-580777.4961552972,27.116215291520156,65.79817952232115
136,1360,-581436.8961671797,27.153737937216647,65.99843986821361
137,1370,-582098.2927806182,27.190841962306877,66.1975064365979
138,1380,-582761.6740972177,27.22909849971805,66.39539924007985
139,1390,-583427.028337899,27.26868696085023,66.59214419608179
140,1400,-584094.3445195745,27.305415919399817,66.78775234066852
141,1410,-584763.6109993412,27.34498498518058,66.98223971510015
142,1420,-585434.8164893369,27.38754848974661,67.17564277685597
143,1430,-586107.9511033325,27.42582923424468,67.36797231456148
144,1440,-586783.0032614907,27.467276904545315,67.55923931162542
145,1450,-587459.9627679486,27.510534148431276,67.74947571173396
146,1460,-588138.8198327847,27.550200124323805,67.9386896230164
147,1470,-588819.5635454333,27.593360371951086,68.1268945906937
148,1480,-589502.1844041127,27.638726350291932,68.31412363345298
149,1490,-590186.6727202982,27.6818603015563,68.50038985762366
150,1500,-590873.0189014814,27.72652485233351,68.68570375579438
151,1510,-591561.213267056,27.771979837314575,68.87008570343896
152,1520,-592251.2471388107,27.817515987948585,69.05355088837823
153,1530,-592943.1106296649,27.866112518892844,69.23612160236661
154,1540,-593636.7957750842,27.913418042851845,69.41781531021115
155,1550,-594332.2932504485,27.959460088284906,69.59863509760616
156,1560,-595029.5946498103,28.00877818143971,69.77859862928307
157,1570,-595728.6912157711,28.06080782601718,69.95773598424275
158,1580,-596429.5752625318,28.10986354037327,70.13605687863019
159,1590,-597132.2384314953,28.15916107493103,70.3135629639888
160,1600,-597836.6722964026,28.21398897888116,70.49028250053816
161,1610,-598542.8697128986,28.267295356607065,70.66623784763942
162,1620,-599250.8228275182,28.31836603374127,70.84142684348335
163,1630,-599960.5239248254,28.374826429942154,71.01586855266214
164,1640,-600671.965547778,28.43346113489196,71.18959527904808
165,1650,-601385.1412843423,28.486736389240836,71.36260610416065
166,1660,-602100.0432585584,28.543784076173324,71.5349048010059
167,1670,-602816.6645193475,28.60453681267973,71.70652238003385
168,1680,-603534.9989895981,28.66360248830193,71.87747304655932
169,1690,-604255.0391404156,28.724387143327483,72.04776478121347
170,1700,-604976.779387897,28.783777538133535,72.21740634435845
171,1710,-605700.212432997,28.847637735910638,72.38641433152952
172,1720,-606425.3324397343,28.913647890905846,72.55481545147921
173,1730,-607152.1337110136,28.973666237235975,72.72260567324847
174,1740,-607880.6095957322,29.04187440768632,72.88979825510032
175,1750,-608610.7541026111,29.116831133142362,73.05644286328607
176,1760,-609342.5630446974,29.18066444355088,73.2225334242772
177,1770,-610076.0297698962,29.248578976804357,73.3880561436279
178,1780,-610811.1484628543,29.326398533704165,73.55305677205324
179,1790,-611547.9152855376,29.39265032146068,73.71753667122393
180,1800,-612286.324082929,29.462153237430474,73.88147836097195
181,1810,-613026.368991195,29.545526034740544,74.04493515075447
182,1820,-613768.0468481674,29.62423325791502,74.20793788219162
183,1830,-614511.3520948711,29.701267344265943,74.37047414206754
184,1840,-615256.2804339022,29.780801341752518,74.53255123634298
185,1850,-616002.827278841,29.85949516523423,74.69417866522998
186,1860,-616750.9881068851,29.943667556595752,74.85537373350525
187,1870,-617500.7585698738,30.03060399400102,75.01616319610038
188,1880,-618252.1352782673,30.118537673808703,75.17656142251798
189,1890,-619005.1135195148,30.209027258906012,75.3365819778628
190,1900,-619759.6906491546,30.295430604251766,75.4962248567739
191,1910,-620515.8619140784,30.386255442095536,75.6554948454679
192,1920,-621273.6240054322,30.48437107913196,75.81442639980087
193,1930,-622032.9739223471,30.58282756231674,75.97304290603788
194,1940,-622793.9082723514,30.679137842188908,76.13134297214856
195,1950,-623556.4243404733,30.776325225685387,76.28932656946563
196,1960,-624320.5181347019,30.883870009902495,76.44702560656879
197,1970,-625086.1878509534,30.990676873153443,76.6044675295343
