,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-483249.33385328506,-0.0,0.0
1,10,-483249.5632135351,0.23889413769938986,0.11944706884969493
2,20,-483251.53531873215,1.2370861572009744,0.5481656769996334
3,30,-483259.5776995432,3.121707536114264,1.3777218056522544
4,40,-483278.47850732325,5.384338273148751,2.571048679148226
5,50,-483311.2149526995,7.541232148832933,3.9982141781751133
6,60,-483359.26507864584,9.442364853460457,5.539201130846778
7,70,-483423.18206304644,11.082977943109293,7.117706150285814
8,80,-483503.0007489915,12.500572549132634,8.690633216257266
9,90,-483598.48047592543,13.735649687123072,10.235010649862671
10,100,-483709.2392820828,14.820610127484537,11.739132805521514
11,110,-483834.8262207472,15.77946168220515,13.197411570177794
12,120,-483974.7602556841,16.630169429787212,14.60758355470098
13,130,-484128.55182623153,17.386817236144275,15.969231020793817
14,140,-484295.71512738464,18.060959704793635,17.282989035816723
15,150,-484475.775330904,18.66245115223137,18.550105016062304
16,160,-484668.2727410989,19.199913133704086,19.77218400656493
17,170,-484872.7653719824,19.68089787011849,20.95103122934961
18,180,-485088.8301376474,20.112068614087203,22.088549739319568
19,190,-485316.06340804935,20.499329246541297,23.18667434473682
20,200,-485554.081020005,20.847858104738393,24.247326830158997
21,210,-485802.5179267406,21.162204812103315,25.27238530211325
22,220,-486061.02761857206,21.446367019496392,26.263664753710323
23,230,-486329.28140697867,21.70384154198253,27.222904828188614
24,240,-486606.96761172,21.93768345059364,28.151762542293
25,250,-486893.7906985941,22.150570283556583,29.051809019851497
26,260,-487189.470410619,22.344845232347115,29.92452898768315
27,270,-487493.74090266327,22.522557357423686,30.771321945351517
28,280,-487806.3498944908,22.68550001984118,31.593504555499383
29,290,-488127.05785837304,22.83525082778063,32.392313991308036
30,300,-488455.6372355338,22.973196184073394,33.16891181554456
31,310,-488791.8717117763,23.100549494345614,33.924387926585766
32,320,-489135.55550482223,23.21838890356014,34.65976476117721
33,330,-489486.4927258174,23.327661884095892,35.37600151028164
34,340,-489844.4967602401,23.42920583300293,36.07399807737092
35,350,-490209.38969365746,23.523769930761773,36.75459907812765
36,360,-490581.00178722624,23.612012439110604,37.41859755149126
37,370,-490959.1709699898,23.694522829266475,38.066738423150674
38,380,-491343.74238358915,23.771817129515643,38.699721745093846
39,390,-491734.5679466781,23.84437309057984,39.31820590349234
40,400,-492131.50594535156,23.912616852321662,39.92281070505123
41,410,-492534.42069063877,23.976910201457184,40.514119759625466
42,420,-492943.1821239663,24.037607178662498,41.092683093767846
43,430,-493357.66554211307,24.094997272214126,41.65901947087623
44,440,-493777.7512617988,24.149351284705304,42.21361830417955
45,450,-494203.32434453827,24.200933729975045,42.756942014263046
46,460,-494634.27435534465,24.24995817842712,43.28942777986886
47,470,-495070.4950880568,24.29663767227182,43.81148915066224
48,480,-495511.88436904567,24.34117936359263,44.323517971220284
49,490,-495958.3438210836,24.383743726968532,44.825885634424054
50,500,-496409.778698883,24.424420971554284,45.31894355563928
51,510,-496866.0976510304,24.463365320980593,45.8030246802664
52,520,-497327.2125654976,24.5007754940831,46.27844597492877
53,530,-497793.0384341701,24.53675344109939,46.74550916072768
54,540,-498263.49318249227,24.571377776030452,47.20450072396125
55,550,-498738.4975217937,24.60476658731208,47.655693177395015
56,560,-499217.97482006176,24.636970842455128,48.09934582759379
57,570,-499701.85098511714,24.668067937207525,48.53570534239698
58,580,-500190.0542939473,24.69825495009718,48.96500789419879
59,590,-500682.5153733088,24.727518402186895,49.38747912584441
60,600,-501179.16704710876,24.755853104376087,49.80333314241071
61,610,-501679.94418075617,24.783441547052817,50.212774881780945
62,620,-502184.7837023398,24.81023537816059,50.61600038865364
63,630,-502693.6244252836,24.836298732273146,51.01319641402807
64,640,-503206.40696104063,24.861882954463454,51.404543356611974
65,650,-503723.07374837116,24.886996316163277,51.79021525039498
66,660,-504243.568896588,24.911406708823055,52.17037646169338
67,670,-504767.83814611484,24.935152500022333,52.54518246740263
68,680,-505295.82865438313,24.95848131256066,52.91478393996004
69,690,-505827.4892020675,24.981486373911366,53.27932744848441
70,700,-506362.7698717739,25.004232169521856,53.6389543704172
71,710,-506901.62227910646,25.026339303226322,53.99379785484999
72,720,-507443.99922183296,25.04802306205966,54.34398428552668
73,730,-507989.85470223177,25.069956833116933,54.689640923227856
74,740,-508539.1441402598,25.091180900158154,55.030887962413544
75,750,-509091.82408800535,25.11192984969961,55.36783583416036
76,760,-509647.8518591733,25.133009766531234,55.700597448289045
77,770,-510207.1865030321,25.15365522981727,56.02928162032331
78,780,-510769.78747796384,25.173859040965905,56.35398793518179
79,790,-511335.6157519445,25.194139576284215,56.67481540606677
80,800,-511904.63276805746,25.214277107152157,56.99186121758321
81,810,-512476.8015272246,25.234043382162284,57.3052161493928
82,820,-513052.08519670466,25.254118965234433,57.61497037955851
83,830,-513630.4485584959,25.273802395613107,57.92121073149465
84,840,-514211.8567077739,25.29322413720662,58.22401745873358
85,850,-514796.27573550004,25.313148862354744,58.5234732399731
86,860,-515383.6726112895,25.332746018678698,58.81965752271935
87,870,-515974.01498255704,25.35194925263659,59.11264178757847
88,880,-516567.27118737187,25.37128047629983,59.402497648058485
89,890,-517163.41029823595,25.391201608015272,59.68929985080976
90,900,-517762.40216367075,25.410912923762226,59.97311878932014
91,910,-518364.21738991846,25.429477717162744,60.25401293282484
92,920,-518968.82687904686,25.44889334762682,60.53204454084043
93,930,-519576.2022740041,25.46952092237777,60.807286652001494
94,940,-520186.31633066107,25.489141191751763,61.079800098440316
95,950,-520799.14179074456,25.508526074838436,61.3496360370882
96,960,-521414.6522253356,25.52819280833944,61.616850775025526
97,970,-522032.8217395165,25.548353728921004,61.8815026575634
98,980,-522653.6248670136,25.56832108493836,62.143645820338136
99,990,-523277.037091888,25.58772738127598,62.40332738448851
100,1000,-523903.033558114,25.608549349271925,62.66060107760495
101,1010,-524531.5909199691,25.629194535425775,62.91552102502173
102,1020,-525162.6856689542,25.64965493855103,63.168131828332115
103,1030,-525796.2949241039,25.670420991518768,63.418479125105655
104,1040,-526432.3964680055,25.690900813648625,63.66660676545871
105,1050,-527070.9680237693,25.71219056448914,63.91255971436622
106,1060,-527711.9883827544,25.733473175001564,64.15638302448352
