,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-514624.5894715654,-0.0,0.0
1,10,-514624.73761004244,0.10332385884103135,0.05166192942051567
2,20,-514625.7499088415,0.5494707846606616,0.2406915550061967
3,30,-514629.1668413502,1.5980657306339707,0.6444035396103571
4,40,-514637.89976181084,3.2324281166598663,1.3148013426318355
5,50,-514654.9036157331,5.13242388793151,2.23209724600747
6,60,-514682.3738959468,7.022141690235005,3.3305181089868716
7,70,-514721.6997812194,8.774181621514437,4.542423841852725
8,80,-514773.6623080176,10.354602195636833,5.8163137377596295
9,90,-514838.6341274001,11.767763694985476,7.117241024708347
10,100,-514916.7237310666,13.028876306576423,8.422449489758584
11,110,-515007.86964555853,14.154165985219876,9.717264486233763
12,120,-515111.90065934195,15.158418619749138,10.992236443203002
13,130,-515228.57485820865,16.054810757971435,12.241329940486322
14,140,-515357.6056496831,16.855147239970393,13.46079220623142
15,150,-515498.6794885756,17.570096091752923,14.648431620241173
16,160,-515651.468203567,18.20932671905028,15.80314294993659
17,170,-515815.6377085206,18.781542250537328,16.924582711393303
18,180,-515990.8540742486,19.29454498068954,18.012940595676625
19,190,-516176.78779258445,19.755292240717964,19.068776290071398
20,200,-516373.1167115539,20.169925734924625,20.092900545042355
21,210,-516579.52796557616,20.543876938935142,21.086288615532972
22,220,-516795.71920032904,20.881929413051694,22.05001784749256
23,230,-517021.39933273726,21.18824844575719,22.98522124898154
24,240,-517256.28883349156,21.466483921883636,23.89305376066768
25,250,-517500.1198276301,21.719840103251055,24.774668977771945
26,260,-517752.6359398572,21.95112219454896,25.631202745116752
27,270,-518013.5920666882,22.16277229010592,26.463761419472576
28,280,-518282.75400344527,22.356925608799763,27.273413942991464
29,290,-518559.8980424723,22.535467488990992,28.061187300347953
30,300,-518844.81053218874,22.70004839221656,28.828063983131866
31,310,-519137.28742168954,22.852114047711062,29.574980607642644
32,320,-519437.13379212184,22.99294221336021,30.3028278143669
33,330,-519744.163399678,23.12365966250069,31.012451016185512
34,340,-520058.19822982163,23.24526481197679,31.704651625508266
35,350,-520379.0680560453,23.358641076643888,32.380188627619646
36,360,-520706.61003788846,23.46456285011965,33.039780206394795
37,370,-521040.6683022144,23.56373375268299,33.68410574714217
38,380,-521381.0935824554,23.656784025739654,34.31380805566077
39,390,-521727.7428551432,23.74425034435416,34.92949499563692
40,400,-522080.4790049442,23.826630623661913,35.53174134438595
41,410,-522439.17048534827,23.904387148439127,36.1210911436261
42,420,-522803.69105805666,23.977902592576022,36.69805928141067
43,430,-523173.9194688689,24.04754382137174,37.263133105324954
44,440,-523549.73920887633,24.11362791537543,37.8167742069374
45,450,-523931.0382605954,24.176433733271487,38.359419747456556
46,460,-524317.7088396191,24.236261003415017,38.89148440853969
47,470,-524709.6472156404,24.293343929800937,39.413361857182466
48,480,-525106.75347993,24.347885985625908,39.92542549857316
49,490,-525508.9313570086,24.400078232941485,40.428029701055486
50,500,-525916.0880252289,24.450081123068124,40.92151090241822
51,510,-526328.1339295874,24.498120199688092,41.40618936266545
52,520,-526744.9826354263,24.54435842983665,41.882370458122736
53,530,-527166.5507140876,24.588828644572754,42.350343986116044
54,540,-527592.757521339,24.631693092343554,42.81038530000513
55,550,-528023.5251051119,24.673150578077028,43.26275790123326
56,560,-528458.7781058386,24.71322857243956,43.70771309666451
57,570,-528898.4436056475,24.752048200540756,44.14549015303346
58,580,-529342.4509964613,24.789733712799915,44.576317983835175
59,590,-529790.7319645695,24.826278069464024,45.000414771836944
60,600,-530243.2202551619,24.861799578240777,45.417988622018306
61,610,-530699.8516984539,24.896406060812296,45.82923918730812
62,620,-531160.5640469146,24.930183211382158,46.23435795405385
63,630,-531625.2969445093,24.963129942311028,46.633527897568996
64,640,-532093.9918278359,24.995251172035978,47.026923376257756
65,650,-532566.5917968772,25.026775760590727,47.414712435736135
66,660,-533043.0416407398,25.05766965189236,47.797056926129144
67,670,-533523.2877420209,25.08779636659315,48.17411011777003
68,680,-534007.2779200993,25.11740862800517,48.54601930686185
69,690,-534494.9614760402,25.14666112898839,48.912928317103066
70,700,-534986.2891457106,25.175313816405737,49.27497416931437
71,710,-535481.212984627,25.203439737620744,49.63228685166832
72,720,-535979.6862649313,25.231285374378782,49.984993123449385
73,730,-536481.6636141927,25.258691743732093,50.333215120964454
74,740,-536987.1007649156,25.285712775506703,50.677069269580535
75,750,-537495.9546227962,25.312487777700984,51.016668598743856
76,760,-538008.1832177514,25.338996902282815,51.35212244425057
77,770,-538523.745624881,25.365096869558325,51.68353479247017
78,780,-539042.6019847464,25.390817748714305,52.011004865936414
79,790,-539564.7133006643,25.4166013259528,52.33463108352589
80,800,-540090.0416839202,25.442195473704597,52.654509370590674
81,810,-540618.550141676,25.467330890160405,52.970728838536886
82,820,-541150.2024808308,25.492497618612717,53.28337664342252
83,830,-541684.9634423865,25.517599784096937,53.59253918269969
84,840,-542222.7986424335,25.54230334572506,53.89829718324181
85,850,-542763.6743815471,25.566956686088815,54.20072856601618
86,860,-543307.5578056293,25.591659442987293,54.499911146567314
87,870,-543854.4168297366,25.61586777644394,54.79591749515821
88,880,-544404.2200662405,25.6401055844035,55.088817544150515
89,890,-544956.9366883979,25.664932397578504,55.378684975713256
90,900,-545512.5369202992,25.689450468518835,55.66558915845235
91,910,-546070.9913481368,25.71348264573601,55.949591199401766
92,920,-546632.2713078994,25.73758333009907,56.23075224135391
93,930,-547196.3486376101,25.76201763741569,56.50913588279509
94,940,-547763.1959491214,25.786403630266165,56.784803075401584
95,950,-548332.7863647769,25.81067547781263,57.057810457248706
96,960,-548905.0935280584,25.834862394165384,57.32821269262785
97,970,-549480.0917447765,25.858952412667055,57.59606283673492
98,980,-550057.755632993,25.88348954715773,57.861415026010945
99,990,-550638.060610307,25.908019740259483,58.12432223069627
100,1000,-551220.9824275386,25.93257487867966,58.38483368963644
101,1010,-551806.4973626013,25.957217020917156,58.64299763839081
102,1020,-552394.5822520357,25.98144019593594,58.89885871371226
103,1030,-552985.2142008445,26.0060936597261,59.152461887778195
104,1040,-553578.3708766097,26.031340664974266,59.40385573715757
105,1050,-554174.0304929361,26.056257787291468,59.653083831466205
106,1060,-554772.1715552856,26.080984976317268,59.90018476354016
107,1070,-555372.7729784705,26.106322843843373,60.14520044040109
108,1080,-555975.8141150846,26.131735212053172,60.388172858834146
109,1090,-556581.2748370307,26.15696007115782,60.62913916981779
110,1100,-557189.1350953325,26.18287393712695,60.86813828854065
111,1110,-557799.3755800206,26.208528816432384,61.10520778800128
112,1120,-558411.9771206485,26.23396260929286,61.34038012861711
113,1130,-559026.9208378993,26.260473245874003,61.57369281739666
