,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-532423.3889272882,-0.0,0.0
1,10,-532423.5251934761,0.07227570965769702,0.03613785482884851
2,20,-532424.3642684506,0.3460302292893175,0.1587832669800264
3,30,-532426.6887542382,1.01440259773226,0.4143579239243991
4,40,-532432.2602141988,2.199532123364042,0.8583665389669477
5,50,-532443.37768297,3.7655909037857773,1.5098671447660306
6,60,-532462.1514811807,5.484064261318418,2.3434315902544762
7,70,-532490.1913389321,7.189773363334824,3.313992185602546
8,80,-532528.6031765713,8.800020351307467,4.377548697797465
9,90,-532578.0894141133,10.28345691978175,5.498853131964279
10,100,-532639.0549737185,11.633417384466153,6.651827163397684
11,110,-532711.6917422713,12.85375735054258,7.817759730372927
12,120,-532796.0404404035,13.95257485737093,8.983378713848651
13,130,-532892.0350062494,14.939580039322022,10.139335231854057
14,140,-532999.5344899464,15.824938672332792,11.279110845290415
15,150,-533118.3462088101,16.61867192588398,12.398242957307957
16,160,-533248.2426499818,17.33033508495427,13.493771659575577
17,170,-533388.9738698398,17.968841371685272,14.56383996544173
18,180,-533540.2766477294,18.542347261385313,15.60740050160821
19,190,-533701.8811576264,19.058229877150712,16.623998068501535
20,200,-533873.5158616136,19.52309413894543,17.613607787163346
21,210,-534054.911034628,19.942803659886724,18.576513799205713
22,220,-534245.8012637756,20.32254945437892,19.513218581737604
23,230,-534445.9272043152,20.66690533925138,20.42437525655405
24,240,-534655.0367558546,20.979886904661527,21.31073678458779
25,250,-534872.8858180706,21.26501723723777,22.173118106512995
26,260,-535099.2387261081,21.52538938981016,23.012368247215637
27,270,-535333.8684594056,21.763715706448412,23.82934981551516
28,280,-535576.5566800382,21.9823744604713,24.624923988936644
29,290,-535827.0936425279,22.183457361932952,25.399939792808436
30,300,-536085.2780260547,22.368802473210962,26.1552265701539
31,310,-536350.9166978736,22.540026815197802,26.89158876430738
32,320,-536623.8244420355,22.698558827023987,27.609802565579592
33,330,-536903.8236587873,22.8456600740872,28.310613912010737
34,340,-537190.7440565501,22.982446781522558,28.994737435321436
35,350,-537484.4223288817,23.10990809243232,29.66285613805084
36,360,-537784.7018437488,23.228923310455905,30.31562161709589
37,370,-538091.4323225103,23.340276227277343,30.953654690169785
38,380,-538404.4695457369,23.444664662360406,31.577546258144135
39,390,-538723.6750471954,23.542712855944394,32.18785833991132
40,400,-539048.9158421064,23.634974828688513,32.78512517726922
41,410,-539380.0641440405,23.721953598069376,33.36985447967746
42,420,-539716.9971133047,23.804104838875325,33.94252879718989
43,430,-540059.5966102495,23.881826612880104,34.503606655941994
44,440,-540407.7489605399,23.95548536154665,35.053523738794325
45,450,-540761.3447291217,24.025415833675652,35.59269422817597
46,460,-541120.2785217402,24.0919081398403,36.12151185973198
47,470,-541484.4487731793,24.155233407302976,36.64035099463217
48,480,-541853.7575682795,24.21564900395464,37.149567906586164
49,490,-542228.11046269,24.273363535184693,37.64950163338945
50,500,-542607.4163223221,24.328589087963337,38.140474907281174
51,510,-542991.5871428417,24.38152713816664,38.62279537794676
52,520,-543380.537947635,24.432307464047298,39.09675599104085
53,530,-543774.1865893762,24.481107376620752,39.56263586752466
54,540,-544172.4536556127,24.528093470237295,40.0207016872766
55,550,-544575.2623433648,24.57335967967799,40.471207842759036
56,560,-544982.5383217164,24.61703204684875,40.91439695065491
57,570,-545394.2096316658,24.65923297046409,41.350500940789054
58,580,-545810.2065821392,24.700064288644477,41.77974159062869
59,590,-546230.4616448585,24.73960841700023,42.20233087777305
60,600,-546654.9093696577,24.777960839623034,42.61847158321906
61,610,-547083.486273927,24.815213937146343,43.02835798314335
62,620,-547516.130797736,24.85139416230959,43.43217584512166
63,630,-547952.7831744298,24.886615337140437,43.83010313430858
64,640,-548393.3853833383,24.92097361646597,44.222311060823266
65,650,-548837.8811005434,24.954451924917617,44.608963489701274
66,660,-549286.2155774509,24.98711207855949,44.99021711582609
67,670,-549738.335612457,25.019040787027773,45.36622267905623
68,680,-550194.1894758536,25.050310270278715,45.73712539653061
69,690,-550653.726865139,25.080925204200415,46.10306468921335
70,700,-551116.8988508858,25.110910247312862,46.46417416865006
71,710,-551583.657784606,25.140355111323775,46.820582567578825
72,720,-552053.9573174879,25.169252071995285,47.1724137946061
73,730,-552527.7522844174,25.197651533721412,47.519786921668846
74,740,-553004.9987019078,25.225597667211126,47.86281680349056
75,750,-553485.653716576,25.253116240565006,48.20161413924215
76,760,-553969.6755445262,25.280255358700998,48.53628571697772
77,770,-554457.0234773963,25.306960116579848,48.866934096290784
78,780,-554947.6577847018,25.33330584570061,49.19365799232909
79,790,-555441.5397110045,25.359365212864997,49.51655328999331
80,800,-555938.6314637726,25.38513717544276,49.83571270881366
81,810,-556438.8961295305,25.410579501345637,50.151225245180825
82,820,-556942.2977114312,25.43573225394357,50.46317660257918
83,830,-557448.8009823782,25.46078248556884,50.771650738701275
84,840,-557958.3716333599,25.48552824020159,51.07672851930401
85,850,-558470.9760918454,25.509923423320107,51.37848646524071
86,860,-558986.5815211174,25.53425876094243,51.67699983111524
87,870,-559505.1558711589,25.558459309913513,51.97234252109483
88,880,-560026.6678082985,25.58243284956552,52.26458495037805
89,890,-560551.0866662471,25.60625392673847,52.55379504161684
90,900,-561078.3824740476,25.629934640630445,52.8400389265371
91,910,-561608.5258900664,25.653478378423994,53.1233806302218
92,920,-562141.4882218592,25.67695446895688,53.40388247371739
93,930,-562677.241368118,25.700361362309195,53.681605125128414
94,940,-563215.7578629182,25.723618879838547,53.95660687094642
95,950,-563757.010765035,25.746794829567214,54.22894407741697
96,960,-564300.9737247771,25.769903135485947,54.498671769385695
97,970,-564847.6209176698,25.792970774078345,54.76584347248136
98,980,-565396.9270462758,25.81602893434458,55.03051136341819
99,990,-565948.8673469125,25.83901799056912,55.29272588761815
100,1000,-566503.4175224416,25.861973901919555,55.552535847989205
101,1010,-567060.5537834241,25.884883318361172,55.809988704223365
102,1020,-567620.2527881681,25.907747209444715,56.065130451778536
103,1030,-568182.4916588736,25.930646257614644,56.3180061361898
104,1040,-568747.2479547611,25.953627425897793,56.56866011470265
105,1050,-569314.4996882096,25.976589113953956,56.81713521303463
106,1060,-569884.2252857487,25.999445907265105,57.0634721522234
107,1070,-570456.4035610176,26.022418757225463,57.30771113566297
108,1080,-571031.0137283994,26.045486248168316,57.54989217816619
109,1090,-571608.0354408376,26.068445968427113,57.79005316039692
110,1100,-572187.4486474383,26.09148238366462,58.028230834973506
111,1110,-572769.2337228479,26.114628407370923,58.26446194346644
112,1120,-573353.3713782531,26.137779572047293,58.49878192070756
113,1130,-573939.8426817617,26.16107536685878,58.73122540730402
114,1140,-574528.6290303436,26.184377240534943,58.96182613778074
115,1150,-575119.7121983275,26.207618290471064,59.190616064087955
116,1160,-575713.0741832203,26.23114885119746,59.41762752734067
117,1170,-576308.6974082118,26.254802893765653,59.64289283647959
118,1180,-576906.5645598387,26.27835478804174,59.866441809812386
119,1190,-577506.6586190853,26.301950686247437,60.088303168620044
120,1200,-578108.9628533345,26.32582324789837,60.30850649666099
121,1210,-578713.4608217862,26.349790956516603,60.52708086056518
122,1220,-579320.1364212462,26.373735671344825,60.74405337489006
123,1230,-579928.9736991834,26.39796617546244,60.959451261101634
124,1240,-580539.9571156076,26.42218105752289,61.173301119344245
125,1250,-581153.071281028,26.446542573103304,61.38562834228796
126,1260,-581768.301094181,26.471072898013517,61.59645845265185
127,1270,-582385.6317564959,26.495687611904668,61.80581612347886
128,1280,-583005.0485879602,26.520594161748704,62.01372592517873
129,1290,-583626.5373304243,26.54541144878576,62.220211187785026
130,1300,-584250.0837674149,26.570494433340993,62.42529458880599
131,1310,-584875.6740396856,26.595726627524616,62.628999205140275
132,1320,-585503.2944836183,26.6209228775234,62.83134644119709
133,1330,-586132.931581505,26.64660137714236,63.03235846342577
134,1340,-586764.5721461483,26.672330941649662,63.232057279489524
135,1350,-587398.2031387761,26.698110267127433,63.43046279228438
136,1360,-588033.8116985116,26.724306874256484,63.6275958103768
137,1370,-588671.3852472375,26.750468611312876,63.82347638607753
138,1380,-589310.911341132,26.776714962971262,64.01812291676325
139,1390,-589952.3777114978,26.80329715551012,64.21155473793188
140,1400,-590595.7723504084,26.830122222949488,64.4037913409833
141,1410,-591241.0833547957,26.85723261977546,64.59485161961057
142,1420,-591888.2991088913,26.884415723359538,64.7847534688015
143,1430,-592537.4080711772,26.911719075180415,64.97351382429042
144,1440,-593188.3989422258,26.93920496078249,65.16114965024752
145,1450,-593841.2605411462,26.966986231607528,65.34767816405656
146,1460,-594495.9818880495,26.99515132796992,65.53311692013521
147,1470,-595152.5521797307,27.023456777774427,65.71748258817097
148,1480,-595810.9607657439,27.05165738848694,65.90078984224382
149,1490,-596471.1971398875,27.080205707511265,66.08305375017953
150,1500,-597133.2509021919,27.109576871007235,66.26429217993136
151,1510,-597797.1119539255,27.13876628240935,66.44452090067934
152,1520,-598462.7702591388,27.167906142119534,66.62375247750023
153,1530,-599130.2158451243,27.197533061542483,66.80200141680834
154,1540,-599799.4390650705,27.227519239758625,66.97928328029957
