,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-577679.4887644869,-0.0,0.0
1,10,-577679.5663905699,0.049262214664486235,0.024631107332243118
2,20,-577680.1321637867,0.22697241528658196,0.10600531848613172
3,30,-577681.6921313226,0.6621256212500156,0.27310269251611313
4,40,-577685.3150113922,1.4930985337239688,0.5700942794399452
5,50,-577692.6462136919,2.694288328566472,1.0261604290120885
6,60,-577705.428844335,4.1131119848170785,1.6383485939368256
7,70,-577725.1546026898,5.601961047554506,2.3812480008302375
8,80,-577752.9634238433,7.069640352809801,3.2232405977061718
9,90,-577789.6741976737,8.470293271006083,4.135664968146012
10,100,-577835.8462051156,9.78503655953682,5.09548864451208
11,110,-577891.8395405287,11.008056869590659,6.085106693833951
12,120,-577957.869132626,12.138060717238115,7.091225445063902
13,130,-578034.0341810914,13.177531981241186,8.103806128073485
14,140,-578120.3522625272,14.131013136450196,9.115313321785653
15,150,-578216.775073904,15.004107760847551,10.120129287734745
16,160,-578323.2097156754,15.801522831013429,11.114063801565498
17,170,-578439.5269207455,16.528212097485074,12.093985275254816
18,180,-578565.5709759012,17.192049733997557,13.057666097530452
19,190,-578701.1686784046,17.79918261418061,14.003622577064377
20,200,-578846.1367910914,18.354027458932247,14.93087280601612
21,210,-579000.2823994621,18.860065119381776,15.838772661998517
22,220,-579163.4106611995,19.323019836499586,16.726981373246232
23,230,-579335.3200540802,19.75068327881744,17.59550359495915
24,240,-579515.8172946466,20.143806254561085,18.4445289052368
25,250,-579704.7067230963,20.5043839699647,19.27427921493945
26,260,-579901.7969385181,20.83747062094624,20.085087483203097
27,270,-580106.9004064644,21.146520677703677,20.87741030683974
28,280,-580319.8342294986,21.43303810710787,21.651745364953243
29,290,-580540.4222686142,21.6994909065426,22.408607341855536
30,300,-580768.4901463465,21.949059089587504,23.14855414690974
31,310,-581003.8744630489,22.18229727422878,23.872150786696878
32,320,-581246.4114753138,22.400644919555646,24.579939851858942
33,330,-581495.9489765471,22.603983017272572,25.272434519897796
34,340,-581752.3336104306,22.797607940516933,25.95017805137031
35,350,-582015.422257339,22.981332032402825,26.61374173499207
36,360,-582285.0764607715,23.153805764811075,27.26362711393449
37,370,-582561.1599175965,23.320256373923662,27.900346349204483
38,380,-582843.5457619622,23.476744669757345,28.524389483980485
39,390,-583132.1086658258,23.624610608804478,29.136173642298672
40,400,-583426.7274259632,23.770467269001543,29.736184106350994
41,410,-583727.2877839103,23.90927156306278,30.324891429689888
42,420,-584033.6795572331,24.039434738113748,30.90265165904857
43,430,-584345.7930205929,24.16959643748701,31.469877224971423
44,440,-584663.5263882537,24.29628197415738,32.027013157354666
45,450,-584986.7816027987,24.41437534744919,32.57437810789124
46,460,-585315.4607483416,24.530603148328275,33.11228593582782
47,470,-585649.4718519801,24.647538814466646,33.64113078629889
48,480,-585988.726067689,24.758655726676807,34.16124130984681
49,490,-586333.1387299397,24.86582534656329,34.67287688536598
50,500,-586682.623600142,24.976660866523126,35.176376405730835
51,510,-587037.1042408353,25.086556406674244,35.67208964583405
52,520,-587396.5024612881,25.18997566696504,36.16024758176208
53,530,-587760.7454822459,25.2930118483667,36.64107220557634
54,540,-588129.7582267935,25.39819511281668,37.114853998167376
55,550,-588503.4757892025,25.4994884361804,37.581836002672205
56,560,-588881.8274701602,25.600511150853748,38.04222552632855
57,570,-589264.7511786581,25.702897622910637,38.496265532982946
58,580,-589652.1827929204,25.807654389453695,38.94420932643843
59,590,-590044.0636892526,25.913042083469918,39.38629115721269
60,600,-590440.3364980181,26.01190436608171,39.82265907848487
61,610,-590840.9443639715,26.113694142497756,40.253471621501376
62,620,-591245.8314726932,26.22451901936438,40.67900635140832
63,630,-591654.9487725543,26.328158607394972,41.09944804775733
64,640,-592068.245491897,26.433822226337952,41.514915923641816
65,650,-592485.6694723164,26.54773252899759,41.925643486931214
66,660,-592907.1806499922,26.654558381909737,42.331785286667575
67,670,-593332.7272382502,26.76589475877699,42.733459242532255
68,680,-593762.2700858946,26.881931239320114,43.13086598491936
69,690,-594195.764642846,27.00283032691824,43.5241999275604
70,700,-594633.172422526,27.12395876651858,43.91361517370679
71,710,-595074.455862124,27.242362252945895,44.2992053578244
72,720,-595519.5741641669,27.37200384037564,44.68113633932662
73,730,-595968.494891122,27.502584135462378,45.05959356327075
74,740,-596421.182574608,27.63797935638582,45.43471053097164
75,750,-596877.6038292353,27.782302239211273,45.80666898299241
76,760,-597337.7304333498,27.92626286145527,46.17560974481603
77,770,-597801.5299952095,28.078530188763562,46.541663276487085
78,780,-598268.9763251767,28.238735955243524,46.90500893277058
79,790,-598740.0424106325,28.395684158056802,47.26574599093291
80,800,-599214.7036200574,28.561923076398728,47.62397753014811
81,810,-599692.9323876544,28.754431479537743,47.97998603999003
82,820,-600174.7118764764,28.95033405731648,48.33400895778322
83,830,-600660.0220839255,29.14607270203991,48.686114136179086
84,840,-601148.8422470697,29.361551648949046,49.03646402816375
85,850,-601641.158080294,29.592601929864273,49.385309297930505
86,860,-602136.9543089244,29.845573258137964,49.732904201686324
87,870,-602636.2200069824,30.113557935642643,50.07949140136043
88,880,-603138.9480327596,30.398878014879305,50.425278724089736
89,890,-603645.1272476643,30.725402964864106,50.77061424529966
90,900,-604154.7594284198,31.083374358073215,51.11591428179818
91,910,-604667.8436582179,31.47656932029634,51.46154787797714
92,920,-605184.385657128,31.93128473329125,51.80803565199749
93,930,-605704.3959234179,32.458037606865595,52.15608082147083
94,940,-606227.8950531115,33.076165556278944,52.50652345083364
95,950,-606754.9086349003,33.83426352332761,52.86053557284032
96,960,-607285.4794131615,34.80198580920717,53.21987098677201
97,970,-607819.6673520769,36.115780163419274,53.587295144803655
98,980,-608357.5646006321,38.11655592377654,53.96793118417991
99,990,-608899.3191744754,40.027010840623106,54.364560028688
100,1000,-609445.2075660307,26.18324875424136,54.697632892866395
101,1010,-609995.1435265065,6.9060439078776845,54.86273747281521
102,1020,-610543.323830931,12.764175856282236,54.959495298484406
103,1030,-611093.7029454318,23.830512588243945,55.137746887918915
104,1040,-611646.4456549906,24.278680217754953,55.37015341198567
105,1050,-612201.5169323526,24.307994820264867,55.60263019239647
106,1060,-612758.9054329802,24.345492849120788,55.83321977910383
107,1070,-613318.5911077763,24.34579737516201,56.06182241781936
108,1080,-613880.5521894033,24.338688048929754,56.28826693745214
109,1090,-614444.7665158636,24.338568710096297,56.51259085938655
110,1100,-615011.2132747335,24.34401429019651,56.7348902803933
111,1110,-615579.8735087987,24.347159216733417,56.95521677916695
112,1120,-616150.7267288965,24.350508523126905,57.173596294866
113,1130,-616723.7542528028,24.34866309365316,57.39004136951844
114,1140,-617298.9367932463,24.350422282243542,57.60457891456463
115,1150,-617876.2539925923,24.358382246457122,57.81728502206097
116,1160,-618455.6908654144,24.35329695283427,58.0281621393835
117,1170,-619037.2262131632,24.348786627451773,58.23718789064588
118,1180,-619620.842626187,24.351943238201784,58.44442873451481
119,1190,-620206.5228052307,24.353903526649557,58.649942260418904
120,1200,-620794.2492829725,24.355689449468798,58.85375162553392
121,1210,-621384.0055833575,7650.791351549146,90.57007396056433
122,1220,-621975.7745029079,7956.538160276628,154.79367720817535
123,1230,-625090.675585137,-7279.463207190749,157.81112630975986
124,1240,-625766.0007589995,-7646.463614365085,97.3872978853382
125,1250,-626430.0404788869,-69.15971002308652,66.27814447119309
126,1260,-627089.6258491669,-28.36747003229138,65.88893630557578
127,1270,-627747.2742654295,-10.324247861883848,65.73572033492529
128,1280,-628404.2453932923,,
129,1290,-629061.256320362,,
130,1300,,,
131,1310,,,
132,1320,,,
133,1330,,,
134,1340,,,
135,1350,,,
136,1360,,,
137,1370,,,
138,1380,,,
139,1390,,,
140,1400,,,
141,1410,,,
142,1420,,,
143,1430,,,
144,1440,,,
145,1450,,,
146,1460,,,
147,1470,,,
148,1480,,,
149,1490,,,
150,1500,,,
151,1510,,,
152,1520,,,
153,1530,,,
154,1540,,,
155,1550,,,
156,1560,,,
157,1570,,,
158,1580,,,
159,1590,,,
160,1600,,,
161,1610,,,
162,1620,,,
163,1630,,,
164,1640,,,
165,1650,,,
166,1660,,,
167,1670,,,
168,1680,,,
169,1690,,,
170,1700,,,
171,1710,,,
172,1720,,,
173,1730,,,
174,1740,,,
175,1750,,,
176,1760,,,
177,1770,,,
178,1780,,,
179,1790,,,
180,1800,,,
181,1810,,,
182,1820,,,
183,1830,,,
184,1840,,,
185,1850,,,
186,1860,,,
187,1870,,,
188,1880,,,
189,1890,,,
190,1900,,,
191,1910,,,
192,1920,,,
193,1930,,,
194,1940,,,
195,1950,,,
196,1960,,,
197,1970,,,
