,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-486526.77921420895,-0.0,0.0
1,10,-486526.91033035243,0.15302069578028749,0.07651034789014374
2,20,-486528.1080982024,0.8580186486040475,0.36752535793129937
3,30,-486533.2933904706,2.3634735203610036,0.9759422734758119
4,40,-486546.5973551679,4.390571239538258,1.9186759318115947
5,50,-486571.1894308603,6.490734017032082,3.116570738457085
6,60,-486608.9923245288,8.44229337934521,4.469168588439061
7,70,-486661.0113433862,10.18566049285291,5.9002402147787505
8,80,-486727.669249752,11.725819992553443,7.360651142374263
9,90,-486809.037030157,13.085042946838072,8.820461722288746
10,100,-486904.975274938,14.286153843466307,10.261716244841955
11,110,-487015.2184633582,15.348802922974581,11.673696797150479
12,120,-487139.4259154978,16.289664320228628,13.050105670628547
13,130,-487277.2137253702,17.12321489241148,14.387426872141079
14,140,-487428.1754371251,17.862265204632422,15.683950103333338
15,150,-487591.89580243576,18.518242311627564,16.939162890076844
16,160,-487767.96000219416,19.101335915946407,18.153354381171084
17,170,-487955.959858999,19.620593833627936,19.32734741776876
18,180,-488155.4979070531,20.083989368958257,20.462312300575284
19,190,-488366.1900187002,20.49851824389043,21.559635584786154
20,200,-488587.6668993986,20.870295624044957,22.620827666015973
21,210,-488819.5749536517,21.204621588093854,23.64745699919076
22,220,-489061.5764829922,21.506117629178334,24.641104342427568
23,230,-489313.3496440091,21.778795434856157,25.603331817761497
24,240,-489574.58809863887,22.02610984953354,26.535661180964233
25,250,-489845.00050034013,22.251069221165356,27.43955985391949
26,260,-490124.3098973681,22.456285544895227,28.31643288343694
27,270,-490412.25306742504,22.644024106265018,29.167618308276726
28,280,-490708.5798277048,22.816253395559023,29.994385184371644
29,290,-491013.0523368896,22.974696419124633,30.79793373622306
30,300,-491325.4444057495,23.1208576977078,31.579396820020342
31,310,-491645.54084279435,23.256035099879977,32.339841788636114
32,320,-491973.1367940578,23.381394035369226,33.0802734107594
33,330,-492308.03713592474,23.49795166975673,33.80163726331594
34,340,-492650.0559249103,23.606574473762816,34.50482234103693
35,350,-492999.01579471544,23.70807388598774,35.190664617803854
36,360,-493354.74749632017,23.803166409238504,35.85995092106533
37,370,-493717.0893950901,23.892414036110836,36.513420914474416
38,380,-494085.887030407,23.97638172548614,37.15177008133615
39,390,-494460.9926322606,24.055615203810074,37.77565411137621
40,400,-494842.2648610469,24.13048735738272,38.38569052646926
41,410,-495229.56829528115,24.20140339365753,38.98246068421285
42,420,-495622.77317904425,24.268751893998676,39.56651346301296
43,430,-496021.7550835638,24.332815009146028,40.13836688544543
44,440,-496426.3945940835,24.393863156746406,40.69850958527168
45,450,-496836.57704859914,24.452143911410626,41.247403063593815
46,460,-497252.1922483561,24.507943731098138,41.7854842442277
47,470,-497673.13425266684,24.561499838135205,42.31316748842656
48,480,-498099.3011580471,24.61287183961838,42.83084412155877
