,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-594011.1772441105,-0.0,0.0
1,10,-594011.5013464438,0.201293910772074,0.100646955386037
2,20,-594013.8110992549,0.812972512608394,0.40453703892417253
3,30,-594020.2013075412,1.7931999025022378,0.9066468174933107
4,40,-594032.7044046514,2.989563053066377,1.5792088495436474
5,50,-594052.810600672,4.2446781417093,2.377372045347874
6,60,-594081.4933405786,5.486917344108223,3.259082971527823
7,70,-594119.3773189365,6.69628551210335,4.1946321915442235
8,80,-594166.8617254666,7.871402747835965,5.164900971291353
9,90,-594224.2085258416,9.01100867082132,6.157475235854508
10,100,-594291.5871240937,10.108733369357651,7.163523497145798
11,110,-594369.0886601725,11.158337419416052,8.176157321041682
12,120,-594456.7474561982,12.153131777246017,9.189734967188269
13,130,-594554.5445669377,13.087603572619265,10.199484826084516
14,140,-594662.4182275602,13.95945221333531,11.201406059024155
15,150,-594780.2700231571,14.768576471105916,12.192243806156327
16,160,-594907.9731481032,15.515913417050626,13.169401982809358
17,170,-595045.3783499661,16.20349081255554,14.130847536285
18,180,-595192.3178521888,16.835495038737996,15.075073435442754
19,190,-595348.6125375106,17.41460478460648,16.001005148686815
20,200,-595514.0747674716,17.94422003132059,16.907889722748948
21,210,-595688.5090509173,18.432410363477544,17.795362136948093
22,220,-595871.7201228171,18.879557697707803,18.663309907130312
23,230,-596063.5149173974,19.286503043348795,19.51166256918659
24,240,-596263.6919467038,19.662387285148725,20.340567442917383
25,250,-596472.0625283007,20.008107825706258,21.150362667872106
26,260,-596688.4344160658,20.325620907894308,21.941402149538046
27,270,-596912.6231117251,20.61770772833257,22.714088877066388
28,280,-597144.4470714399,20.88572545114441,23.46885766249907
29,290,-597383.7284473396,21.13646732813504,24.206238896040308
30,300,-597630.2964774586,21.368489538843267,24.92680223883945
31,310,-597883.987530993,21.577790203518816,25.63097260540381
32,320,-598144.6372028623,21.775194556266058,26.319238894595763
33,330,-598412.0889245863,21.963791483180874,26.992261028979556
34,340,-598686.1969214614,22.134731035184814,27.650556498939114
35,350,-598966.813095735,22.292678531826812,28.294534085625493
36,360,-599253.7975001018,22.43963603629966,28.92466253340972
37,370,-599547.0146137773,22.57870315266478,29.54144175519614
38,380,-599846.3310076715,22.711700778058717,30.145397533499636
39,390,-600151.6255406332,22.83321943368943,30.736969284115187
40,400,-600462.7715686918,22.947435513720862,31.31654581051989
41,410,-600779.6551540878,23.053120894232357,31.88452437510277
42,420,-601102.1595652258,23.15450329208984,32.441308844479494
43,430,-601430.1756171953,23.253310939099205,32.987345029696
44,440,-601763.599469657,23.341561152844193,33.52297737929766
45,450,-602102.3270672229,23.423798624571646,34.04848682156007
46,460,-602446.2589751363,23.50201957570379,34.56420798524049
47,470,-602795.2996715835,23.57973536958459,35.07051296837162
48,480,-603149.3550193771,23.65562537675737,35.567773981325445
49,490,-603508.340135833,23.71926546456511,36.05622006673366
50,500,-603872.1640847651,23.782515961211104,36.536078547412764
51,510,-604240.7432657679,23.850306266770385,37.00773023905204
52,520,-604613.9991629221,23.904320330778063,37.47140600502899
53,530,-604991.852518265,23.952231415503775,37.92721968629485
54,540,-605374.2221797951,24.009808288741624,38.37549717332149
55,550,-605761.0389265474,24.064127345060076,38.816575007078065
56,560,-606152.230239845,24.111758853704828,39.25062336231785
57,570,-606547.7265183534,24.154676151479443,39.677790047647434
58,580,-606947.4609847903,24.192203921603422,40.09822665386601
59,590,-607351.3647600904,24.23961498544963,40.512200601927184
60,600,-607759.3760083023,24.28265274851583,40.919976507476534
61,610,-608171.4366391056,24.314069250892455,41.32162759664498
62,620,-608587.47946698,24.352380942512625,41.71731341513369
63,630,-609007.4521700885,24.387936193818952,42.10725863318221
64,640,-609431.2941391689,24.419098639674303,42.49158789046196
65,650,-609858.9521050041,24.449391763046155,42.87043434291554
66,660,-610290.3707480077,24.480917863478137,43.243968086212405
67,670,-610725.4978194662,24.513534504672865,43.612366409839886
68,680,-611164.2842767637,24.542953385610502,43.97576612704288
69,690,-611606.6784799012,24.567752163810848,44.33425620917697
70,700,-612052.634836923,24.586075109895273,44.68789822098334
71,710,-612502.1013155036,24.61372793232425,45.03684915539635
72,720,-612955.0345828594,24.642230101162568,45.381311865520544
73,730,-613411.391040082,24.666911254075288,45.721389910391004
74,740,-613871.1244566297,24.687140922964318,46.05714636357297
75,750,-614334.196880416,24.701351694529983,46.388627047772744
76,760,-614800.558730899,24.725480607186906,46.71597036130987
77,770,-615270.1767749871,24.741969190043164,47.03930013448115
78,780,-615743.0064160142,24.762871505582062,47.35869862788385
