,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-524841.8468157478,-0.0,0.0
1,10,-524841.964459956,0.12932676953205371,0.06466338476602686
2,20,-524843.0706719576,0.700059056142345,0.30434153356764
3,30,-524847.3728191538,1.9617444240138868,0.8063137016055406
4,40,-524858.2957092902,3.7883379282196983,1.6068133466353174
5,50,-524878.9377706718,5.801541015302064,2.660509689192986
6,60,-524911.404125905,7.735409832000732,3.885281276723253
7,70,-524956.9150503122,9.491542275864049,5.207866068142175
8,80,-525016.0819413998,11.056516361655667,6.5768656461645145
9,90,-525089.1297143861,12.444560747221113,7.959262404724722
10,100,-525176.042338703,13.675106632406822,9.334382222301791
11,110,-525276.6535373365,14.766394874107206,10.689337320927006
12,120,-525390.7031625357,15.734528207976837,12.016142429930914
13,130,-525517.8733416473,16.59381359426188,13.309971371709253
14,140,-525657.8124137283,17.356997354672068,14.568087734155416
15,150,-525810.1510339405,18.035456349505697,15.789162375139131
16,160,-525974.5130859343,18.63937110868281,16.972824600602323
17,170,-526150.523276499,19.177780879233627,18.11935732654965
18,180,-526337.812185912,19.65868887280813,19.229484396261977
19,190,-526536.0197093616,20.089161347132176,20.304221227887318
20,200,-526744.7972611627,20.475347908912234,21.344767066324128
21,210,-526963.8091134813,20.822606843087094,22.352427117453768
22,220,-527192.7330322311,21.135638657870004,23.328558894903104
23,230,-527431.2606258736,21.41853007662288,24.274534538002623
24,240,-527679.097237223,21.674834141554328,25.19171380167536
25,250,-527935.9617557904,21.907628786721034,26.081425422025497
26,260,-528201.586165784,22.119593383936426,26.94495479360485
27,270,-528475.715091766,22.313071977396593,27.783536626068237
28,280,-528758.1052380127,22.490107417991375,28.598350723722252
29,290,-529048.524830671,22.65248543601193,29.390519878482156
30,300,-529346.7530351243,22.801761187787655,30.161109325336295
31,310,-529652.579377074,22.93930804385742,30.911127517883145
32,320,-529965.8031804862,23.0663255611434,31.641527694193062
33,330,-530286.2330306304,23.18387357157189,32.35320984277641
34,340,-530613.6862327995,23.29290108269784,33.04702331744774
35,350,-530947.988349122,23.394224098097816,33.72376918182999
36,360,-531288.9726981514,23.48855725682809,34.384202345131776
37,370,-531636.4799237257,23.57656988342353,35.02903460275411
38,380,-531990.3575604552,23.658865220134558,35.658937756635716
39,390,-532350.4596819872,23.73591501530609,36.27454521755571
40,400,-532716.6464914118,23.808172489632824,36.876453976436466
41,410,-533088.7839684695,23.87610818693065,37.46522818361701
42,420,-533466.7435948581,23.940087430999967,38.041401275522375
43,430,-533850.4020190366,24.000395311368507,38.60547668045329
44,440,-534239.640781572,24.057326006109236,39.15792974915385
45,450,-534634.3460187305,24.11122307194468,39.69921093234589
46,460,-535034.408264655,24.162280371587258,40.22974689322292
47,470,-535439.7222167107,24.21070611261811,40.7499410788485
48,480,-535850.1864263221,24.25674040429294,41.2601761613856
49,490,-536265.7032709569,24.30054767011617,41.76081531274103
50,500,-536686.178538326,24.342278325057265,42.25220286813565
51,510,-537111.5215069746,24.382103475060976,42.73466588153388
52,520,-537541.6444729901,24.42019464269964,43.20851567555365
53,530,-537976.4629614041,24.456567767122685,43.67404757685145
54,540,-538415.8951727638,24.491477181814844,44.131542851145795
55,550,-538859.8622028277,24.524958451715104,44.581269955757314
56,560,-539308.2877074871,24.5570346631809,45.02348336156428
57,570,-539761.0977776707,24.588003121610463,45.45842683753726
58,580,-540218.2209812555,24.61771462049223,45.88633275320899
59,590,-540679.5880915464,24.64637897456123,46.30742204940034
60,600,-541145.131989245,24.674141841649586,46.72190751650923
61,610,-541614.7878148964,24.700716437597293,47.12999025402241
62,620,-542088.4924251288,24.726550610584496,47.531862809069565
63,630,-542566.1847293531,24.75174329135025,47.927712882358165
64,640,-543047.8054743098,24.775810081325517,48.31771630569274
65,650,-543533.2970363756,24.7992368270498,48.70204068216117
66,660,-544022.6034047917,24.822281909454563,49.080851632592385
67,670,-544515.6704122148,24.84437405234198,49.454304999325544
68,680,-545012.4451424914,24.865908663103085,49.82254833953485
69,690,-545512.8762501748,24.886975722401985,50.18572630701966
70,700,-546016.913885287,24.907308550696854,50.54397605759587
71,710,-546524.5093204377,24.92740187291643,50.89743048799865
72,720,-547035.6153758259,24.94695428358406,51.24621830969117
73,730,-547550.1859973895,24.965825470126635,51.590459852361526
74,740,-548068.1762854112,24.98443579612649,51.930272412330666
75,750,-548589.5425787085,25.002899548562763,52.265772164700316
76,760,-549114.2422954269,25.020823734789047,52.59706884415645
77,770,-549642.2340397867,25.03803070949803,52.92426414161891
78,780,-550173.4771600398,25.055027602915708,53.2474579079164
79,790,-550707.9322700647,25.072103939889292,53.56675126136834
80,800,-551245.5607567568,25.08890423923731,53.882241115014764
81,810,-551786.3252365148,25.104826187490662,54.19401482939574
82,820,-552330.1888055934,25.120838267618034,54.50215873537672
83,830,-552877.1156479957,25.136906205694135,54.80676172428939
84,840,-553427.0709218776,25.15223139000591,55.10790453314257
85,850,-553980.020231142,25.167424115774217,55.405663867447586
86,860,-554535.9302912047,25.182474865129855,55.70011727630481
87,870,-555094.7683079899,25.19746551504371,55.99134003409417
88,880,-555656.5024395388,25.212271202821285,56.2794045952207
89,890,-556221.1014264539,25.22661404015361,56.564378686933196
90,900,-556788.534711147,25.241086588619766,56.84632949654624
91,910,-557358.7723489809,25.255470023938752,57.12532407418475
92,920,-557931.7852434611,25.26913475057789,57.40142264707683
93,930,-558507.5445770129,25.28311810679727,57.67468564366572
94,940,-559086.0223561017,25.29744638510767,57.94517727120255
95,950,-559667.1912644457,25.31070914598267,58.21295241489279
96,960,-560251.0243395444,25.323925417195937,58.47806211843708
97,970,-560837.4950925715,25.337661843476166,58.74056406766613
98,980,-561426.5779585775,25.350796726939734,59.00051137164119
99,990,-562018.2474410451,25.36407077028409,59.25795353879512
100,1000,-562612.4788415809,25.377403042221047,59.512941921532914
101,1010,-563209.2478989209,25.390530594976664,59.765524632758755
102,1020,-563808.5306858012,25.40359612230648,60.01574776074558
103,1030,-564410.3040124779,25.41614668266855,60.26365454554616
104,1040,-565014.5447245792,25.42916970448576,60.5092895219539
105,1050,-565621.2304742611,25.44218435381481,60.75269840436085
106,1060,-566230.3392132436,25.454423670750337,60.993919699371325
107,1070,-566841.8491967506,25.46721524810135,61.232993414283555
108,1080,-567455.7391448026,25.48010791864914,61.46996255559934
109,1090,-568071.9883735384,25.492375728630577,61.70486352152802
110,1100,-568690.5761533685,25.5054516289675,61.93773489591112
111,1110,-569311.4825505936,25.51782647353523,62.16861393124709
112,1120,-569934.6878716176,25.529397223098442,62.39752961885969
113,1130,-570560.1723407924,25.542631791584427,62.62452063683013
114,1140,-571187.9172317322,25.555368652817236,62.84962608171481
115,1150,-571817.9037705634,25.56762956774037,63.07287463876273
116,1160,-572450.1133878652,25.580250592541745,63.29429794640891
117,1170,-573084.5282888798,25.59158474119613,63.51392339399608
118,1180,-573721.1303200647,25.604263564041965,63.73178178297385
119,1190,-574359.9020669367,25.61767589456277,63.947911718868994
120,1200,-575000.8266636418,25.62923804414467,64.16233750439423
121,1210,-575643.8868284876,25.641421973326942,64.37508228539082
122,1220,-576289.066086567,25.654367128096055,64.58617942342244
123,1230,-576936.3480931702,25.666311594058236,64.79565487228392
124,1240,-577585.716777403,25.678445672535048,65.00353159190709
125,1250,-578237.1561258509,25.691545724112252,65.20983989445085
126,1260,-578890.6508378108,25.703847374289225,65.41460547168973
127,1270,-579546.1854531632,25.715871451666864,65.61784845442453
128,1280,-580203.744849766,25.728953206911683,65.81959576628142
129,1290,-580863.314267547,25.740958814290938,66.01987064794085
