,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-540093.957657439,-0.0,0.0
1,10,-540094.0388926703,0.0779160714824684,0.0389580357412342
2,20,-540094.7154727529,0.4460490792465862,0.18942834129411495
3,30,-540097.3180059921,1.3504042413784192,0.5260079846688314
4,40,-540104.3942696517,2.790713967126794,1.0999146041227505
5,50,-540118.602509199,4.4977842736116145,1.8985322773747613
6,60,-540141.9802062218,6.226290268753655,2.8671682271320607
7,70,-540175.8692865947,7.857264560178738,3.9472589323981087
8,80,-540221.0747445836,9.355142831290141,5.093188542223651
9,90,-540278.03471862,10.719119562246485,6.273391611526312
10,100,-540346.9449971018,11.958312585396929,7.466813883143185
11,110,-540427.8406820331,13.082953806125444,8.65940923087328
12,120,-540520.6484999616,14.102403619210236,9.841689100133953
13,130,-540625.221022923,15.02522728621843,11.007182608096628
14,140,-540741.3600148854,15.859504457103316,12.15148683872685
15,150,-540868.8328323859,16.613001818186603,13.271664439467713
16,160,-541007.3843996867,17.293176783900705,14.365842941237497
17,170,-541156.7459800306,17.907139946249675,15.432935302388797
18,180,-541316.6417264477,18.461572089674878,16.47243733597861
19,190,-541486.7935746077,18.96262850639177,17.484275322555913
20,200,-541666.9247689636,19.41596061899329,18.468690877672636
21,210,-541856.7624923561,19.826695486225077,19.426154071390922
22,220,-542056.0397327174,20.19941925776073,20.35729596003803
23,230,-542264.496544364,20.53824955467424,21.262857356412862
24,240,-542481.8809133036,20.846853057062262,22.143650481072832
25,250,-542707.9492912496,21.1284621050436,23.000529161862502
26,260,-542942.4668489848,21.385957521852106,23.834366817845144
27,270,-543185.2075775033,21.62189007367994,24.646040603461728
28,280,-543435.9542577766,21.838501068367613,25.43641920856025
29,290,-543694.4982934957,22.037783545802842,26.20635422719642
30,300,-543960.6395252375,22.221494687808434,26.95667425726569
31,310,-544234.18595231,22.391192677646142,27.68818077105679
32,320,-544514.9534522821,22.548260306194436,28.401645607335375
33,330,-544802.7654726438,22.693917312804842,29.097809406631857
34,340,-545097.4527047095,22.82925558306159,29.77738098545378
35,350,-545398.8527715385,22.95524568673865,30.441037413502634
36,360,-545706.8099048816,23.072748605185176,31.08942433648044
37,370,-546021.1746369324,23.182531661508282,31.72315663310437
38,380,-546341.8034923929,23.28528335927409,32.342819395348485
39,390,-546668.5586987172,23.381632628195803,32.948969223581656
40,400,-547001.3079044928,23.47212765493893,33.54213534014271
41,410,-547339.9239221718,23.557249620050396,34.12282046778128
42,420,-547684.2844442477,23.63747008808423,34.69150245316269
43,430,-548034.2718281826,23.713183632513392,35.248635599993584
44,440,-548389.772860277,23.78474774818166,35.79465151780606
45,450,-548750.6785096655,23.852512722034653,36.32996066135093
46,460,-549116.8837742591,23.916748453379874,36.85495323758661
47,470,-549488.2874246791,23.97774099234663,37.37000024567097
48,480,-549864.7918608094,24.035753973154385,37.875455033873735
49,490,-550246.3029277714,24.090996263650595,38.37165396358032
50,500,-550632.7297423374,24.14366561075436,38.8589171121741
51,510,-551023.9845502625,24.19393750829324,39.33754923404922
52,520,-551419.9825563539,24.242015655687936,39.807841004198416
53,530,-551820.641810015,24.288070794797424,40.27007005192718
54,540,-552225.883074721,24.33219190507677,40.72450086846948
55,550,-552635.6296892352,24.374536610295685,41.17138563812186
56,560,-553049.8074389437,24.415254058106683,41.61096567438362
57,570,-553468.3445041721,24.454375678647274,42.0434710815447
58,580,-553891.1712703507,24.492080822819844,42.46912177668419
59,590,-554318.2202844975,24.528481205092934,42.888128889256045
60,600,-554749.4261919804,24.56355315505057,43.30069365033705
61,610,-555184.725543606,24.597506271017526,43.70700883048994
62,620,-555624.0568157134,24.630382930772612,44.107259854760194
63,630,-556067.3603150233,24.66213344643761,44.50162319299852
64,640,-556514.5780090792,24.69295245371768,44.89026810187205
65,650,-556965.653583867,24.722905589223956,45.2733579897569
66,660,-557420.5322977286,24.752002687094453,45.65104935846902
67,670,-557879.1609484579,24.780312707330545,46.023492237112066
68,680,-558341.4878001277,24.80778976721922,46.3908301627598
69,690,-558807.4625295905,24.83457180059918,46.753201046858145
70,700,-559277.036120037,24.86079964975943,47.110738852435304
71,710,-559750.1609639408,24.88633111529348,47.46357184571533
72,720,-560226.7906111747,24.911292992695337,47.81182278886699
73,730,-560706.8798665251,24.935727629251723,48.155610534088915
74,740,-561190.3847095305,24.9595142501173,48.49504855563863
75,750,-561677.2621815089,24.98292929820298,48.8302467841815
76,760,-562167.4704372108,25.00595141489768,49.16131248442542
77,770,-562660.9687254519,25.02842126983764,49.48834753871924
78,780,-563157.7171919515,25.05049230968563,49.811449833665385
79,790,-563657.6770466778,25.072215742984554,50.13071482233935
80,800,-564160.8103530048,25.093547853641386,50.44623440619034
81,810,-564667.080160685,25.11451528206817,50.758096952387135
82,820,-565176.450287985,25.135300986701623,51.066388854905384
83,830,-565688.8855044611,25.15572345145035,51.371193388031685
84,840,-566204.3513453978,25.175745259516347,51.672589517296004
85,850,-566722.8140884548,25.19565561377373,51.97065488274529
86,860,-567244.2408529341,25.215256001049298,52.26546494723734
87,870,-567768.5994515609,25.234490627003957,52.55709108102601
88,880,-568295.8583865174,25.253592686308735,52.84560321130848
89,890,-568825.986879323,25.272662126168143,53.1310707812896
90,900,-569358.9548258672,25.29145932075309,53.41356013652694
91,910,-569894.7328069172,25.30989854451922,53.6931336204827
92,920,-570433.291913804,25.328224816196794,53.96985239284113
93,930,-570974.6039646408,25.34649217860404,54.24377725190716
94,940,-571518.6412734,25.364677217556164,54.51496721107105
95,950,-572065.3768394304,25.382574044866555,54.7834782018821
96,960,-572614.7841126631,25.40030480604605,55.04936395105324
97,970,-573166.8371138179,25.418095847955556,55.312678317869725
98,980,-573721.510412262,25.435711163131124,55.57347346703464
99,990,-574278.7790772149,25.45316354020047,55.83179883459234
100,1000,-574838.6186347847,25.47059043048634,56.087703117755886
101,1010,-575401.0051470927,25.487833083607256,56.34123346141132
102,1020,-575965.9150934796,25.50499517218006,56.592435339052464
103,1030,-576533.3254082908,25.5222364179149,56.84135417673388
104,1040,-577103.2135110655,25.53939703772761,57.08803409095854
105,1050,-577675.5572176124,25.55645407691168,57.33251705400617
106,1060,-578250.3347736659,25.573747655784246,57.574845339541206
107,1070,-578827.5248189633,25.590770881064312,57.8150592662103
108,1080,-579407.1065070798,25.606497012579425,58.053190904991055
109,1090,-579989.0590636341,25.623006677601293,58.28927623015042
110,1100,-580573.3621282761,25.641226351755826,58.52336398690095
111,1110,-581159.9962465353,25.65848560130123,58.75549377974239
112,1120,-581748.9418317822,25.674777922500084,58.98569208800909
113,1130,-582340.1797305541,25.691280909479246,59.2139898664187
114,1140,-582933.6910988321,25.708151365024726,59.44042315037804
115,1150,-583529.4574733019,25.725192797646823,59.665026864562236
116,1160,-584127.4607698696,25.74188327196761,59.88783192231348
117,1170,-584727.6831091967,25.758544360078023,60.108867565129174
118,1180,-585330.1069523803,25.77544401196655,60.328164797632766
119,1190,-585934.7150850437,25.79232272643105,60.54575388462689
120,1200,-586541.490573539,25.80911883024939,60.76166298364551
121,1210,-587150.4167492021,25.8260021625263,60.97591999597207
122,1220,-587761.4772343079,25.843073865165934,61.188553250324915
123,1230,-588374.6559347365,25.85993034061676,61.399589155528524
124,1240,-588989.937034049,25.876781911333268,61.60905268612551
125,1250,-589607.304853715,25.893842663935907,61.81696991932695
126,1260,-590226.7441827937,25.9108935061724,62.02336629595957
127,1270,-590848.239802346,25.928284652959334,62.22826716277487
128,1280,-591471.7770120165,25.94534858167208,62.43169604151044
129,1290,-592097.341139844,25.962189790327102,62.63367370200576
130,1300,-592724.9177626711,25.979640909703075,62.834224040410476
131,1310,-593354.49276875,25.997271567684948,63.0333719635746
132,1320,-593986.0522489903,26.014546953700858,63.23113814151438
133,1330,-594619.5824958445,26.031851716575137,63.427542196294226
134,1340,-595255.069931356,26.049511150072604,63.622605968962304
135,1350,-595892.5013512748,26.06712844000178,63.816350557580876
136,1360,-596531.8635871994,26.084866981767505,64.00879572398553
137,1370,-597173.143800317,26.1022720952398,64.19995973701297
138,1380,-597816.3292627432,26.119930149684464,64.38986093186249
139,1390,-598461.4073507008,26.138557155733,64.57852194683218
140,1400,-599108.3659325334,26.15659678448012,64.76596195081073
141,1410,-599757.192788036,26.17426701242552,64.95219491758762
