,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-539490.0179912152,-0.0,0.0
1,10,-539490.1106964949,0.08305247361131476,0.04152623680565738
2,20,-539490.8896471659,0.4422899644298013,0.1936249647187651
3,30,-539493.6182059988,1.297973478617496,0.5205263689291314
4,40,-539500.6071024052,2.6896980952122247,1.0730675439335755
5,50,-539514.4320285509,4.404631420140504,1.849742947849154
6,60,-539537.2215385966,6.202887384966017,2.807113371943706
7,70,-539570.4829024641,7.941076858004089,3.8912404295959275
8,80,-539615.1885573544,9.556798424432053,5.0557601066946525
9,90,-539671.9113584231,11.029973907177919,6.265836336398207
10,100,-539740.9395682344,12.359427076473365,7.496584018398426
11,110,-539822.3619206361,13.5520667605917,8.730558406794444
12,120,-539916.1282874203,14.61817124200752,9.955651909783773
13,130,-540022.092725615,15.569247711598283,11.16355959787761
14,140,-540140.0442440795,16.416950552311032,12.348696480137004
15,150,-540269.728908168,17.172487886447936,13.50743240560114
16,160,-540410.8657737453,17.846311069093645,14.637545889391916
17,170,-540563.1583917516,18.44795973179862,15.737830161236346
18,180,-540726.3030810839,18.98600694832275,16.807806294069454
19,190,-540899.99483941,19.46807666706445,17.84751318299532
20,200,-541083.9315149743,19.90089890669335,18.857353462690668
21,210,-541277.8167116306,20.290379820432257,19.837980216796865
22,220,-541481.3617466781,20.641685064963507,20.790213704257624
23,230,-541694.2869263663,20.95932403882618,21.71498038938444
24,240,-541916.3223148637,21.247227584570638,22.613268443167907
25,250,-542147.2081394304,21.508820974631824,23.4860954373391
26,260,-542386.6949290235,21.74709031002716,24.334485132024565
27,270,-542634.5434660539,21.964640975280762,25.159451017870744
28,280,-542890.5246051988,22.16374870558502,25.961984855409536
29,290,-543154.4190015297,22.34640402997032,26.74304891039792
30,300,-543426.0167795249,22.51435067562852,27.503570916428
31,310,-543705.1171632537,22.66912015562989,28.244441064607237
32,320,-543991.5280880851,22.812059447728075,28.96651046373008
33,330,-544285.0658025979,22.94435312891151,29.670590606675248
34,340,-544585.554470955,23.06704870338434,30.3574536252112
35,350,-544892.825779068,23.18107455073914,31.027833137540437
36,360,-545206.7185581819,23.287253567855792,31.68242542273947
37,370,-545527.0784121676,23.386313102682497,32.32189075821516
38,380,-545853.7573715952,23.478904316003927,32.94685496788588
39,390,-546186.6135459187,23.565606902321424,33.55791108482663
40,400,-546525.5108211307,23.646941313869263,34.15562101666437
41,410,-546870.318532903,23.723375843293528,34.74051724459132
42,420,-547220.91121198,23.79531287024738,35.31310424026451
43,430,-547577.1682768075,23.863137509222724,35.87386011756462
44,440,-547938.973805563,23.92719710730013,36.42323842782353
45,450,-548306.2162881625,23.987780850861,36.96166929329484
46,460,-548678.7883965161,24.04515733509318,37.48956059745397
47,470,-549056.5867713849,24.099597638924024,38.00729970155663
48,480,-549439.5118199346,24.15134141058661,38.51525487286999
49,490,-549827.4675504703,24.200536237223353,39.01377559321554
50,500,-550220.3613611952,24.247387235227613,39.50319371288642
51,510,-550618.1038693411,24.29214145166923,39.983825834764865
52,520,-551020.608812244,24.334872460365332,40.45597324256378
53,530,-551427.792848174,24.3757086921687,40.91992191680038
54,540,-551839.5753959547,24.41487498654169,41.375945090047026
55,550,-552255.878588284,24.452410859696023,41.82430339150888
56,560,-552676.6270722479,24.48842761456035,42.26524471081794
57,570,-553101.7478999284,24.523085133370518,42.69900616781961
58,580,-553531.1704825516,24.556394591601524,43.125814006515434
59,590,-553964.8263941224,24.588487875930024,43.5458840792373
60,600,-554402.6493374011,24.619476842461196,43.95942340215552
61,610,-554844.5750495883,24.649410659051544,44.366630058840386
62,620,-555290.5411768124,24.678315651114055,44.7676930831105
63,630,-555740.4872530274,24.706301875377495,45.16279351863196
64,640,-556194.3545101921,24.733403315767646,45.55210499295208
65,650,-556652.0859973397,24.759596460600783,45.93579314066883
66,660,-557113.6262206441,24.785176218888815,46.31401806148788
67,670,-557578.921416397,24.809967723189086,46.68693356085423
68,680,-558047.9192500167,24.833909151621725,47.05468484688754
69,690,-558520.568756483,24.857478920544963,47.417413778905754
70,700,-558996.8204612432,24.880408426630357,47.77525764079764
71,710,-559476.6262292766,24.902521240457908,48.12834471173555
72,720,-559959.9390487134,24.92419363413927,48.47679925764096
73,730,-560446.7132915015,24.945527517062143,48.82074371316994
74,740,-560936.9044104249,24.96639776314852,49.16029536746209
75,750,-561430.4691359275,24.98661956029542,49.495564707975426
76,760,-561927.3651222786,25.006313447281556,49.82665739175863
77,770,-562427.5511774523,25.025854248000538,50.15367815887147
78,780,-562930.9870517361,25.045039168076002,50.47672882880869
79,790,-563437.6336627423,25.063711132796012,50.79590503479993
80,800,-563947.4525910234,25.08225757163018,51.111300227741594
81,810,-564460.4066346819,25.10031223009876,51.423004536515506
82,820,-564976.4592590965,25.117947683081788,51.7311029530465
83,830,-565495.5748225375,25.135396843065855,52.03567922389775
84,840,-566017.718584576,25.152626001590278,52.33681528908346
85,850,-566542.8564546548,25.169838994304943,52.63459117743478
86,860,-567070.9553510087,25.186494344764107,52.92908216052747
87,870,-567601.9827168871,25.20281375568599,53.22035902439966
88,880,-568135.9067659738,25.219355756184086,53.508494575685475
89,890,-568672.6964796968,25.235384152945873,53.79355819083867
90,900,-569212.3215244644,25.25107029810897,54.075613735801014
91,910,-569754.7519881931,25.267003119908622,54.35472714715142
92,920,-570299.9589808653,25.282537531782808,54.63096192990488
93,930,-570847.9138716873,25.297903615428368,54.90437725967786
94,940,-571398.5888448887,25.313356263685073,55.175033006210285
95,950,-571951.9565739407,25.328403445717615,55.44298590480757
96,960,-572507.9903498754,25.343095310591366,55.70828857943998
97,970,-573066.6638671187,25.35793796319922,55.97099488794484
98,980,-573627.9514779082,25.372820010519284,56.23115907169268
99,990,-574191.8280419309,25.38743729556715,56.4888316152923
100,1000,-574758.2688590065,25.402130137372225,56.7440616462598
101,1010,-575327.2497671656,25.416434212835156,56.99689622869337
102,1020,-575898.7470921597,25.43054754232282,57.247379707216176
103,1030,-576472.7374069401,25.445257945417254,57.49555992363022
104,1040,-577049.198089055,25.459416348929665,57.74148163340724
105,1050,-577628.1067002856,25.473143857277822,57.98518335858098
106,1060,-578209.4411691615,25.487012421921676,58.22670580032282
107,1070,-578793.1800484338,25.500927574711614,58.46609076999594
108,1080,-579379.3019898045,25.515453802608107,58.70338108389988
