,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-578263.6304777585,-0.0,0.0
1,10,-578263.7079292653,0.061708684277255094,0.030854342138627547
2,20,-578264.3368254753,0.3158822780707851,0.1406792537949514
3,30,-578266.3311796502,0.9448392873513513,0.3771230378712062
4,40,-578271.3608187536,2.0459041133057325,0.7903342665929813
5,50,-578281.5522871997,3.494291750976118,1.3955014558538097
6,60,-578298.8438531649,5.089396714582109,2.169047023833264
7,70,-578324.727728757,6.689279029835596,3.0709690617033636
8,80,-578360.2561990068,8.221123420563526,4.06259492047684
9,90,-578406.1276219133,9.653459793271034,5.112718456110452
10,100,-578462.7741619515,10.975126245350113,6.197778090226349
11,110,-578530.4317808176,12.184639416131535,7.300381648681651
12,120,-578609.1926298776,13.285365648509469,8.407785796890677
13,130,-578699.0437194168,14.283249778309255,9.510698459616107
14,140,-578799.8956499654,15.185596362553772,10.602396947554372
15,150,-578911.6041188724,16.000301525244144,11.678083058963239
16,160,-579033.9860882319,16.735352808050806,12.734406218389632
17,170,-579166.831989062,17.398521231475762,13.769107206331682
18,180,-579309.9149085185,17.99715316527291,14.780749340279726
19,190,-579462.9975562668,18.538035732231197,15.768513307122339
20,200,-579625.8374025058,19.02736818575068,16.732040557351137
21,210,-579798.1905671185,19.47075499389323,17.67131416661141
22,220,-579979.8146328646,19.873212039208738,18.586567481209933
23,230,-580170.4707303394,20.239204880504985,19.478214105985536
24,240,-580369.9249760219,20.572702026553443,20.346794779665654
25,250,-580577.9495107438,20.877217989909667,21.192937098350377
26,260,-580794.3231558901,21.1558564767416,22.017324851932063
27,270,-581018.8318399321,21.411359591249493,22.82067490481277
28,280,-581251.268807261,21.646150164108278,23.603719959697628
29,290,-581491.4347018482,21.862367199501023,24.367195720993912
30,300,-581739.137530295,22.061900703498374,25.11183143156086
31,310,-581994.192553005,22.246428172951017,25.838343134247406
32,320,-582256.4221209335,22.41743235522881,26.5474288724261
33,330,-582525.655472772,22.57622405885195,27.239765253868246
34,340,-582801.7285020162,22.72396916167928,27.91600527184346
35,350,-583084.4835126103,22.861708921976984,28.576777130669505
36,360,-583373.7689644655,22.990386529918776,29.222683896438685
