,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-588262.8647753106,-0.0,0.0
1,10,-588262.9660781557,0.08448366021330003,0.042241830106650016
2,20,-588263.7932358191,0.42510831104591484,0.19076073797477877
3,30,-588266.5480302543,1.1754819310968743,0.4929514709190699
4,40,-588273.2238625485,2.308926760358736,0.9774809711467243
5,50,-588285.8030747676,3.616628186282469,1.6277596348198133
6,60,-588305.7437568814,4.932045573106734,2.4004262512069547
7,70,-588333.9911447711,6.196717594953952,3.254052734319703
8,80,-588371.1439550351,7.406968238507398,4.159610934580269
9,90,-588417.5890296029,8.569169260578928,5.098611408408033
10,100,-588473.5789943814,9.684829792910024,6.058917856974586
11,110,-588539.2721111485,10.75039384657866,7.0318136123736625
12,120,-588614.7533528992,11.760503853543192,8.01048887202487
13,130,-588700.0475339543,12.710489064437576,8.989374829939333
14,140,-588795.1293909289,13.597490909212507,9.96386446928518
15,150,-588899.9321538814,14.420711818034754,10.93017953854869
16,160,-589014.3554029849,15.181135730724776,11.885280424068332
17,170,-589138.2720053233,15.881062945723547,12.82678100229241
18,180,-589271.5342543677,16.52370632507956,13.75286293129466
19,190,-589413.9790636963,17.112827516856473,14.662192339891046
20,200,-589565.4324531396,17.652394500619266,15.553839768639593
21,210,-589725.713127368,18.1463868342602,16.427206460542223
22,220,-589894.6354409127,18.598721878655464,17.28196151444427
23,230,-590072.0117373907,19.013137525055225,18.117988815590802
24,240,-590257.654286647,19.393082723091382,18.935340448953504
25,250,-590451.3766735438,19.74174860537459,19.734197977792068
26,260,-590652.9949369198,20.062095948139895,20.51484248736379
27,270,-590862.3284074656,20.35679498988321,21.277629709825856
28,280,-591079.2003501897,20.628235073271227,22.022968735417823
29,290,-591303.4383561872,20.878610246320022,22.75130611474161
30,300,-591534.8746707072,21.109911868697964,23.463114017949565
31,310,-591773.3463880072,21.3238854455063,24.15887951864571
32,320,-592018.6955403829,21.52211169851944,24.83909615015291
33,330,-592270.7691107246,21.706040052854213,25.50425854018249
34,340,-592529.4190496817,21.87694511181906,26.15485771597887
35,350,-592794.5021850212,22.035979160384134,26.791377199326234
36,360,-593065.8801414651,22.184186691069044,27.414290605660064
37,370,-593343.4192355011,22.32248771038724,28.024059549032245
