,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-510500.21373068425,-0.0,0.0
1,10,-510500.37837101927,0.18733087547443575,0.09366543773721787
2,20,-510502.0588479443,0.9082047465635695,0.4143820621153281
3,30,-510508.2008867083,2.253564914833987,1.0170274012285516
4,40,-510522.06806013564,3.965475349617191,1.8883059724030316
5,50,-510546.0709345951,5.740887808293336,2.9580791719345143
6,60,-510581.73202582315,7.4182340942759755,4.150354127286846
7,70,-510629.8680849482,8.944110854523025,5.407405362847203
8,80,-510690.8508854725,10.318409489421178,6.691171016973386
9,90,-510764.77444018435,11.556924262912066,7.978122958001769
10,100,-510851.56179256894,12.678801546309835,9.25411438325682
11,110,-510951.04490325565,13.697390143800291,10.510663103472325
12,120,-511062.98790585063,14.62334644388175,11.742577848200744
13,130,-511187.12405775895,15.463916748730123,12.946649978826462
14,140,-511323.1585072786,16.22689062313293,14.120947815592809
15,150,-511470.78449456603,16.91997747164715,15.264478872616747
16,160,-511629.6916533441,17.548767125816084,16.376877094353404
17,170,-511799.5648712975,18.12109402318017,17.458249420658102
18,180,-511980.0967172241,18.63883267693162,18.50896812641804
19,190,-512170.9831163188,19.107233223883668,19.529535405499338
20,200,-512371.9214092751,19.53788780851756,20.520804527656583
21,210,-512582.6271154957,19.930784471027437,21.483794210274937
22,220,-512802.8218769431,20.28511161420322,22.419361961639517
23,230,-513032.23451366497,20.609575152817722,23.32842146805124
24,240,-513270.60436572786,20.908320030360457,24.212045711136305
25,250,-513517.68465123046,21.182748069149948,25.071290673151815
26,260,-513773.2340545632,21.43645669626424,25.907185186386048
27,270,-514037.0271857066,21.668094736326047,26.72068575187295
28,280,-514308.84290754667,21.881237187288924,27.51268314385306
29,290,-514588.4706012736,22.079227330551625,28.284095855482878
30,300,-514875.7106707977,22.26097561196367,29.035788448967644
31,310,-515170.3681235034,22.434366556578638,29.76864933104734
32,320,-515472.25973486464,22.597217099787656,30.48357547011183
33,330,-515781.21321548364,22.745806361096,31.18129041700959
34,340,-516097.05532030633,22.882164525121322,31.862426266210242
35,350,-516419.628981841,23.01023068492944,32.5276462669106
36,360,-516748.771099307,23.134756163234076,33.177679905946576
37,370,-517084.34215469536,23.25181937100569,33.813209739053136
38,380,-517426.19216293347,23.362003106059355,34.434818292048305
39,390,-517774.19242957246,23.46244274971832,35.043013617832926
40,400,-518128.20480877685,23.56005065137282,35.63831479904839
41,410,-518488.1067482954,23.657236441753106,36.22131831562656
42,420,-518853.7775052716,23.743505344970707,36.79248197697889
43,430,-519225.10129769327,23.824712206266,37.352174292177374
44,440,-519601.96306399966,23.904311822459505,37.90084573653294
45,450,-519984.2583700737,23.981874375545917,38.43895091444575
46,460,-520371.8798152936,24.060230760526643,38.96694043268218
47,470,-520764.73266412126,24.12987233235915,39.48516544957239
48,480,-521162.7185063793,24.19242491377514,39.993870645250716
49,490,-521565.7430197283,24.259038267977303,40.49341627825197
50,500,-521973.7175515598,24.327829057874695,40.98423577564681
51,510,-522386.5566718806,24.38800798787557,41.466612183753746
52,520,-522804.1788599866,24.441271031694413,41.940722522740536
53,530,-523226.49817343516,24.50617182107231,42.40692504439793
54,540,-523653.4411461301,24.566267915849963,42.865580788262
55,550,-524084.93489900563,24.609741369109503,43.316771153464636
56,560,-524520.9006677668,24.66480271969934,43.76071752785647
57,570,-524961.2696182991,24.72600402597612,44.19783375286862
58,580,-525405.9779056319,24.768510986928554,44.62825017146534
59,590,-525854.9559193652,24.820064210146707,45.05211134510901
60,600,-526308.1368752121,24.881582696281797,45.46979739478266
61,610,-526765.4693826076,24.919044912341633,45.88139838374628
62,620,-527226.8835665898,24.96619709431552,46.28699314938859
63,630,-527692.3232031696,25.01885087446135,46.68689575706377
64,640,-528161.7374818993,25.059682953171432,47.08123683866288
65,650,-528635.0620084138,25.119741629023338,47.47024439349625
66,660,-529112.2536990546,25.16713137397296,47.85413326142443
67,670,-529593.259116199,25.189455573985466,48.23277435933705
68,680,-530078.0227231032,25.246069943183098,48.6063882383125
69,690,-530566.4947049238,25.31277339607186,48.97544699971622
70,700,-531058.6423765301,25.343774338660445,49.339899853452515
71,710,-531554.4043651826,25.38435973546855,49.69968990974303
72,720,-532053.744186722,25.441107754362744,50.05512736587698
73,730,-532556.6150731797,25.488265427653303,50.40637888574565
74,740,-533062.9799456663,25.523454783990697,50.75341182177654
75,750,-533572.7919540139,25.55336980716669,51.09622339605849
76,760,-534086.012166656,25.618354875058813,51.435121003161484
77,770,-534602.5972987452,25.692744511782017,51.77049881487329
78,780,-535122.5277323168,25.727917395316933,52.102257365602426
79,790,-535645.7495237424,25.771808270839276,52.430292623583235
80,800,-536172.23710177,25.812479937216036,52.754733333765756
81,810,-536701.9507655855,25.855211125407425,53.07566140204871
82,820,-537234.8527111919,25.919457308162237,53.393306942115295
83,830,-537770.9200129227,25.97351825590886,53.70781939095176
84,840,-538310.111958325,26.037223568663705,54.019269842019995
85,850,-538852.4066184555,26.089536759347478,54.327721178933274
86,860,-539397.769883348,26.140494058979492,54.63316865884553
87,870,-539946.1706530516,26.190616206417573,54.935669058263
88,880,-540497.5861777008,26.226238842145477,55.235202561752516
89,890,-541051.9763502713,26.324252127038072,55.532104339339995
90,900,-541609.3234897091,26.41519682697279,55.826744489716646
91,910,-542169.6131720424,26.43310501218366,56.11873242392611
92,920,-542732.800889196,26.493343704461324,56.4079548282636
93,930,-543298.8689410717,26.583213491400304,56.69486089451674
94,940,-543867.7971337718,26.667747408291525,56.97963111741554
95,950,-544439.5583503123,26.734693718695848,57.26218975198134
96,960,-545014.1413559682,26.77688827207305,57.54236162604066
97,970,-545591.5044726976,26.878171261923853,57.82037186033704
98,980,-546171.6426149446,26.954638005961897,58.096442798178764
99,990,-546754.5343770466,27.04015643041036,58.37053290809272
100,1000,-547340.1457669847,27.19626200356302,58.64308066472877
101,1010,-547928.4895971251,27.268066535281832,58.91405240313907
102,1020,-548519.5274238262,27.35241405426612,59.183123292581875
103,1030,-549113.244051475,27.492695633843105,59.450663441175124
104,1040,-549709.6355175517,27.59637124042507,59.71679799045087
105,1050,-550308.6752808283,27.71150352430391,59.98143239277561
106,1060,-550910.3576002158,27.855030648439424,60.244783587369604
107,1070,-551514.6632734289,28.041498666250845,60.507210281868176
108,1080,-552121.5910152001,28.211607296427246,60.76885461540369
109,1090,-552731.1340692693,28.396663909588824,61.02972383463348
110,1100,-553343.2731736276,28.610120496829197,61.29002976308257
111,1110,-553958.0256592049,28.79138155507704,61.54976667324664
112,1120,-554575.3590122357,29.130167128145615,61.80950297011732
113,1130,-555195.292521773,29.50055963046042,62.07008180877456
114,1140,-555817.848481961,29.791493662720313,62.331279704355985
115,1150,-556443.0020603165,30.345961554092273,62.59388311352377
116,1160,-557070.7911073574,31.187127780937672,62.86024935172027
117,1170,-557701.2667159223,32.39133441060823,63.13310113266635
118,1180,-558334.4879147472,33.56410441179743,63.41374642010051
119,1190,-558970.6053320103,45.37954993554783,63.746637579386885
120,1200,-559609.5623846495,66.20739004842505,64.2131720824691
121,1210,-560255.1975783288,63.305326208687276,64.75062846473156
122,1220,-560906.705984568,,
123,1230,-561560.7172052121,,
124,1240,,,
125,1250,,,
126,1260,,,
127,1270,,,
128,1280,,,
129,1290,,,
130,1300,,,
131,1310,,,
132,1320,,,
133,1330,,,
134,1340,,,
135,1350,,,
136,1360,,,
137,1370,,,
138,1380,,,
139,1390,,,
140,1400,,,
141,1410,,,
142,1420,,,
143,1430,,,
144,1440,,,
145,1450,,,
146,1460,,,
147,1470,,,
148,1480,,,
149,1490,,,
150,1500,,,
151,1510,,,
152,1520,,,
153,1530,,,
154,1540,,,
155,1550,,,
156,1560,,,
157,1570,,,
158,1580,,,
159,1590,,,
160,1600,,,
161,1610,,,
162,1620,,,
163,1630,,,
164,1640,,,
165,1650,,,
166,1660,,,
167,1670,,,
168,1680,,,
169,1690,,,
170,1700,,,
171,1710,,,
172,1720,,,
173,1730,,,
174,1740,,,
175,1750,,,
176,1760,,,
177,1770,,,
178,1780,,,
179,1790,-601060.4162191139,,
180,1800,-601810.8243002617,,
181,1810,,,
182,1820,,,
183,1830,-604070.4329188468,,
184,1840,-604826.4027494873,,
185,1850,,,
186,1860,,,
187,1870,,,
188,1880,,,
189,1890,,,
190,1900,,,
191,1910,,,
192,1920,,,
193,1930,,,
194,1940,,,
195,1950,,,
196,1960,,,
197,1970,,,
