,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-522961.7943529969,-0.0,0.0
1,10,-522961.94749903557,0.1927372469290276,0.0963686234645138
2,20,-522963.6873345225,0.9322678226104473,0.4258042025816394
3,30,-522969.96328099,2.3364220711839154,1.0482748367649037
4,40,-522984.22567250027,4.156861310388194,1.9572861790940805
5,50,-523009.1313572269,6.053995731788746,3.0822934160714794
6,60,-523046.3326235819,7.8462554029334575,4.341547606161475
7,70,-523096.73139931815,9.480485388141824,5.672579750797013
8,80,-523160.7479440165,10.955662283266431,7.034486171225581
9,90,-523238.5056436273,12.284464559855405,8.401685317255033
10,100,-523329.94157586736,13.480336711043488,9.758172406132509
11,110,-523434.8775082025,14.554749114110024,11.093768746871502
12,120,-523553.0565545624,15.519301079248546,12.401985797027011
13,130,-523684.17573319265,16.38440150475799,13.678792630640238
14,140,-523827.90253685496,17.15887728962116,14.921778965342675
15,150,-523983.88750127435,17.85249867717356,16.129679300639694
16,160,-524151.77388283215,18.474743633903557,17.302098328438294
17,170,-524331.2059324952,19.032767130932196,18.43922133555461
18,180,-524521.8320878941,19.533321230811985,19.541600860522884
19,190,-524723.3073452006,19.983989766627214,20.61008758447715
20,200,-524935.297673469,20.390541202155887,21.645745582073868
21,210,-525157.4803153094,20.75736704072039,22.64973213690682
22,220,-525389.5443414481,21.089145569648842,23.623253924632444
23,230,-525631.1911274005,21.39068252508298,24.56756752508081
24,240,-525882.134910463,21.665302825416404,25.483942838112124
25,250,-526142.1031264918,21.915182427837856,26.37360696219839
26,260,-526410.8343175203,22.143363106047055,27.237744516640667
27,270,-526688.0794174676,22.35278918434631,28.077518962977045
28,280,-526973.6004370484,22.54498067055829,28.89404844397359
29,290,-527267.1709516795,22.72181155012514,29.688392756073153
30,300,-527568.5736718201,22.88532979346927,30.461570290851522
31,310,-527877.6029156157,23.036216007592188,31.21454432516621
32,320,-528194.0606796498,23.175955829024304,31.948220506084905
33,330,-528517.7590292391,23.305965259502432,32.663465501663445
34,340,-528848.5176322658,23.427144772635078,33.36110302230517
35,350,-529186.1647977225,23.539796829558274,34.0419026690477
36,360,-529530.5359316731,23.64492902064238,34.7065872728519
37,370,-529881.473191154,23.74379183531562,35.35585111663386
38,380,-530238.8263744367,23.83613706287568,35.99034655086871
39,390,-530602.4505487317,23.92304376193785,36.61068562253058
40,400,-530972.2074877928,24.005182055290817,37.21745608747733
41,410,-531347.9643614499,24.081640010452247,37.811199399881296
42,420,-531729.5937832042,24.153835098462878,38.39242359252821
43,430,-532116.9724571052,24.223665218637386,38.961639774260405
44,440,-532509.9837310903,24.28929423779482,39.51932500730618
45,450,-532908.5141948243,24.350479760236308,40.0659006007787
46,460,-533312.4548555563,24.409250582719785,40.60177942812007
47,470,-533721.7008034413,24.4654672512145,41.127368297440995
48,480,-534136.1514153115,24.51836632266634,41.64303887483984
49,490,-534555.7090863148,24.568902955623344,42.14914161541819
50,500,-534980.2799470023,24.61762824896141,42.64602098929171
51,510,-535409.7736164989,24.66407806917261,43.134001958734004
52,520,-535844.1025812923,24.708285583579055,43.61338631475955
53,530,-536283.1825216393,24.7506824843062,44.084462988401356
54,540,-536726.9315891081,24.791772642836364,44.54751344336692
55,550,-537175.2711871451,24.830841292452455,45.00280181460403
56,560,-537628.1248729556,24.868094909447166,45.45057329713599
57,570,-538085.4186463183,24.90441087014636,45.89106960330245
58,580,-538547.0810817385,24.93930304849649,46.324523339574796
59,590,-539013.0428850494,24.97273007944455,46.75115063713018
60,600,-539483.2368098651,25.00511042447748,47.171159863092164
61,610,-539957.5977882411,25.036164826652428,47.58475024908837
62,620,-540436.0626116081,25.066619415057446,47.99211487145365
63,630,-540918.5698486962,25.09622505443681,48.393441417347624
64,640,-541405.0604258769,25.123857129365206,48.78889794049173
65,650,-541895.476020297,25.15097932492795,49.17864714604511
66,660,-542389.7606508515,25.177774336683797,49.56285693244717
67,670,-542887.8597176363,25.203390121695797,49.9416826480272
68,680,-543389.7201329999,25.2283353220555,50.31527011453872
69,690,-543895.2902150481,25.252436463380487,50.68376125016657
70,700,-544404.5198123966,25.275515243090823,51.04728931478457
71,710,-544917.359806062,25.298550684403892,51.40598751701472
72,720,-545433.7626433608,25.320964229596,51.75998635402357
73,730,-545953.6821016867,25.342232987310698,52.10940332166501
74,740,-546477.0726766747,25.363137740251897,52.45435281223327
75,750,-547003.890552373,25.383492572436857,52.79494864834851
76,760,-547534.0925141725,25.40337692725007,53.13129941194929
77,770,-548067.6368657646,25.422436579741767,53.46350764874514
78,780,-548604.4825500532,25.44149318207033,53.791674900513314
79,790,-549144.5896397171,25.460406743353815,54.11590321010153
80,800,-549687.9195055143,25.477841308340597,54.43628153311001
81,810,-550234.4337588561,25.494905710889725,54.752894002465474
82,820,-550784.0953816297,25.511989471071807,55.06583087505278
83,830,-551336.8679548894,25.52885941310384,55.37518009617925
84,840,-551892.7161306577,25.544807956565577,55.68102083420963
85,850,-552451.6052157001,25.560290912820953,55.98342791495088
86,860,-553013.5010739508,25.57639016012557,56.28248251017067
87,870,-553578.3708487051,25.592387898397345,56.578265142033345
88,880,-554146.1820126672,25.606912802718455,56.87084165384731
89,890,-554716.9030968357,25.620312578691063,57.16026981691975
90,900,-555290.502457203,25.634648763894994,57.446618872604446
91,910,-555866.9500921927,25.648526315376447,57.72995955672522
92,920,-556446.2160789672,25.66141341234318,58.01034972881898
93,930,-557028.271165051,25.676198168954645,58.28785800832411
94,940,-557613.0868369977,25.688749824545745,58.56254437080206
95,950,-558200.6357640035,25.6991080969744,58.83444512077112
96,960,-558790.8889779322,25.712891403772005,59.10362489383405
97,970,-559383.8210400494,25.725989258594996,59.37015439528331
98,980,-559979.4048236182,25.73777520985459,59.634077766980035
99,990,-560577.6149714597,25.747809188740423,59.895432386969325
100,1000,-561178.4258836757,25.75852295500205,60.15426444209151
101,1010,-561781.8120580978,25.770719372154858,60.41063487554055
102,1020,-562387.7503529151,25.782259518705686,60.664596319306284
103,1030,-562996.2153702298,25.795329775835853,60.91619999185349
104,1040,-563607.1855121619,25.802129781059847,61.16546874017949
105,1050,-564220.6362861582,25.809346042253534,61.41241908887022
106,1060,-564836.5445674784,25.823469016829115,61.657129552807596
107,1070,-565454.8893339123,25.83411002416113,61.89965850922454
108,1080,-566075.6483280841,25.842478470294736,62.140019753553496
109,1090,-566698.7999928903,25.850692968990188,62.37824201799085
110,1100,-567324.3233770123,25.859113496786605,62.61436460338446
111,1110,-567952.197144701,25.86940148838039,62.848434863903094
112,1120,-568582.4017399392,25.87842377857305,63.080492377019254
113,1130,-569214.9166033544,25.8874637906438,63.310567354560774
114,1140,-569849.7223970728,25.89577733738107,63.53869162529736
115,1150,-570486.7997660044,25.90295367552624,63.764891133795025
116,1160,-571126.1292918687,25.911211777804667,63.989198929177654
117,1170,-571767.692651672,25.91847024906859,64.2116478802127
118,1180,-572411.4710872775,25.92551963756526,64.43226447035413
119,1190,-573057.4465528094,25.934361232008087,64.65108627145965
120,1200,-573705.6011944279,25.94312039867475,64.86815051079029
121,1210,-574355.9178862937,25.949574497842868,65.08347649247007
122,1220,-575008.3790083779,25.955573544646143,65.29708144056785
123,1230,-575662.9675915128,25.961835257694474,65.50899265766202
124,1240,-576319.6668464409,25.96746513277705,65.71923609404038
125,1250,-576978.4601699865,25.974643899462357,65.92784219033491
126,1260,-577639.3312861596,25.982377146795983,66.1348454371502
127,1270,-578302.2646345079,25.989500952750497,66.34027097826036
128,1280,-578967.2440995757,25.99608450867254,66.5441390532651
129,1290,-579634.2547686208,26.000388993532397,66.74646295990242
130,1300,-580303.2806894007,26.005564796796534,66.94726106449234
131,1310,-580974.3070388557,26.012061332102725,67.14656514439703
132,1320,-581647.318991471,26.0190253067756,67.34440473527793
133,1330,-582322.3019232379,26.023102338626824,67.54079286111809
134,1340,-582999.2418466645,26.025508834270862,67.735734180508
135,1350,-583678.1233045639,26.03194145657433,67.92925888608588
136,1360,-584358.9335104652,26.040927752945375,68.12141218904726
137,1370,-585041.657853729,26.043685337950592,68.3122008405102
138,1380,-585726.2842706639,26.04612067684589,68.50162078945141
139,1390,-586412.7963986131,26.054465911159454,68.68971189230359
140,1400,-587101.1846310587,26.0543981474477,68.87648441465862
141,1410,-587791.4326315293,26.06300003098129,69.06195782253926
142,1420,-588483.52910521,26.071433945274155,69.2461806322157
143,1430,-589177.4626233195,26.065180093920414,69.42911844930204
144,1440,-589873.2176452613,26.07393501154127,69.61078993920529
145,1450,-590570.7835745765,26.079278182383447,69.79125298122963
146,1460,-591270.1489450381,26.078220170433426,69.97049049987254
147,1470,-591971.29880947,26.089272797835292,70.14853849618085
148,1480,-592674.2249626698,26.091931717807682,70.3254259372683
149,1490,-593378.9131662133,26.091968733153983,70.50113129729144
150,1500,-594085.3528537387,26.093026355520976,70.6756649938674
151,1510,-594793.5320783212,26.093763505594474,70.84904493880168
152,1520,-595503.4388851691,26.10424184913217,71.02131734582653
153,1530,-596215.0632456624,26.11331887758839,71.19252420582634
154,1540,-596928.3944539282,26.113412109477647,71.3626456547674
155,1550,-597643.4214244748,26.107813158349238,71.53164821244135
156,1560,-598360.1327271314,26.1056952944256,71.69953906486771
157,1570,-599078.5171034571,26.115261752725928,71.86638078858668
158,1580,-599798.5647683587,26.1238600505695,72.03222085520102
159,1590,-600520.2663523128,26.122300789057274,72.19703689836462
160,1600,-601243.6104450419,26.12680404447019,72.36082876096916
161,1610,-601968.5872491656,26.13010552763835,72.5236244196567
162,1620,-602695.1878227362,26.12778076052713,72.68541511434887
163,1630,-603423.4000977024,26.127460756962186,72.84620199813652
164,1640,-604153.216504322,26.131889072910184,73.00601797679555
165,1650,-604884.6245930507,26.14050737384264,73.16490202901913
166,1660,-605617.618817389,26.13764100762806,73.32284352208808
167,1670,-606352.1861810957,26.13909729880421,73.4798321268041
168,1680,-607088.3193572048,26.13863269568003,73.63588644684933
169,1690,-607826.0086307691,26.136296378282474,73.79100631718465
170,1700,-608565.2433809958,26.148888844966862,73.9452411344333
171,1710,-609306.0171860942,26.1523400286409,74.09861846152926
172,1720,-610048.320084515,26.14949973268716,74.25110327961738
173,1730,-610792.1432478587,26.14873986672319,74.40269365989079
174,1740,-611537.4780670418,26.14613506830696,74.55340062460454
175,1750,-612284.3152610376,26.143256402647985,74.70322821493319
176,1760,-613032.6466553315,26.14766883891957,74.85220638333703
177,1770,-613782.4628756798,26.159264375489848,75.00038576049701
178,1780,-614533.75789563,26.16216491782157,75.14777121484366
179,1790,-615286.5221884861,26.156382121900023,75.2943229620345
180,1800,-616040.7482741122,26.14516493253177,75.44001094007399
181,1810,-616796.4265028838,26.148354233184364,75.58486942096351
182,1820,-617553.5486892462,26.166187538235164,75.72898757430667
183,1830,-618312.109459101,26.16268206583679,75.87235544279102
184,1840,-619072.0999148281,26.153181904507278,76.01490660976415
185,1850,-619833.511034349,26.158779356555897,76.15667444251885
186,1860,-620596.336614737,26.167444585101805,76.29771643915592
187,1870,-621360.5685618903,26.161620610657366,76.43800988937437
188,1880,-622126.2007220837,26.151767676148495,76.57751332022889
189,1890,-622893.2221580114,26.162912194961592,76.7162799472615
190,1900,-623661.6290353189,26.167456739553288,76.8543557289493
191,1910,-624431.4128784066,26.155924982920716,76.99168846501998
192,1920,-625202.566286815,26.15108716897612,77.12826126233122
193,1930,-625975.0812794265,26.163211203555967,77.26414339173934
194,1940,-626748.9516814713,26.167098810041452,77.39936470795946
195,1950,-627524.1721076388,26.153466331059185,77.53386585435365
196,1960,-628300.7323542328,26.161303310084065,77.66766404308146
197,1970,-629078.6277494575,26.17146857989747,77.80082710888674
