,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-554693.3995232738,-0.0,0.0
1,10,-554693.5743569221,0.13429592538450377,0.06714796269225189
2,20,-554694.9200918456,0.62981841005967,0.2917505278994213
3,30,-554699.295861234,1.5810009534470737,0.7127052893221844
4,40,-554709.0370286185,2.873975044477265,1.335452328789688
5,50,-554726.0973782585,4.305546637013322,2.1252538730506783
6,60,-554751.8937158362,5.742048310744577,3.0343125626473917
7,70,-554787.3432683791,7.124049088155151,4.0216772376967125
8,80,-554833.0307251256,8.429810617514885,5.057401050445332
9,90,-554889.298010432,9.655343073012773,6.120672162540722
10,100,-554956.3167875025,10.806725412112424,7.197416381647053
11,110,-555034.165388365,11.880691780080086,8.277784096801769
12,120,-555122.8297515279,12.876751358422919,9.354346847951819
13,130,-555222.235281862,13.797845043119745,10.421564502365072
14,140,-555332.2652200813,14.645312082115568,11.475297710252926
15,150,-555452.7600831839,15.424691586420526,12.5125009565425
16,160,-555583.5444374408,16.138078728225082,13.530972303013552
17,170,-555724.4173954029,16.789419387196546,14.52909371583519
18,180,-555875.1688516209,17.38454402466304,15.505804169084879
19,190,-556035.5792238271,17.926180660648974,16.46044976610283
20,200,-556205.4255858557,18.41833538789068,17.392649747132964
21,210,-556384.4803799579,18.868560301538682,18.302359567581153
22,220,-556572.5189908664,19.282158602727577,19.18984188066679
23,230,-556769.3216509488,19.660018948838115,20.055464474280598
24,240,-556974.6708660638,20.000898389588144,20.899541573676107
25,250,-557188.3542592421,20.315005042430112,21.72252705764113
26,260,-557410.1575719105,20.610406209406182,22.525181124055237
27,270,-557639.8908756032,20.874188807368057,23.30809414160904
28,280,-557877.3525950025,21.11540392441676,24.07171397796192
29,290,-558122.3522161234,21.342473547003465,24.81674844417139
30,300,-558374.7124808436,21.548627114854764,25.543865911263858
31,310,-558634.2514511911,21.741114280675525,26.25367283007072
32,320,-558900.8038695046,21.91891127852722,26.94681895235699
33,330,-559174.2037369437,22.08680291510245,27.62395047010068
34,340,-559454.2938972637,22.24154726140548,28.285680576490996
35,350,-559740.9279050175,22.3797810602846,28.932473311868673
36,360,-560033.9504512127,22.51264521897542,29.564860097914064
