,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-534708.8660665068,-0.0,0.0
1,10,-534709.1170199129,0.13399866573454347,0.06699933286727174
2,20,-534710.6703654019,0.6209897107502912,0.28924609342211627
3,30,-534714.9788733545,1.7044469612999822,0.7285680146596861
4,40,-534724.894458512,3.43153705233708,1.4415846397518184
5,50,-534743.5666862801,5.484718149135006,2.418998586207454
6,60,-534773.4339221454,7.530081664246971,3.594977206474869
7,70,-534816.0322443987,9.394146627982263,4.893494485256088
8,80,-534872.1739302072,11.028577421419325,6.2537910475221
9,90,-534942.1786403916,12.4442851703614,7.634426312491996
10,100,-535026.056825376,13.67102086148225,9.009326531697297
11,110,-535123.6329704749,14.739723942134875,10.362865026686631
12,120,-535234.6238039908,15.67683976746629,11.686054135579614
13,130,-535358.6862967114,16.50350272583019,12.974005897397
14,140,-535495.4469151638,17.23642624931527,14.224342653997882
15,150,-535644.5196313352,17.888935250724906,15.436227147449971
16,160,-535805.5169584777,18.471885368321097,16.609771406900837
17,170,-535978.0567932941,18.99425027952818,17.745672244646993
18,180,-536161.7667152124,19.463547601428562,18.844980764672798
19,190,-536356.286308852,19.886194199384786,19.90895576469629
20,200,-536561.2687999503,20.267710206564544,20.938969419844213
21,210,-536776.3814964086,20.612909414063324,21.936445732486025
22,220,-537001.3063051013,20.925986580649592,22.902819894069395
23,230,-537235.7393685634,21.210542841572913,23.839509255600564
24,240,-537479.3910585807,21.469670292246164,24.747892810781195
25,250,-537731.9851413122,21.70620122320539,25.62930163300043
26,260,-537993.2585958806,21.92260772094013,26.48501426748262
27,270,-538262.9608360182,22.121035589734674,27.316251684718008
28,280,-538540.8532219819,22.30332296442942,28.12417411630013
29,290,-538826.7084353016,22.471071159551535,28.909880002036516
30,300,-539120.3097380324,22.625858898303672,29.674409911713155
31,310,-539421.4506154946,22.768940754031064,30.418748539921943
32,320,-539729.9340659473,22.901408318802737,31.14382402480696
33,330,-540045.57207408,23.024365723138875,31.85051255589642
34,340,-540368.1851542607,23.138674794643936,32.53964121133758
35,350,-540697.601854754,23.245111477779595,33.21198886178172
36,360,-541033.6582129208,23.34443817122369,33.86829019082652
37,370,-541376.197477117,23.43726088226254,34.50923824041238
38,380,-541725.0695362155,23.524144255474702,35.1354861959524
39,390,-542080.130678812,23.60565230134517,35.74765097780619
40,400,-542441.2431166213,23.68225421488745,36.34631572345825
41,410,-542808.2748059444,23.75430515608756,36.93203054938931
42,420,-543181.0989512419,23.822168262465887,37.505314438854114
43,430,-543559.5938649364,23.88619722785655,38.06665815946763
44,440,-543943.6425651602,23.94675229516585,38.61652682403365
45,450,-544333.1326422798,24.004089162059277,39.15536111100665
46,460,-544727.9559538922,24.058398307254407,39.683577542233984
47,470,-545128.0083877674,24.109949407971065,40.20157069514971
48,480,-545533.1896889784,24.158950335765326,40.70971525130299
49,490,-545943.403239134,24.205611776016234,41.20836702249799
50,500,-546358.5558826777,24.250093217706237,41.69786399320583
51,510,-546778.5577735831,24.29245678027215,42.17852626636595
52,520,-547203.3221509511,24.332914762140717,42.650657941600365
53,530,-547632.7652153109,24.371683109449805,43.11454981462011
54,540,-548066.8060459647,24.408815580129158,43.57047890505637
55,550,-548505.3663801401,24.444397836516263,44.01870825523802
56,560,-548948.3705451117,24.47851507246972,44.459488224041706
57,570,-549395.7452888504,24.51128687481105,44.89305768270715
58,580,-549847.4196978819,24.5428395600698,45.31964517418674
59,590,-550303.3251006308,24.5732367522694,45.739469146377814
60,600,-550763.3949469004,24.602524157438808,46.152737950110165
61,610,-551227.5647339381,24.63074616638187,46.559650346775015
62,620,-551695.7718786906,24.658032581012407,46.960396810254316
63,630,-552167.955676207,24.68441117111656,47.355159936881684
64,640,-552644.0572185975,24.709910305030462,47.74411413630733
65,650,-553124.0192604893,24.73463554524642,48.12742673783651
66,660,-553607.7862524451,24.758587646746356,48.50525822303753
67,670,-554095.3041589533,24.781835039454602,48.877762348426046
68,680,-554586.520490927,24.80441733339103,49.24508683745371
69,690,-555081.3841828139,24.8263413378038,49.607373283209746
70,700,-555579.8455631345,24.84767511862462,49.96475770110119
71,710,-556081.8562886096,24.868438826143443,50.31737094569399
72,720,-556587.3693068384,24.888656397303464,50.665338688230264
73,730,-557096.3387824763,24.908403444921614,51.00878208292561
74,740,-557608.720081874,24.927665432321422,51.34781775781303
75,750,-558124.4697165868,24.946424524096233,51.68255742648035
76,760,-558643.5452706569,24.96478718252625,52.01310894424533
77,770,-559165.9054104434,24.98275007365133,52.33957661501191
78,780,-559691.5098211148,25.00030193832348,52.6620606105993
79,790,-560220.3191562864,25.01750840052572,52.9806576171206
80,800,-560752.2950392334,25.034356788732172,53.29546100781299
81,810,-561287.3999949904,25.050863817051695,53.60656069957622
82,820,-561825.5974357463,25.067062933527573,53.914043606126505
83,830,-562366.8516306411,25.082960603421206,54.2179937231529
84,840,-562911.1276678366,25.098575088882413,54.518492175753636
85,850,-563458.3914400766,25.11391538332088,54.81561737006414
86,860,-564008.6096023502,25.129004940629116,55.109445150017564
87,870,-564561.7495626337,25.143841398821678,55.40004885157687
88,880,-565117.7794461384,25.158433370711407,55.68749933135405
89,890,-565676.6680720408,25.172818167472787,55.97186530228937
90,900,-566238.3849414588,25.186992151080503,56.2532133632456
91,910,-566802.9002075905,25.200946291896916,56.53160783528583
92,920,-567370.184655513,25.214705433219336,56.80711101572524
93,930,-567940.2096821697,25.22830020624123,57.07978348091129
94,940,-568512.947284973,25.24171769171351,57.349683959332474
95,950,-569088.370038558,25.254927505433376,57.61686908622069
96,960,-569666.4510708975,25.26800652472309,57.881393957951516
97,970,-570247.1640486328,25.280966995752326,58.14331242146582
98,980,-570830.483192874,25.293724634457682,58.402676299812455
99,990,-571416.3831997368,25.30635505495593,58.65953578930931
100,1000,-572004.839284089,25.31888790457728,58.91394010284712
101,1010,-572595.827140762,25.331253546674485,59.16593678765057
102,1020,-573189.3229304659,25.343459966720765,59.415571679826826
103,1030,-573785.3032614096,25.355584652034885,59.66288968911103
104,1040,-574383.7451885944,25.367613980010788,59.90793473409576
105,1050,-574984.6262110483,25.379546816882943,60.15074940153427
106,1060,-575587.9242213307,25.39140617548278,60.391375170223185
107,1070,-576193.6175594744,25.403088891258736,60.62985197692615
108,1080,-576801.6849167746,25.414706606848554,60.86621867851791
109,1090,-577412.105389729,25.42628720731591,61.10051370224101
110,1100,-578024.8584665174,25.437613777554517,61.3327735643994
111,1110,-578639.9239675826,25.448980875784606,61.563034130560126
112,1120,-579257.2820576339,25.46039879913434,61.79133167418913
113,1130,-579876.9133493555,25.47152642637407,62.01770003797137
114,1140,-580498.7986483214,25.482674334745226,62.24217202261789
115,1150,-581122.9192006597,25.493773928610608,62.46478063346295
116,1160,-581749.2565282492,25.50469654242059,62.68555716562551
117,1170,-582377.7924515913,25.51575910245559,62.90453290801234
118,1180,-583008.5091311227,25.52659379769466,63.12173814661947
119,1190,-583641.3890389682,25.537279077372016,63.33720117158228
120,1200,-584276.4148166395,25.548202635836788,63.55095150781999
121,1210,-584913.5695856989,25.55884573232915,63.7630174171456
122,1220,-585552.8365697016,25.56940393849535,63.973425121247416
123,1230,-586194.1993376303,25.580201197893068,64.18220231805462
124,1240,-586837.641733891,25.590791759150505,64.38937555221783
125,1250,-587483.1478541789,25.601250766340122,64.59496923173137
126,1260,-588130.7019921963,25.61171584716631,64.79900802784104
127,1270,-588780.2887709728,25.622071760115254,65.00151611915352
128,1280,-589431.8929539451,25.632554559409982,65.20251758366939
129,1290,-590085.499631628,25.643096270459143,65.40203659592663
130,1300,-590741.0940889937,25.653277067350974,65.6000948921952
131,1310,-591398.6618399641,25.663436001518303,65.79671338826157
132,1320,-592058.1885400631,25.67399217569093,65.99191540443135
133,1330,-592719.6602119647,25.68425158137688,66.18572271156592
134,1340,-593383.0629887615,25.694188125244892,66.37815388462623
135,1350,-594048.3831709072,25.704373798959036,66.56922910535505
136,1360,-594715.6073443629,25.71465687905419,66.75896966949804
137,1370,-595384.7222406048,25.724867279345055,66.94739522613236
138,1380,-596055.7148343405,25.734970818925845,67.13452425095893
139,1390,-596728.572220457,25.744994315556625,67.32037479207503
140,1400,-597403.2817361497,25.755002996419023,67.50496483885509
141,1410,-598079.830831767,25.765090101529495,67.68831256014965
142,1420,-598758.2072102436,25.7752012953393,67.87043587892549
143,1430,-599438.3986884957,25.785278915296658,68.05135194785107
144,1440,-600120.3933044206,25.79503238070777,68.23107635039196
145,1450,-600804.1792106554,25.804968922079254,68.40962508650264
146,1460,-601489.7446853701,25.815153128460846,68.58701579661721
147,1470,-602177.0783449315,25.825000095923315,68.763263991657
148,1480,-602866.1687110123,25.835284482350314,68.93838549453213
149,1490,-603557.004690118,25.845363874183597,69.11239627000032
150,1500,-604249.5752459741,25.85470023026595,69.28530801307498
151,1510,-604943.8693880225,25.86454942012141,69.45713455055375
152,1520,-605639.876367664,25.874576469207682,69.62789249231719
153,1530,-606337.5856221971,25.884480672871213,69.79759603682324
154,1540,-607036.9865884247,25.89480760358856,69.96625989360473
155,1550,-607738.0690408614,25.90469735756095,70.13389748412882
