,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-591140.3472398057,-0.0,0.0
1,10,-591140.5748908331,0.09024423955997918,0.04512211977998959
2,20,-591141.8275356882,0.34063869662350044,0.1754039137158543
3,30,-591144.6399624703,0.8499313603708288,0.4022188146002009
4,40,-591150.1206055031,1.793197715980932,0.7680237558262889
5,50,-591160.0374522457,3.162682154099457,1.3084416857338512
6,60,-591176.3456524778,4.7837890737166155,2.0233589906201814
7,70,-591200.736399254,6.460345157978007,2.883461305666424
8,80,-591234.4626266106,8.061760662053713,3.8487745726146385
9,90,-591278.3516043078,9.526685562991773,4.881894923048094
10,100,-591332.8884040538,10.838956840249011,5.953103074115643
11,110,-591398.307634086,12.005381507266424,7.040750075549295
12,120,-591474.6700088579,13.041727238357996,8.129854536568747
13,130,-591561.9195966179,13.965469843355828,9.210393293680681
14,140,-591659.9240377898,14.79267761358642,10.275836663965311
15,150,-591768.502235591,15.537014576926587,11.322047064633807
16,160,-591887.4428599034,16.209768956992775,12.346502830437384
17,170,-592016.5169134358,16.820190196213666,13.347769586702633
18,180,-592155.4861044096,17.375863618397847,14.325143941350687
19,190,-592304.1085093893,17.883082146750535,15.278414244554003
20,200,-592462.1423791788,18.347156681120413,16.2077005864965
21,210,-592629.348699336,18.772649497751242,17.113347348709063
22,220,-592805.4929673102,19.163436002586945,17.995847830316045
23,230,-592990.3463168975,19.522922830891922,18.855791832627432
24,240,-593183.6861663555,19.854182923841307,19.69383200942975
25,250,-593385.2968437301,20.159842579232645,20.510657671927767
26,260,-593594.9696702738,20.442280948831467,21.306975310989948
27,270,-593812.5031186895,20.70363750468243,22.08349679299863
28,280,-594037.7028371904,20.945787610893603,22.840929409152885
29,290,-594270.3814492114,21.17049089630892,23.57996979450545
30,300,-594510.3585578367,21.379288482276024,24.301299732939512
31,310,-594757.4604568316,21.57352386099228,25.00558126991818
32,320,-595011.5199964595,21.754455783683795,25.693454703812314
33,330,-595272.3762694338,21.923245080481852,26.365538455439676
34,340,-595539.8745048118,22.080906051688338,27.02242804208945
35,350,-595813.8657124365,22.228330763711686,27.664694831070666
36,360,-596094.2065496956,22.366373875632455,28.29288649501541
37,370,-596380.7589620263,22.49583415254313,28.907528335439565
38,380,-596673.3901211078,22.617344497010304,29.509122732376273
39,390,-596971.9720323216,22.73153897156296,30.09814935730974
40,400,-597276.3814235695,22.839013489196134,30.6750670127396
41,410,-597586.4995015621,22.940257706656134,31.240313921679626
42,420,-597902.2117395204,23.035757831804162,31.794308374288082
43,430,-598223.4077100286,23.125934504068542,32.337449801735055
44,440,-598549.980872454,23.211187709879596,32.87011951360182
45,450,-598881.8284157082,23.291872975300034,33.392681598919445
46,460,-599218.8510851238,23.368309819127866,33.9054835551331
47,470,-599560.9530084769,23.440814098026088,34.408857285477275
48,480,-599908.0415672016,23.509640964120763,34.903119741598495
49,490,-600260.0272302652,23.57504759366566,35.3885735451142
50,500,-600616.8234167495,23.637281489645723,35.8655080701501
51,510,-600978.3463888647,23.69654804521997,36.3341999835291
52,520,-601344.5150914891,23.753041455661915,36.794913711393015
53,530,-601715.2510753428,23.80694352520812,37.24790214761597
54,540,-602090.4783365792,23.858419350843178,37.693407244743135
55,550,-602470.1232663682,23.90761612154881,38.13166049977007
56,560,-602854.1144848921,23.954699241253508,38.56288370773691
57,570,-603242.3828145729,23.999776118170242,38.987289302876164
58,580,-603634.8611326631,24.04296653090872,39.4050806076426
59,590,-604031.4843109307,24.08441413248648,39.81645276500786
60,600,-604432.1891366623,24.124206127482424,40.22159302058281
61,610,-604836.9142236495,24.1624324069679,40.62068079629244
62,620,-605245.5999447465,24.199183277867313,41.01388822479349
63,630,-605658.1883543401,24.23455266536903,41.40138064821368
64,640,-606074.623129139,24.268623132258654,41.78331698600086
65,650,-606494.8495025961,24.301460834030877,42.15984991832956
66,660,-606918.8142029891,24.333128344919345,42.5311261138384
67,670,-607346.4653959806,24.36369999279573,42.89728665190196
68,680,-607777.7526273513,24.393235431844413,43.25846733379876
69,690,-608212.6267818982,24.42177586159072,43.61479874933429
70,700,-608651.0400137323,24.44938613375431,43.96640661201963
71,710,-609092.9457190399,24.47611535563478,44.31341209395032
72,720,-609538.2984779039,24.502003686432577,44.65593190687504
73,730,-609987.0540169453,24.52709474307797,44.994078509863165
74,740,-610439.1691663458,24.551431802404064,45.327960362192236
75,750,-610894.6018188195,24.57505862141245,45.65768213905393
76,760,-611353.3108990053,24.59799877152545,45.98334480248303
77,770,-611815.2563186252,24.620285061298695,46.305045722686906
78,780,-612280.3989468076,24.641955184639723,46.62287895478802
79,790,-612748.7005769042,24.663084426554157,46.93693567702575
80,800,-613220.1238947046,24.683619311777818,47.24730376877851
81,810,-613694.6324728676,24.70352773425111,47.55406730141694
82,820,-614172.1906522575,24.723006000527064,47.85730824994535
83,830,-614652.7636417862,24.742048779356992,48.157106773156556
84,840,-615136.3174127375,24.76058869053371,48.45353971627046
85,850,-615622.8186896346,24.778686001038537,48.746681149238434
86,860,-616112.2349297368,24.79635658823542,49.03660298960022
87,870,-616604.5342956011,24.8136267122433,49.323374903555674
88,880,-617099.6856358469,24.830518562160307,49.60706444545649
89,890,-617597.6584655732,24.84703692728065,49.887737032384024
90,900,-618098.4229413035,24.86320216470631,50.16545602839614
91,910,-618601.9498431531,24.87903206769545,50.44028290770511
92,920,-619108.2105588332,24.894535317481626,50.71227727369405
93,930,-619617.1770590045,24.909732185592425,50.98149695260945
94,940,-620128.8218873705,24.924634171719596,51.24799808526877
95,950,-620643.1181381616,24.939251281932364,51.51183514388103
96,960,-621160.039443215,24.95359776383259,51.773061016174324
97,970,-621679.5599547005,24.967681670043316,52.03172706124606
98,980,-622201.6543314611,24.981513164926064,52.287883151118876
99,990,-622726.2977224436,24.995107371851848,52.54157776695938
100,1000,-623253.4657556928,25.00847047631396,52.7928580353604
101,1010,-623783.1345234682,25.021614745853075,53.04176976767194
102,1020,-624315.2805681151,25.03454282140592,53.288357494765656
103,1030,-624849.8808748872,25.047266944410293,53.53266451641684
104,1040,-625386.9128483104,25.059799451334328,53.774732995958765
105,1050,-625926.3543202652,25.072128930434925,54.01460389115819
106,1060,-626468.1835129102,25.08429246610023,54.25231711557717
107,1070,-627012.3790528548,25.096275918162352,54.48791156722582
108,1080,-627558.9199482518,25.108092875022052,54.72142505531811
109,1090,-628107.7855708344,25.11977022804188,54.95289452983416
110,1100,-628658.9556772509,25.13124100826083,55.18235574730643
111,1110,-629212.4103531179,25.142579352215556,55.40984352292726
112,1120,-629768.1300393438,25.15381770003603,55.63539221389219
113,1130,-630326.095524357,25.16487480449998,55.85903504646994
114,1140,-630886.2879077583,25.175788615713827,56.080804175537196
115,1150,-631448.688615881,25.18661057089048,56.300731303526845
116,1160,-632013.2793862133,25.197308143775444,56.518847392835596
117,1170,-632580.0422676036,25.207853136887092,56.73518234776857
118,1180,-633148.9595916144,25.218286330572944,56.94976536134345
119,1190,-633720.0139887746,25.228631685569248,57.16262516095303
120,1200,-634293.1883686531,25.238871339708737,57.37378977900953
121,1210,-634868.465922277,25.249008188987414,57.58328648750757
122,1220,-635445.8301028049,25.259049072087336,57.79114192500855
123,1230,-636025.2646353459,25.268934441410238,57.99738186362373
124,1240,-636606.7534923903,25.2787491078373,58.202031549271474
125,1250,-637190.2808880706,25.28856103053867,58.405116233344586
126,1260,-637775.8313171717,25.298187982529456,58.606660112318046
127,1270,-638363.389480325,25.307733987798475,58.80668649515281
128,1280,-638952.9403127412,25.317323338985716,59.00521903742919
129,1290,-639544.4690124182,25.3267666540778,59.202280593947215
130,1300,-640137.9609718542,25.33599680467141,59.39789249772875
131,1310,-640733.4018054893,25.345270640851414,59.5920763134869
132,1320,-641330.7773222916,25.354602208722202,59.78485414757015
133,1330,-641930.0736124966,25.363692921388054,59.97624653647945
134,1340,-642531.2768855196,25.37270387577582,60.16627303370042
135,1350,-643134.3735978261,25.38173463636495,60.35495372647274
136,1360,-643739.3503902031,25.39073805203671,60.54230845271377
137,1370,-644346.194097122,25.399643401638702,60.7283561828488
138,1380,-644954.8917590195,25.408393727143896,60.91311500888405
139,1390,-645565.4305506956,25.417224532030904,61.0966032716693
140,1400,-646177.7978796408,25.426004866894797,61.27883929713134
141,1410,-646791.9813134872,25.434607890358993,61.45984010237153
142,1420,-647407.9685730813,25.443246107856673,61.63962264211878
143,1430,-648025.7475678788,25.451842293344292,61.81820399243588
144,1440,-648645.3063781015,25.460407557897266,61.99560064091637
145,1450,-649266.6332187161,25.46898699627491,62.17182892691634
146,1460,-649889.7165185544,25.477414159110356,62.34690443836006
147,1470,-650514.5447970007,25.485766214367946,62.52084213635389
148,1480,-651141.1067724755,25.494004192005377,62.69365680853515
149,1490,-651769.3912776565,25.5023851412231,62.86536367470398
150,1500,-652399.3872977999,25.510900148364964,63.035978482160125
151,1510,-653031.0840362026,25.51907924971041,63.20551507840427
152,1520,-653664.4707298306,25.527205612836298,63.37398641191538
153,1530,-654299.536815742,25.535389085160677,63.54140646694867
154,1540,-654936.2718475488,25.54360781018051,63.707789242478604
155,1550,-655574.6655139965,25.55188076819402,63.873148455902985
156,1560,-656214.7076685943,25.55983962815942,64.03749644064663
157,1570,-656856.3882459976,25.567922998412037,64.20084550992178
158,1580,-657499.6972946727,25.576070181111348,64.36320894723903
159,1590,-658144.6250985079,25.58396349406148,64.52459859358204
160,1600,-658791.1618752273,25.59211215283767,64.68502665944979
161,1610,-659439.2981682493,25.600130596847386,64.84450552109774
162,1620,-660089.0244838202,25.60785920249741,65.00304563474492
