,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-559722.0119575835,-0.0,0.0
1,10,-559722.2153566665,0.0961940930923447,0.04809704654617235
2,20,-559723.4361495246,0.40193407684564586,0.1966776123037562
3,30,-559726.4699185562,1.0622830090171194,0.4742082996846876
4,40,-559732.8990230027,2.217528421327006,0.9284465205200833
5,50,-559744.8882538994,3.7747953003854486,1.5831171032245037
6,60,-559764.537180694,5.514983997715171,2.420178633072646
7,70,-559793.5049516457,7.252438030546183,3.397791920778399
8,80,-559832.9418983702,8.883060973929243,4.471014519545133
9,90,-559883.5641524238,10.366010560485298,5.602095305998228
10,100,-559945.7619209159,11.695340855483662,6.762751824354927
11,110,-560019.6945112484,12.880702813359676,7.93300535864546
12,120,-560105.3633068836,13.936877927149176,9.099195097126358
13,130,-560202.6637893943,14.879130418621934,10.252172590960981
14,140,-560311.4209526085,15.721368369762786,11.385924279608298
15,150,-560431.4150072898,16.475650846274227,12.496590082928016
16,160,-560562.3967936755,17.1528067694977,13.581803656017291
17,170,-560704.1012941088,17.762052510649657,14.640242176700848
18,180,-560856.2546516663,18.311174784146697,15.671299229841678
19,190,-561018.5806456587,18.80708484467469,16.67486625923193
20,200,-561190.8040091774,19.255974681407686,17.6511889116533
21,210,-561372.6538600394,19.66303451673883,18.600755767182275
22,220,-561563.8653160513,20.03273704860476,19.524212734053435
23,230,-561764.1804734997,20.369412921732874,20.422315536816313
24,240,-561973.3497811954,20.676556476205604,21.295890454456092
25,250,-562191.1321529108,20.95725179387955,22.145797083587965
26,260,-562417.2951737999,21.21433002303237,22.97291000452387
27,270,-562651.6154351921,21.45017709469249,23.77810339133575
28,280,-562893.877997209,21.667090004333275,24.562241214595268
29,290,-563143.8767576137,21.866850488385555,25.326168199694074
30,300,-563401.4138063386,22.05105232971258,26.07070040211547
31,310,-563666.2992531228,22.221437261113884,26.796628219349074
32,320,-563938.3510185744,22.37941258810457,27.504716819443274
33,330,-564217.3945709042,22.525963512886655,28.195697618600388
34,340,-564503.2624965454,22.6619811034238,28.870264524059895
35,350,-564795.7940868831,22.788630015289517,29.5290808094127
36,360,-565094.8351287558,22.906825217732678,30.172783017020265
37,370,-565400.2377514509,23.017241464712477,30.80197717084375
38,380,-565711.8597889858,23.120622727967525,31.41723969452578
39,390,-566029.5649203048,23.217408092875793,32.01911749274441
40,400,-566353.2219468242,23.30812483816416,32.60812813133525
41,410,-566682.7048154079,23.393481441939453,33.18476605086035
42,420,-567017.8922295008,23.473930628970265,33.74950396501518
43,430,-567358.6676192348,23.549623819842175,34.302788355236416
44,440,-567704.9186365859,23.62099559548075,34.84504159484496
45,450,-568056.5370498708,23.688613026446514,35.37666881074402
46,460,-568413.4186760306,23.752481505140928,35.89805476894399
47,470,-568775.4630254193,23.812910878969806,36.40956275487698
48,480,-569142.5730472188,23.870435606595095,36.91154196491698
49,490,-569514.6553080988,23.925062818537082,37.40432562988572
50,500,-569891.6194480793,23.976964059693273,37.88822856454936
51,510,-570273.3782543036,24.026324566666045,38.36355040678027
52,520,-570659.8474201874,24.07331330543373,38.830576774812656
53,530,-571050.9453766391,24.118230501175276,39.28958141763724
54,540,-571446.5933256075,24.16118032353709,39.740826526688764
55,550,-571846.7149370888,24.202247053923358,40.18456158707705
56,560,-572251.2364016376,24.241485101170838,40.62102384610044
57,570,-572660.0861317595,24.279053435276566,41.05043983030192
58,580,-573073.1948241685,24.315162293100606,41.47302745128691
59,590,-573490.4952586654,24.34987801161491,41.8889958177344
60,600,-573911.9223241429,24.383177338109903,42.29854386062216
61,610,-574337.4127774436,24.41517791170323,42.70186141421873
62,620,-574766.905275676,24.44606349868691,43.099131496707564
63,630,-575200.3402489509,24.475753291140606,43.49052918033122
64,640,-575637.6598810793,24.504366520978692,43.8762215540235
65,650,-576078.8078812779,24.532047249944164,44.25636997323745
66,660,-576523.7297155582,24.558727545908,44.631128995263126
67,670,-576972.3721580664,24.58459138094622,45.00064706137781
68,680,-577424.6836273377,24.60968342237175,45.36506771581188
69,690,-577880.6138028435,24.633911870306523,45.72452787814399
70,700,-578340.1138234832,24.657295623852455,46.0791580260702
71,710,-578803.1359762411,24.68004243045289,46.42908468194799
72,720,-579269.6339028424,24.70212890726995,46.77443035951146
73,730,-579739.5623988953,24.723558282986158,47.11531236166193
74,740,-580212.8773871501,24.744510695856192,47.45184444179322
75,750,-580689.535976773,24.764830989806796,47.78413595489546
76,760,-581169.4962826447,24.784526257042415,48.11229092195717
77,770,-581652.717464512,24.803743394918165,48.43641028455167
78,780,-582139.159665643,24.822514806379328,48.75659223800612
79,790,-582628.7840137548,24.840818436685364,49.07293129251484
80,800,-583121.5525434138,24.858583061955812,49.38551780650451
81,810,-583617.4281925858,24.87595824299491,49.694439248438
82,820,-584116.3747127156,24.893102743284544,49.999781758083564
83,830,-584618.3567952405,24.909763947955916,50.301627788896454
84,840,-585123.3398589654,24.925979747192528,50.60005553492667
85,850,-585631.2901034123,24.941945443686624,50.89514178813262
86,860,-586142.1745193804,24.957525926228662,51.18696100919189
87,870,-586655.9607976753,24.972780404600595,51.47558463057504
88,880,-587172.6173313891,24.98780138606665,51.761082501277265
89,890,-587692.1132300553,25.002516376503817,52.04352222066518
90,900,-588214.4182349369,25.016929763864155,52.322968738946656
91,910,-588739.5027484472,25.03109315108715,52.599485160931366
92,920,-589267.3377739353,25.045014125283473,52.873132846986124
93,930,-589797.8949451473,25.058679399031362,53.143971136979246
94,940,-590331.1464495099,25.072114908665917,53.4120575331137
95,950,-590867.0650684707,25.08533474059341,53.67744792403974
96,960,-591405.624110152,25.098355548642644,53.94019660343765
97,970,-591946.7974380006,25.111172275035642,54.20035623759904
98,980,-592490.5594189394,25.123785081412713,54.457977846890564
99,990,-593036.8849301181,25.13621829052863,54.71311102126346
100,1000,-593585.7493338825,25.14847610669655,54.96580399922385
101,1010,-594137.1284700298,25.160564425410264,55.21610362938808
102,1020,-594690.9986392682,25.172483041259838,55.46405540373088
103,1030,-595247.336589912,25.184251223821775,55.70970357516052
104,1040,-595806.1195066309,25.19587265972521,55.95309122504987
105,1050,-596367.3250015315,25.207338620413644,56.19426017403312
106,1060,-596930.9310942474,25.218662326940027,56.43325107421697
107,1070,-597496.916208816,25.2298498536781,56.67010352323268
108,1080,-598065.2591582136,25.240943027939494,56.90485623559798
109,1090,-598635.939135672,25.25191065419663,57.13754690586211
110,1100,-599208.9357195976,25.262726162589466,57.36821193187061
111,1110,-599784.2288187313,25.273451801977195,57.59688688282331
112,1120,-600361.7987268589,25.284031666396345,57.82360640167754
113,1130,-600941.6260519895,25.294525894455568,58.0484042239943
114,1140,-601523.6917454296,25.304981223185152,58.27131366469403
