,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-699950.8370171125,-0.0,0.0
1,10,-699950.8996353761,0.060615270707057786,0.030307635353528893
2,20,-699951.5253809447,0.28601175421499647,0.13211820926080692
3,30,-699953.4494827314,0.7856655456736917,0.334565405426838
4,40,-699957.9339798612,1.5973914376460012,0.66518359274487
5,50,-699966.4748706957,2.604021511477186,1.1252596735983387
6,60,-699980.3164931542,3.661030853324337,1.6907477291897521
7,70,-700000.3324307519,4.698125155945308,2.3314140019152547
8,80,-700027.1058788026,5.703843393386341,3.0234845822837086
9,90,-700061.0364202706,6.68725886265747,3.7514891756291036
10,100,-700102.414481418,7.656409288611032,4.5058240213184035
11,110,-700151.46156029,8.612366401564216,5.280115685820056
12,120,-700208.3487211878,9.550549390527882,6.069526443829819
13,130,-700273.204396315,10.463733576651427,6.869917293178151
14,140,-700346.1181255927,11.34449247926241,7.677529030275765
15,150,-700427.1433356529,12.186610403034136,8.488909822731513
16,160,-700516.3003656527,12.985651842644444,9.300931789581956
17,170,-700613.5799027322,13.739005160209494,10.11082179672958
18,180,-700718.9467353192,14.445655473723301,10.91617839139799
19,190,-700832.3435407766,15.105864603485673,11.714969351724722
20,200,-700953.694561594,15.720834653126072,12.50551297077618
21,210,-701082.908999039,16.29241963551323,13.286448590330838
22,220,-701219.8840571751,16.822893564717386,14.056701833664558
23,230,-701364.5076375594,17.314754131386866,14.815448022280181
24,240,-701516.6606319648,17.770598364039337,15.56207652003941
25,250,-701676.2188919606,18.193021618208128,16.29615775165439
26,260,-701843.0548706945,18.5845470265136,17.017413319143817
27,270,-702017.0389809508,18.947593975748187,17.72568982419034
28,280,-702198.0407202343,19.284443979442585,18.420936265173076
29,290,-702385.9295795348,19.597225745773155,19.103184538747882
30,300,-702580.575775459,19.887915521714614,19.772532999956457
31,310,-702781.8508343198,20.158337109742583,20.42913272816368
32,320,-702989.6280513792,20.41016590306532,21.073176039911047
33,330,-703203.7828466658,20.644936919424836,21.704886956683183
34,340,-703424.1930346783,20.864053285837908,22.324513344246952
35,350,-703650.7390249748,21.068794665043242,22.93232043820317
36,360,-703883.3039630196,21.26032845728332,23.52858555881685
37,370,-704121.773825758,21.43971843777399,24.113593823336124
38,380,-704366.0374785357,21.607933126995313,24.687634657736638
39,390,-704615.9867005281,21.765855285091675,25.250998994034312
40,400,-704871.516186817,21.914288548752694,25.80397702762566
41,410,-705132.5235294367,22.053966881285305,26.3468564501105
42,420,-705398.909183647,22.18555854144506,26.87992105789599
43,430,-705670.5764235953,22.309671831649016,27.403449638796157
44,440,-705947.4312838499,22.426865720353042,27.917715174358456
45,450,-706229.3825008532,22.537649391044383,28.42298424774781
46,460,-706516.3414437985,22.642486917728093,28.919516562551145
47,470,-706808.2220442364,22.741805147632807,29.407564648102564
48,480,-707104.940722806,22.83599597616123,29.887373703502817
49,490,-707406.4163154048,22.925417292123928,30.3591814910993
50,500,-707712.5699984604,23.01039668775049,30.823218287488274
51,510,-708023.3252129342,23.091238673680362,31.279706947244996
