,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-614943.4535589395,-0.0,0.0
1,10,-614943.5706693095,0.06817575510940514,0.03408787755470257
2,20,-614944.314753386,0.3479214019142091,0.15515610558795742
3,30,-614946.5319202538,1.0505573498579908,0.41722934770950815
4,40,-614952.1343758707,2.275579609151464,0.8767696904964396
5,50,-614963.5006025295,3.8486225629312685,1.5460793979334997
6,60,-614982.709794447,5.520001206634334,2.3909417547794876
7,70,-615011.2582653087,7.120093311564416,3.3595199490155214
8,80,-615050.0852210674,8.57316103677731,4.403920607497276
9,90,-615099.7021755825,9.863938236210377,5.487739740974212
10,100,-615160.3264528718,11.005857102631126,6.586029164784122
11,110,-615231.9858113506,12.021351884302563,7.682747105565795
12,120,-615314.5911130867,12.932370786659886,8.768020973993407
13,130,-615407.9834539708,13.757021982714656,9.835985986875311
14,140,-615511.9636759238,14.509140495763859,10.883285806114145
15,150,-615626.3103949992,15.198982012399936,11.908102128995234
16,160,-615750.7909258916,15.83418304561637,12.909553082917409
17,170,-615885.1679547274,16.420563548043727,13.88732905450597
18,180,-616029.2036334735,16.96273597872933,14.84147391643928
19,190,-616182.6621345687,17.46453898027828,15.772254158019495
20,200,-616345.311309897,17.929274451045778,16.680079150355596
21,210,-616516.9237648947,18.359866804996273,17.565450697464986
22,220,-616697.2775352226,18.758994706720106,18.428931172087324
23,230,-616886.1565700874,19.129123832381463,19.271122478971666
24,240,-617083.3510236513,19.47252470687964,20.092650595126905
25,250,-617288.6574167277,19.791304048194423,20.894154274150786
26,260,-617501.8787199248,20.08741880887539,21.67627687066997
27,270,-617722.8243498452,20.362687369770747,22.439660189369167
28,280,-617951.3101374428,20.618785122490934,23.18493958398612
29,290,-618187.1582272141,20.857252098617007,23.912739970262916
30,300,-618430.1969622786,21.07950898280251,24.62367291478003
31,310,-618680.2607281674,21.286863521329373,25.318334572901943
32,320,-618937.1897990914,21.4805157314986,25.997304139615153
33,330,-619200.8301497933,21.66156112536555,26.661142669516266
34,340,-619471.0332805687,21.830998419941146,27.310392235523615
35,350,-619747.656009147,21.98974869644734,27.945575597026618
36,360,-620030.5602895988,22.13865228529326,28.567196145858908
37,370,-620319.613009868,22.278472142390118,29.175737861955717
38,380,-620614.6858011681,22.40991139041723,29.77166555144941
39,390,-620915.6548453375,22.533611856077886,30.355425266279784
40,400,-621222.4006931484,22.65015585394579,30.92744467414741
41,410,-621534.8080775825,22.760079489968426,31.48813356732135
42,420,-621852.7657409826,22.863874415581783,32.03788449345884
43,430,-622176.1662654275,22.96198743915896,32.57707332854043
44,440,-622504.9059073079,23.054829544178148,33.1060598818498
45,450,-622838.884441588,23.142778312554455,33.625188562466064
46,460,-623178.0050095824,23.226178977103103,34.134789010859095
47,470,-623522.1739762485,23.30534811399709,34.63517671325681
48,480,-623871.3007892283,23.380580071359873,35.12665365758876
49,490,-624225.2978497294,23.45214011509095,35.60950891886023
50,500,-624584.0803856003,23.520274523470874,36.08401921628975
51,510,-624947.566327386,23.585215697059066,36.55044956639758
