,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-672145.5545885287,-0.0,0.0
1,10,-672145.6202165306,0.035046673781471326,0.017523336890735663
2,20,-672146.0517882566,0.1518324424047023,0.0730047843826469
3,30,-672147.1533394858,0.44172332350281074,0.1845834489009576
4,40,-672149.5856368326,1.0524803947308101,0.389764052159444
5,50,-672154.5761067542,2.028083446217352,0.7241324461225305
6,60,-672163.644289356,3.2649438852793535,1.1990194478508784
7,70,-672178.2235415925,4.611951187226804,1.8005231897594058
8,80,-672199.4692344478,5.954158866079524,2.5020832036912903
9,90,-672228.2249832149,7.228993273648668,3.275828870246187
10,100,-672265.0649738701,8.41208459911286,4.098043837626756
11,110,-672310.3552838312,9.500072953017657,4.950469565446838
12,120,-672364.3090516888,10.499095225764904,5.819753364384814
13,130,-672427.0313042768,11.41831625143532,6.696381675128941
14,140,-672498.5501135933,12.267177462781547,7.5736611656131565
15,150,-672578.840605496,13.053415837901415,8.446888507690163
16,160,-672667.840253963,13.783096057130024,9.312724120738858
17,170,-672765.4590156162,14.461900487117227,10.168795886851148
18,180,-672871.5881344755,15.094407175347442,11.01343498938222
19,190,-672986.1054268826,15.684140777500586,11.845464624362648
20,200,-673108.8791420443,16.234083001385446,12.664057246173616
21,210,-673239.7710818911,16.747342912459857,13.468655581028726
22,220,-673378.638315616,17.226593614177546,14.258915332080505
23,230,-673525.3364376853,17.67364488171006,15.034638494653336
24,240,-673679.718568486,18.09152022076306,15.795754837260755
25,250,-673841.6385671868,18.482548419488023,16.542312476916415
26,260,-674010.9513550574,18.847948693268663,17.274423997099802
27,270,-674187.5127741594,19.189430952176906,17.992244381341152
28,280,-674371.1809857723,19.508766684064206,18.695975047432874
29,290,-674561.8157677279,19.80856368528622,19.38587284116802
30,300,-674759.2802831787,20.09025102976011,20.06223731842183
31,310,-674963.4409181037,20.353898493864108,20.725363520969402
32,320,-675174.1665819581,20.601216221135076,21.375546209809546
33,330,-675391.3291633102,20.834678802077566,22.013117164811412
34,340,-675614.8044010139,21.05449947774181,22.638419108677773
35,350,-675844.4715646405,21.26056983384477,23.251766527195286
36,360,-676080.2122194553,21.45546389742519,23.853481507523973
37,370,-676321.9117600666,21.6403616395342,24.443911381108045
38,380,-676569.4594422271,21.81506952542694,25.02338908905367
39,390,-676822.746941049,21.98003277576355,25.592224769543098
40,400,-677081.6698960784,22.136230557109258,26.150722943503933
41,410,-677346.1257453911,22.28501533966922,26.699194305219862
42,420,-677616.0165804868,22.425723731901932,27.237935686542187
43,430,-677891.2460281134,22.560099909239202,27.767235331243135
44,440,-678171.7210970208,22.68851157192841,28.287386069509374
45,450,-678457.3524502862,22.810150216711904,28.798656178163945
46,460,-678748.0515331656,22.92768431008449,29.301316251575187
47,470,-679043.7345615404,23.039664400002206,29.79563302423339
48,480,-679344.3190861018,23.145392777770724,30.281833678434488
49,490,-679649.724897816,23.247703096756595,30.760152980040587
50,500,-679959.8744663529,23.3468605691451,31.230843045903022
51,510,-680274.6929509052,23.4410277506278,31.694125649149647
52,520,-680594.1073350592,23.531850174814352,32.15020743684727
53,530,-680918.0461237988,23.62102503008504,32.599315085764104
54,540,-681246.441626977,23.70551220097125,33.04165042788082
55,550,-681579.2264853944,23.786655664080172,33.477388235442056
56,560,-681916.3355575621,23.86585925812821,33.90671858875139
57,570,-682257.7062329275,23.942584505750023,34.32982928894489
58,580,-682603.2765304744,24.017110362782965,34.74689601489954
59,590,-682952.9877941489,24.0885972767021,35.158080724638424
60,600,-683306.7810277749,24.160004506877115,35.56355475041637
61,610,-683664.6006077612,24.22901373683999,35.963486594559804
62,620,-684026.3921947466,24.294018762052204,36.35800457395817
