,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-585259.5876726517,-0.0,0.0
1,10,-585259.688685093,0.10226298148045318,0.05113149074022659
2,20,-585260.5532861707,0.5723007438529749,0.2453381674436969
3,30,-585263.9812292346,1.6469635181041669,0.6629072730909684
4,40,-585272.9649145667,3.234891075873747,1.3417625772592146
5,50,-585290.233286951,5.017237525637029,2.247847714307136
6,60,-585317.7254537215,6.757053820631701,3.3126592852568137
7,70,-585356.6232448724,8.340700363513315,4.471511415322311
8,80,-585407.5330183471,9.73740031113848,5.675863246447989
9,90,-585470.6743477283,10.959483167578586,6.893310941870732
10,100,-585546.0275845284,12.03446598575101,8.103894417134871
11,110,-585633.4342646622,12.990343730806488,9.296087886004536
12,120,-585732.6600146528,13.850043310504411,10.463643193524332
13,130,-585843.4317951627,14.630619292901242,11.603444458112063
14,140,-585965.4592558121,15.344253783172462,12.714169648446841
15,150,-586098.4466157953,15.999646306372597,13.795500255677325
16,160,-586242.0992220662,16.603198011126366,14.847671737070778
17,170,-586396.1271599114,17.159841293314827,15.871222889427736
18,180,-586560.2471833482,17.673625161830575,16.866858136210066
19,190,-586734.1838011884,18.14805524972907,17.835372569791797
20,200,-586917.669867212,18.586257310351364,18.77760940385924
21,210,-587110.44687457,18.991087883655588,19.694434595752682
22,220,-587312.2650656964,19.365213033917826,20.586721832930927
23,230,-587522.8834486824,19.711117430636627,21.45534286381444
24,240,-587742.0697424244,20.031095405132476,22.301159904261294
25,250,-587969.600227022,20.327283568840393,23.125020063245028
26,260,-588205.2595781609,20.601675647648545,23.927751804768924
27,270,-588448.8406590717,20.856101074258902,24.710161968883767
28,280,-588700.1442995092,21.09223550998137,25.473033125529764
29,290,-588958.9790186388,21.311624223572984,26.21712198516616
30,300,-589225.1607858718,21.515678470517763,26.94315842329961
31,310,-589498.5127219626,21.705688303866204,27.65184481131146
32,320,-589778.8648435284,21.88283287798987,28.343855821866597
33,330,-590066.0537650334,22.04818524234289,29.01983849834796
34,340,-590359.9224422824,22.2027144188585,29.680412417270414
35,350,-590660.3198811251,22.347307833289936,30.326170178191383
36,360,-590967.1008815293,22.48277591045484,30.95767820948676
37,370,-591280.1257775978,22.60985104675058,31.575477513679648
38,380,-591599.2601828988,22.729205423558597,32.180084533753686
39,390,-591924.3747562831,22.84144402641099,32.77199205214856
40,400,-592255.3449636616,22.94712039199652,33.351670083028154
41,410,-592592.0508570469,23.046741007719596,33.91956690509542
42,420,-592934.3768648164,23.14076501094975,34.476110020012136
43,430,-593282.211583184,23.22961451013686,35.021707114391035
44,440,-593635.4475897911,23.31367401607558,35.556747024839574
45,450,-593993.9812530514,23.393291786793302,36.081600602956314
46,460,-594357.7125638714,23.468787896901034,36.596621587872505
47,470,-594726.5449600627,23.54045710238279,37.102147503197195
48,480,-595100.3851796011,23.60857173590921,37.59850052015245
49,490,-595479.1430986505,23.673383649467723,38.085988281681786
50,500,-595862.7316051108,23.735115862364076,38.56490457958571
51,510,-596251.0664483807,23.79397155574694,39.035529969148044
52,520,-596644.0661233104,23.850138834817372,39.49813245811383
53,530,-597041.651736586,23.903812354171645,39.95296837985952
54,540,-597443.7469021521,23.955155477312005,40.400283038738415
55,550,-597850.2776378888,24.004286797207897,40.84031082296424
56,560,-598261.1722406066,24.051387714617846,41.273276145196
57,570,-598676.3612023168,24.09659350698049,41.699394305616444
58,580,-599095.7771417145,24.13996240981497,42.1188710570932
59,590,-599519.3546569252,24.181639589668983,42.531903330380736
60,600,-599947.0302927601,24.221751996839842,42.938680412752724
61,610,-600378.7424434588,24.260354966117475,43.33938371463446
62,620,-600814.4312784703,24.297571713000202,43.734187242185
63,630,-601254.0386594783,24.33346764849839,44.123258160275874
64,640,-601697.5081168986,24.368101290799586,44.50675671072531
65,650,-602144.784696227,24.401606620434993,44.88483716837072
66,660,-602595.8150186336,24.43397312071752,45.25764769165689
67,670,-603050.5471062807,24.465298424719276,45.62533040254784
68,680,-603508.9303889266,24.495658188546177,45.988022390202964
69,690,-603970.9156646476,24.525059991254235,46.34585534996586
70,700,-604436.4549699188,24.55357881929366,46.69895588184154
71,710,-604905.5016490964,24.58126532632741,47.04744608999172
72,720,-605378.0101673792,24.608235569112054,47.391444117075295
73,730,-605853.936233729,24.6344364847201,47.73106365887943
74,740,-606333.2366068223,24.65985271811385,48.0664133023718
75,750,-606815.8691397231,24.684641473213723,48.39759820533364
76,760,-607301.7926963834,24.70884551668989,48.72472067601048
77,770,-607790.9671878363,24.73242297871033,49.04787901941163
78,780,-608283.3534414796,24.75541218165885,49.36716770825006
79,790,-608778.9132478865,24.777834262361228,49.68267798371381
80,800,-609277.6092697459,24.799770595738835,49.994498285774895
81,810,-609779.4050468036,24.821263323110294,50.302714526832276
82,820,-610284.26498331,24.842338383343304,50.60740987473545
83,830,-610792.1542597075,24.862887362640873,50.908663977700044
84,840,-611303.0389107197,24.88283484899445,51.20655251979187
85,850,-611816.8855870031,24.9026041758043,51.50115053890476
86,860,-612333.6618071051,24.922097561752828,51.79253236187796
87,870,-612853.3357868519,24.941054583763012,52.08076767209422
88,880,-613375.876376775,24.959658307698618,52.365923306638436
89,890,-613901.2531382336,24.978034418731113,52.64806558308337
90,900,-614429.4362456757,24.996064533304825,52.92725864432869
91,910,-614960.3965725,25.01369322932157,53.2035635444001
92,920,-615494.1054765912,25.03115854319185,53.47704032441252
93,930,-616030.5350367574,25.048406862089045,53.74774808363581
94,940,-616569.6578199167,25.065326363005376,54.0157431417916
95,950,-617111.4470093425,25.081994421154512,54.281079842803585
96,960,-617655.876259567,25.098408870957655,54.543811219293275
97,970,-618202.9198216839,25.114517375995707,54.80398837396351
98,980,-618752.5523695801,25.130608359409962,55.061662038686336
99,990,-619304.749136036,25.146498855255636,55.316881947746154
100,1000,-619859.4858707604,25.16210984787932,55.569695016456535
101,1010,-620416.7386519458,25.17755374243439,55.8201469208565
102,1020,-620976.4842158798,25.192706418799645,56.068281934932756
103,1030,-621538.6994762685,25.207849947546492,56.31414379747731
104,1040,-622103.3620537125,25.222865262557974,56.55777577640693
105,1050,-622670.4497568815,25.237784109514756,56.79921947603871
106,1060,-623239.9409935692,25.25232740092906,57.0385141522609
107,1070,-623811.8144314409,25.266654500408837,57.27569738312595
108,1080,-624386.0491135772,25.281274830212197,57.51080880112858
109,1090,-624962.6245843183,25.295527417207136,57.74388626959407
110,1100,-625541.5206687076,25.30967126294854,57.97496475931693
111,1110,-626122.7174995505,25.3239387344333,58.20408051570411
112,1120,-626706.1957406608,25.337825563876038,58.431267604501045
113,1130,-627291.9361584709,25.351433487888666,58.656557381656604
114,1140,-627879.9200360297,25.365216512134147,58.87998281573091
115,1150,-628470.1287761481,25.378929261685617,59.10157693604852
116,1160,-629062.5444073677,25.39240180093313,59.32137011451414
117,1170,-629657.1488474815,25.406367861991665,59.53939434390922
118,1180,-630253.9247793268,25.419767580495765,59.75567944512004
119,1190,-630852.8548565455,25.43271232866391,59.97025046053313
120,1200,-631453.9220216521,25.446290163905445,60.18313680538414
121,1210,-632057.1096764762,25.45932366304341,60.39436683118985
122,1220,-632662.4013606987,25.4725760662347,60.60396645152943
123,1230,-633269.7808017501,25.486180888928182,60.81196461641668
124,1240,-633879.2323640294,25.498854854597823,61.01838494087717
125,1250,-634490.740115931,25.5118211593075,61.22325018863778
126,1260,-635104.2888044099,25.524950197781436,61.42658695818684
127,1270,-635719.8632128829,25.537982813475537,61.6284196825218
128,1280,-636337.4484035834,25.551115647331244,61.82877196744231
129,1290,-636957.0297689886,25.56341959467381,62.02766403462447
130,1300,-637578.5927263966,25.57641761802351,62.22511789330165
131,1310,-638202.1229668291,25.589617583376825,62.421159026413804
132,1320,-638827.6067161693,25.601993465248864,62.61580657050799
133,1330,-639455.0297883592,25.615117988237664,62.80908125452842
134,1340,-640084.3788857799,25.628305741661556,63.001006697073166
135,1350,-640715.640404773,25.640817389124816,63.191600693902004
136,1360,-641348.8012959104,25.653126651700493,63.380879649863346
137,1370,-641983.8483004131,25.66564541456474,63.568862854233885
138,1380,-642620.7687432914,25.678523925400906,63.755571223137665
139,1390,-643259.5498151524,25.691399073481147,63.94102445788303
140,1400,-643900.1792410855,25.704229241702308,64.12524038118426
141,1410,-644542.6445382582,25.717035509616835,64.30823636128625
142,1420,-645186.9338043773,25.72956128655953,64.49002856945152
143,1430,-645833.0348742745,25.742386529024834,64.67063396074226
144,1440,-646480.9361314118,25.754688976519223,64.85006830864003
145,1450,-647130.6258778514,25.767651962901752,65.02834828431659
146,1460,-647782.0925387176,25.78073332048371,65.20549243920686
147,1470,-648435.3251992111,25.792612821291968,65.38151259739388
148,1480,-649090.3121606316,25.805938233958813,65.55642479673989
149,1490,-649747.0429186175,25.819172422659992,65.73024853870011
150,1500,-650405.5063604468,25.83163757255491,65.90299551547213
151,1510,-651065.6919594796,25.843690781371613,66.07467610908498
152,1520,-651727.588996948,25.856334014912136,66.24530497443484
153,1530,-652391.1870111447,25.869845647001053,66.41490068398562
154,1540,-653056.4759318741,25.88319777654273,66.58347901964153
155,1550,-653723.4454211489,25.89609600599193,66.75105116962659
156,1560,-654392.0857753137,25.908013487176504,66.9176254679609
157,1570,-655062.3866946385,25.92127996380128,67.08321581974596
158,1580,-655734.3386991345,25.934438080776957,67.24783867334918
159,1590,-656407.9321158896,25.946519448052047,67.4115025083869
160,1600,-657083.1573034822,25.96001930488342,67.57422039716766
161,1610,-657760.004963417,25.973693855788547,67.73600910301029
162,1620,-658438.465912656,25.98647092236719,67.89687790569296
163,1630,-659118.5309025855,25.99880849789502,68.05683400917331
164,1640,-659800.1909344033,26.012105005549497,68.21589015367354
165,1650,-660483.436917459,26.026586366511534,68.37406379539607
166,1660,-661168.2603720056,26.03962307175971,68.53136483854469
167,1670,-661854.6524078153,26.05174643117887,68.68779667897033
168,1680,-662542.604417577,26.06524942936352,68.84337106689344
169,1690,-663232.1078374366,26.079289518369478,68.9981038753016
170,1700,-663923.1544749173,26.092148008174263,69.1520031483873
