,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-704317.301156796,-0.0,0.0
1,10,-704317.3636170932,0.04541026877705008,0.02270513438852504
2,20,-704317.8560384903,0.21199041340732946,0.09840787212888244
3,30,-704319.3049484385,0.5866108341549989,0.24917394783988128
4,40,-704322.6507284527,1.222293465177063,0.49972910334618065
5,50,-704329.0677575726,2.0686221121868584,0.8593779977119994
6,60,-704339.6683530669,3.038612930959789,1.3194579531773343
7,70,-704355.3795436042,4.067614325796604,1.8632195778380265
8,80,-704376.9433972208,5.115322855208069,2.473471136702574
9,90,-704404.9348400689,6.157772108068456,3.135277265601326
10,100,-704439.7950556508,7.180778579087929,3.8364146450039702
11,110,-704481.8580125695,8.174721032663367,4.567031802715793
12,120,-704531.3698283971,9.133646792883516,5.319178647843365
13,130,-704588.5074433706,10.05282006601046,6.086394189829298
14,140,-704653.390090453,10.928421350748977,6.863341877971834
15,150,-704726.0886282211,11.759504459128953,7.645626122469548
16,160,-704806.634413511,12.545267703663555,8.42964922018
17,170,-704895.0284916292,13.283769278769606,9.212387932353886
18,180,-704991.2419058282,13.97691438873299,9.991334650697537
19,190,-705095.224282752,14.627626716170928,10.76451981776918
20,200,-705206.9092078982,15.235836731735617,11.530353281224963
21,210,-705326.2150774879,15.802978173323211,12.287510584597477
22,220,-705453.0481834316,16.332442302565333,13.03496384018945
23,230,-705587.30678303,16.825693598779612,13.771931658501856
24,240,-705728.8825086061,17.284946928312998,14.497810667307931
25,250,-705877.6605643962,17.71371905349952,15.212188109384442
26,260,-706033.525078661,18.113613109028663,15.9148012040896
27,270,-706196.3562962479,18.48598573408671,16.60547298687452
28,280,-706366.0347458068,18.832512490602696,17.284100921927894
29,290,-706542.4386736316,19.155984935321612,17.950671390164644
30,300,-706725.4480022249,19.458927149389638,18.605262444987602
31,310,-706914.943099202,19.742142609719316,19.2479995524729
32,320,-707110.8064948422,20.006078132241953,19.879016178284658
33,330,-707312.921257172,20.253435497847352,20.498481383916808
34,340,-707521.1725851247,20.484788323927205,21.106598505849252
35,350,-707735.4490339273,20.702381174836784,21.703593695463496
36,360,-707955.6384263766,20.908371672558133,22.289736048968916
37,370,-708181.6366748824,21.098404790533834,22.865243678227124
38,380,-708413.3357917091,21.2778839822218,23.430329414138395
39,390,-708650.6334020975,21.45081258344579,23.985311989535692
40,400,-708893.4309296545,21.610664723790265,24.53045571631956
41,410,-709141.6309627315,21.75898629637671,25.065942516786166
42,420,-709395.1367323237,21.902900398109356,25.5920448224686
43,430,-709653.8568026791,22.039225391516794,26.109063699423864
44,440,-709917.7024401339,22.165892298135425,26.61721890186746
45,450,-710186.5842476421,22.28698120795892,27.116737166151875
46,460,-710460.4189591242,22.403890986955957,27.607890844890797
47,470,-710739.1223425677,22.51400308219598,28.090922070184032
48,480,-711022.6171224511,22.614018699293922,28.565995436055527
49,490,-711310.8212911802,22.712754224918864,29.033320929053296
50,500,-711603.6603013607,22.80962608521806,29.493179988118936
51,510,-711901.0612636498,22.898093163027095,29.94576735841256
52,520,-712202.9511811384,22.981695595406983,30.39123631011753
53,530,-712509.2605248748,23.06289051748172,30.829788591225228
54,540,-712819.9202882972,23.142976496473363,31.261649849481184
55,550,-713134.8657412073,23.219279472337764,31.68702102773241
56,560,-713454.032341009,23.29096575579608,32.10606043796288
57,570,-713777.3577062469,23.35704033059022,32.5189018080433
58,580,-714104.7807978321,23.422020543820608,32.92570209693804
59,590,-714436.2405767817,23.487815464512096,33.32666535074095
60,600,-714771.6823722715,23.54796054301559,33.72194763886364
61,610,-715111.0473900043,23.60597980146695,34.11167228110571
62,620,-715454.282587073,23.663375036494152,34.4959975884718
63,630,-715801.3335342442,23.718144879204875,34.875070503194
64,640,-716152.1494954465,23.769024571962518,35.249005252735515
65,650,-716506.67881809,23.81717321006013,35.61790978189674
66,660,-716864.8720441774,23.869242429110642,35.98194640074944
67,670,-717226.6808239112,23.918704238033293,36.34127178773052
68,680,-717592.0608004411,23.961437780863974,36.69595662305802
69,690,-717960.9626531581,24.008215889564546,37.046116244474256
70,700,-718333.3445201053,24.051771088590712,37.39188718830265
71,710,-718709.1622887178,24.0891695485217,37.73332759229525
72,720,-719088.372108963,24.13028529176944,38.07054105700663
73,730,-719470.9332874034,24.172259978996742,38.40367590715759
74,740,-719856.8054118716,24.21336032940302,38.732843117680744
75,750,-720245.9493600501,24.248480899695846,39.05810344302153
76,760,-720638.3270176611,24.279866654297745,39.37949594718374
77,770,-721033.8979558434,24.321492857905163,39.69716368381923
78,780,-721432.627500637,24.357420135563117,40.01123276418511
79,790,-721834.481093381,24.385466650096294,40.32170846926601
80,800,-722239.4189682978,24.423130716430137,40.6286914327633
81,810,-722647.4113026401,24.455623827735135,40.93229664065293
82,820,-723058.4220013168,24.484368423733336,41.232552210977886
83,830,-723472.4183631722,24.519845341850246,41.52955705208879
84,840,-723889.3686286889,24.5530967115658,41.823416348974575
85,850,-724309.2422166402,24.579081156131117,42.11414856449265
86,860,-724732.007206876,24.604864221531898,42.40178293099453
87,870,-725157.6326965345,24.634048216184354,42.68640945691441
88,880,-725586.0899079568,24.665790460514586,42.96813098337006
89,890,-726017.3491756087,24.69788450489299,43.24702968021738
90,900,-726451.3843319742,24.722355411242525,43.52312825930858
91,910,-726888.1658274941,24.747665957734053,43.79645086484088
92,920,-727327.6664695077,24.778227796510393,44.067091332924605
93,930,-727769.860574306,24.806686542954214,44.33512489691638
94,940,-728214.7217495615,24.829238227626774,44.60056459550978
95,950,-728662.224863717,24.85320350718407,44.86344134586251
96,960,-729112.3426629036,24.88513397304348,45.12385775288712
97,970,-729565.0536598678,24.91246533067017,45.38188259540911
98,980,-730020.3323820678,24.93033101882888,45.63749293157743
99,990,-730478.1556375984,24.954637097448135,45.890722018694206
100,1000,-730938.4977465458,24.987897774553858,46.141695028261154
101,1010,-731401.3402969844,25.009286760707475,46.39044286743446
102,1020,-731866.6582701337,25.031303064187668,46.63695368373591
103,1030,-732334.4296243945,25.062147038447584,46.88131705769046
104,1040,-732804.6349910016,25.084133183723168,47.12357475979661
105,1050,-733277.2518244409,25.110227156197578,47.36374406421673
106,1060,-733752.2594554017,25.138536752428777,47.60189457803353
107,1070,-734229.6398253087,25.15278244740904,47.8380089481594
108,1080,-734709.3701600857,25.176689868920718,48.07210406412923
109,1090,-735191.4307355026,25.208837400222624,48.304299682330736
110,1100,-735675.8055647212,25.233922900748595,48.534636200687956
111,1110,-736162.4725952012,25.25923881182098,48.76311620524501
112,1120,-736651.4169413206,25.278504151152447,48.98974702521373
113,1130,-737142.6168833005,25.296125190108352,49.21452724765259
114,1140,-737636.0563551169,25.328715180361016,49.43754786118516
115,1150,-738131.715551998,25.360144056743756,49.65890021313826
116,1160,-738629.5830373975,25.38563136650515,49.87858253389277
117,1170,-739129.6351403674,25.413236048561604,50.09660693160549
118,1180,-739631.8633856665,25.42160130587265,50.31292915406375
119,1190,-740136.2430145654,25.444185858172958,50.52755614760681
120,1200,-740642.7612259036,25.4873632080853,50.74066183824907
121,1210,-741151.4035562788,25.51294975711507,50.952284597168905
122,1220,-741662.1548538768,25.528479654307098,51.1623349260044
123,1230,-742174.9981309697,25.55330558113064,51.37083506855996
124,1240,-742689.9184751792,25.585761605994776,51.577878688072076
125,1250,-743206.9027237358,25.614547447912805,51.78350527143629
126,1260,-743725.9355679675,25.637329192750443,51.98769889453251
127,1270,-744247.0039716852,25.661633051093578,52.19046437921933
128,1280,-744770.0914954201,25.70314581766752,52.39189734395186
129,1290,-745295.1876237452,25.731949720956713,52.59203649653064
130,1300,-745822.2796559407,25.7412255507953,52.790777449416055
131,1310,-746351.3501749435,25.773676460384465,52.98815497399046
132,1320,-746882.3881935539,25.80971341169169,53.18429185086134
133,1330,-747415.3825510151,25.833947406877996,53.37917601984809
134,1340,-747950.3178564433,25.880430323578565,53.57286489274557
135,1350,-748487.1845353295,25.90421597073146,53.765375203242
136,1360,-749025.9730209219,25.9184873845891,53.95660530043533
137,1370,-749566.6618428944,25.956977027640388,54.146627349797924
138,1380,-750109.2512699254,25.982051523408256,54.335498710437975
139,1390,-750653.7178298834,26.037562123112437,54.523296873683286
140,1400,-751200.0605483559,26.07805659266887,54.71009308549255
141,1410,-751748.266640505,26.090978254374928,54.89575020137854
142,1420,-752298.3207000986,26.132831666088997,55.0802884137709
143,1430,-752850.2171470854,26.1611777104058,55.26377807601675
144,1440,-753403.9422128741,26.202127043623477,55.44623033314419
145,1450,-753959.4854656126,26.247983940382568,55.62772023038415
146,1460,-754516.8420942727,26.273362346953945,55.80820778814523
147,1470,-755075.9946072958,26.324038883178996,55.987722603678414
148,1480,-755636.9401571363,26.36158543616735,56.16631956115744
149,1490,-756199.6667527568,26.390925032340082,56.34393912252999
150,1500,-756764.1629728205,26.44868187155236,56.5206615465504
151,1510,-757330.423710307,26.495369453428648,56.69655683089077
152,1520,-757898.438770337,26.541193970502462,56.871596401439454
153,1530,-758468.199308772,26.585424000886164,57.04578343114408
154,1540,-759039.6990925827,26.624274680775343,57.21910635199747
155,1550,-759612.9253448843,26.68450782081356,57.39162785974622
156,1560,-760187.8748108493,26.744402922188996,57.56342615736794
157,1570,-760764.5377055955,26.78720671097365,57.734454973015815
158,1580,-761342.9080683268,26.834801048174604,57.904684805010035
159,1590,-761922.9748323477,26.90563799037224,58.07421398598963
160,1600,-762504.7349463227,26.97034246101964,58.24310523067834
161,1610,-763088.1806730598,27.027753744297318,58.41132467429852
162,1620,-763673.304409934,27.10081829871028,58.57890629864996
163,1630,-764260.1014836462,27.16169898309186,58.745868894612066
164,1640,-764848.565433619,27.233921831229353,58.91221723913768
165,1650,-765438.6877418358,27.31758841258136,59.07802805957036
166,1660,-766030.4688772628,27.390750905848105,59.243310892282175
167,1670,-766623.8964457012,27.493199057315238,59.40812812128425
168,1680,-767218.9725018478,27.5742064249703,59.57250917907222
169,1690,-767815.6903469457,27.651344537039524,59.73638398127078
170,1700,-768414.0414136768,27.779987017623963,59.899898537088305
171,1710,-769014.0289451219,27.87398956560355,60.06310727472446
172,1720,-769615.6467930394,27.967167711025226,60.225910074327835
173,1730,-770218.8877747755,28.093773365162992,60.38840585724246
174,1740,-770823.7561648929,28.23876249571913,60.550747603260966
175,1750,-771430.2422745713,28.42053877764581,60.713095011866244
176,1760,-772038.3572062857,28.554171630320695,60.8754163569989
177,1770,-772648.0928975163,28.701522544768526,61.03761391006846
178,1780,-773259.4478321399,28.934244373469973,61.19996762471128
179,1790,-773872.4297402455,21861.68000005601,122.34738884360559
180,1800,-774487.0405353814,,
181,1810,-779982.0582030988,,
182,1820,,,
183,1830,,,
184,1840,,,
185,1850,,,
186,1860,,,
187,1870,,,
188,1880,,,
189,1890,,,
190,1900,,,
191,1910,,,
192,1920,,,
193,1930,,,
194,1940,,,
195,1950,,,
196,1960,,,
197,1970,,,
