,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-581758.4515995973,-0.0,0.0
1,10,-581758.5558081985,0.07349410164752045,0.03674705082376022
2,20,-581759.2950720771,0.39419841894996355,0.17204370638501135
3,30,-581761.7039894668,1.2046586415788623,0.47136975138564596
4,40,-581768.0225129358,2.5869157366105355,0.9955106587251067
5,50,-581780.9142859561,4.320369601031417,1.7509120859045653
6,60,-581802.6191111606,6.126389307231875,2.6934814882770297
7,70,-581834.6875392536,7.83411597557424,3.7635936430873698
8,80,-581878.058304767,9.379886164399796,4.909416240903374
9,90,-581933.2271695544,10.758838924366865,6.093372399754298
10,100,-582000.3969291954,11.987821274349697,7.29047673704772
11,110,-582079.5838617414,13.087335835892011,8.48474670239666
12,120,-582170.6868387212,14.075334376667165,9.666097869722579
13,130,-582273.5308660588,14.96619514088379,10.828193025451036
14,140,-582387.8945295025,15.771365229022924,11.967078959378703
15,150,-582513.5277015789,16.500209008081583,13.080348970208432
16,160,-582650.1632637953,17.160662323376158,14.166626634749992
17,170,-582797.525094454,17.759663240765803,15.22524036884861
18,180,-582955.3336538966,18.30339116964607,16.25601093783189
19,190,-583123.3099302484,18.79740693756321,17.25910707394214
20,200,-583301.1782465971,19.246735890512348,18.234944074825034
21,210,-583488.6682543325,19.655913827684714,19.18411042036605
22,220,-583685.5163110786,20.02902989686698,20.107313593573053
23,230,-583891.4664142788,20.36976452539674,21.005339786445255
24,240,-584106.2707935544,20.681417629052902,21.8790236216606
25,250,-584329.6902516606,20.966940815196722,22.72922530523647
26,260,-584561.4943054119,21.228974164254023,23.556813624699135
27,270,-584801.4611943468,21.46987310707044,24.36265337058139
28,280,-585049.3777775222,21.691736689780363,25.147596054193855
29,290,-585305.0393564508,21.896437019819892,25.91247327128658
30,300,-585568.2494449036,22.085642610647493,26.658092091001162
31,310,-585838.8195006511,22.260841850351426,27.385231970807943
32,320,-586116.5686357658,22.42336164871233,28.094642832865066
33,330,-586401.3233117551,22.574386121478128,28.787044011981926
34,340,-586692.917028689,22.71497471181787,29.463123911099682
35,350,-586991.1900151275,22.84607485696328,30.12354015481833
36,360,-587295.988921273,22.968535115383617,30.768920084933054
37,370,-587607.1665183365,23.083116716673196,31.399861526775933
38,380,-587924.5814084298,23.190501567110132,32.01693371497531
39,390,-588248.0977423203,23.29130384414454,32.62067835303023
40,400,-588577.5849498677,23.386077871662536,33.21161078596633
41,410,-588912.9174830673,23.4753236264922,33.79022119383153
42,420,-589253.9745691773,23.559489965241056,34.356975746934765
43,430,-589600.6399785718,23.63898348030631,34.91231776650238
44,440,-589952.8017979775,23.71417675846014,35.456668948782315
45,450,-590310.352226151,23.78540178477124,35.990430472181465
46,460,-590673.1873692855,23.852961259731124,36.51398403227503
47,470,-591041.2070530945,23.9171351692087,37.02769295849866
48,480,-591414.3146460367,23.978175714472343,37.531903230374155
49,490,-591792.4168886926,24.036308144708094,38.02694434452278
50,500,-592175.4237358833,24.09174527740099,38.513130247753
51,510,-592563.2482003273,24.14468427644475,38.99076029147254
52,520,-592955.8062219518,24.19529338573342,39.46011993420397
53,530,-593353.0165192375,24.243735192439598,39.921481468937415
54,540,-593754.8004721632,24.290157069079655,40.375104813635694
55,550,-594161.0819967836,24.33469666972803,40.82123819056578
56,560,-594571.7874313147,24.37748486697666,41.26011882062885
57,570,-594986.845435544,24.41862882807618,41.69197343400447
58,580,-595406.1868796569,24.45823686020453,42.11701880198088
