,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-601652.7115166143,-0.0,0.0
1,10,-601652.8174027336,0.0534116812836146,0.0267058406418073
2,20,-601653.4626317475,0.2501868044142611,0.11595838238717988
3,30,-601655.1656422236,0.7496160196897108,0.30344108677236364
4,40,-601659.2174829689,1.6968964652274734,0.6404891482074163
5,50,-601667.508761976,3.027666038222378,1.1553678101830882
6,60,-601681.9412988427,4.556156036176254,1.8378140836866805
7,70,-601704.0732100343,6.119264226773521,2.6545840552804294
8,80,-601735.0394882909,7.622400727425701,3.56807440265693
9,90,-601775.6048822455,9.024844875754205,4.54585471899627
10,100,-601826.2496813763,10.315488041553182,5.563009391949162
11,110,-601887.2469761268,11.49629000519053,6.60134243062639
12,120,-601958.7218266279,12.57387798819691,7.647812650067498
13,130,-602040.693760936,13.556046318667365,8.693110629780858
14,140,-602133.1068985068,14.450566228351088,9.730588677665217
15,150,-602235.851457495,15.264826454527785,10.755507877162016
16,160,-602348.7793024667,16.00579499038868,11.764516519095924
17,170,-602471.7153579327,16.680026838657795,12.755286637211976
18,180,-602604.4661939025,17.29364061367814,13.726254567813886
19,190,-602746.8263803438,17.85234069158324,14.67643191300158
20,200,-602898.5833978133,18.361398072214783,15.60526530405914
21,210,-603059.521277895,18.825646768324077,16.512529940824606
22,220,-603229.4233978684,19.249502597661937,17.398248321186113
23,230,-603408.074550243,19.63697038571407,18.262627677146522
24,240,-603595.2624935557,19.991672885860325,19.10601152282761
25,250,-603790.7790754357,20.316867272849805,19.928842053406697
26,260,-603994.4210440527,20.615470548474686,20.731630755565128
27,270,-604205.990588265,20.89010583506024,21.51493592402694
28,280,-604425.2957030858,21.143123647279552,22.27934551520302
29,290,-604652.1504060351,21.376617163431344,23.025463659505473
30,300,-604886.3748244722,21.59246048895877,23.753900365874866
31,310,-605127.7952129962,21.792325936222902,24.465263835361107
32,320,-605376.2438931772,21.97770885340867,25.160154664199215
33,330,-605631.5591501975,22.14995068577413,25.839161678454545
34,340,-605893.585097949,22.310249120520893,26.502858890706555
35,350,-606162.1715124726,22.4596789978968,27.151803346650556
36,360,-606437.1736546273,22.599202192865803,27.786533711997617
37,370,-606718.4520793166,22.729681869313936,28.407569383330703
38,380,-607005.8724359643,22.85189921181297,29.0154101307955
39,390,-607299.3052752085,22.966553183470403,29.610536004693135
40,400,-607598.6258480506,23.07427276310051,30.19340740376356
41,410,-607903.713910263,23.175628826761415,30.76446543314087
42,420,-608214.4535329,23.271136010996997,31.324132386443672
43,430,-608530.7329149046,23.361259217863015,31.872812268952842
44,440,-608852.4442044265,23.446422309894146,32.41089143515565
45,450,-609179.4833234698,23.527012034668555,32.93873929714319
46,460,-609511.7498053256,23.603371738718124,33.456708930437166
47,470,-609849.1466316213,23.675817143829672,33.965137714048616
48,480,-610191.580077302,23.74464114233848,34.4643481210951
49,490,-610538.9595713846,23.810110137399274,34.95464844051894
50,500,-610891.1975502302,23.872462176368536,35.4363333698071
51,510,-611248.2093357499,23.93191400011423,35.909684599415044
52,520,-611609.9129928995,23.988675001857374,36.37497154381562
53,530,-611976.2292287427,24.042924926971168,36.8324519268528
54,540,-612347.0812624934,24.094840792781945,37.2823723510446
55,550,-612722.3947254539,24.144578428429746,37.724968896286725
56,560,-613102.0975623041,24.192264994350182,38.160467429838896
57,570,-613486.1199155677,24.238056698747055,38.58908432830503
58,580,-613874.3940513965,24.282081179437228,39.01102714677981
59,590,-614266.8542682771,24.324424127087696,39.426494620327134
60,600,-614663.4368033713,24.365196371160067,39.83567711093782
61,610,-615064.0797559879,24.404516480959224,40.238757434366555
62,620,-615468.7230195935,24.442460161889727,40.63591106891108
63,630,-615877.3082053255,24.47911298369277,41.027306357593616
64,640,-616289.7785649524,24.514551062509554,41.413104962243224
65,650,-616706.078948621,24.548830876403418,41.7934620530068
66,660,-617126.1557047254,24.582061003998344,42.16852694847329
67,670,-617549.9566647636,24.61428942474318,42.538443410402394
68,680,-617977.4310632887,24.645541741186705,42.90334935613791
69,690,-618408.5294790702,24.67589243136739,43.26337738954316
70,700,-618843.2037993468,24.705400626175056,43.618655351593034
71,710,-619281.4071585544,24.734121107857256,43.96930645038664
72,720,-619723.0939071913,24.762085570720956,44.31544932942488
73,730,-620168.2195541557,24.789325708153722,44.657198159109974
74,740,-620616.7407292417,24.81588585114244,44.99466296562023
75,750,-621068.6151419259,24.841817652413845,45.327949987702596
76,760,-621523.8015436442,24.867161891085345,45.657161854668814
77,770,-621982.2596991106,24.891930402762846,45.98239751565852
78,780,-622443.9503379893,24.91614619789191,46.303752313248694
79,790,-622908.8351292319,24.93986263630521,46.621318431007964
80,800,-623376.8766432051,24.963072719983757,46.935184867383214
81,810,-623848.0383379032,24.985821282426887,47.24543753658945
82,820,-624322.2844847809,25.008199267863645,47.55216002122179
83,830,-624799.580223751,25.03012186095602,47.85543290778005
84,840,-625279.8914479507,25.051618856994722,48.155333553323
