,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-643727.5298430107,-0.0,0.0
1,10,-643727.6170114933,0.04309409917332232,0.02154704958666116
2,20,-643728.1623410457,0.1912858298572246,0.09091555663762847
3,30,-643729.5151124254,0.5771061277046101,0.23492136871936964
4,40,-643732.6205556778,1.3676751081831755,0.5020651118597016
5,50,-643739.107961727,2.5463715104706353,0.9276616514296621
6,60,-643750.7555213918,3.942492067645072,1.5108398081138148
7,70,-643769.0717831122,5.388179788432899,2.2242507986389684
8,80,-643795.1737675567,6.7853123517474145,3.033202805511246
9,90,-643829.8252032886,8.093885519244939,3.906945134120178
10,100,-643873.5185754803,9.305165651836433,4.821863723336718
11,110,-643926.5514479949,10.423032675348807,5.760896218444395
12,120,-643989.0840460113,11.454773224261588,6.711952648637816
13,130,-644061.1796297025,12.407596286217453,7.666450108092976
14,140,-644142.8320939565,13.287736455904085,8.618227366152858
15,150,-644233.9850307523,14.100536292273315,9.562807258844257
16,160,-644334.5451032043,14.8507409951184,10.49691079135082
17,170,-644444.3918619148,15.54273201910545,11.418135624480783
18,180,-644563.3849649399,16.180652415635997,12.324737368614295
19,190,-644691.3698272399,16.768475511189912,13.215475607062398
20,200,-644828.1818320436,17.310034375695977,14.089502137801901
21,210,-644973.6498462728,17.808977290440808,14.94627626601432
22,220,-645127.5987678986,18.268770661734727,15.785498868055582
23,230,-645289.8517268113,18.69269360173784,16.60706110566243
24,240,-645460.2316504114,19.083802366233456,17.411003226011232
25,250,-645638.5626397006,19.44491299676887,18.197480701909807
26,260,-645824.6708702012,19.778652390628103,18.966737661664958
27,270,-646018.3854133848,20.087429764386577,19.71908580156596
28,280,-646219.5387859766,20.373420441895703,20.454886320966757
29,290,-646427.9673422754,20.638640024262713,21.174536021394303
30,300,-646643.5115880975,20.884911328641476,21.878456497979638
31,310,-646866.0163608547,21.11388166500841,22.567084831924873
32,320,-647095.3309386567,21.32705555856228,23.240866553495287
33,330,-647331.3090977115,21.52579304821555,23.90025017611624
34,340,-647573.809108664,21.711331810220145,24.545682846961427
35,350,-647822.6937049297,21.884783344168657,25.177606900347747
36,360,-648077.8300219775,22.047150594647974,25.796457087332968
37,370,-648339.0894931126,22.199367041909174,26.40265895877092
38,380,-648606.3477692851,22.34226618273533,26.996627591898147
39,390,-648879.4845970166,22.476584834131035,27.578766122540408
