,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-550318.4877344109,-0.0,0.0
1,10,-550318.5952017173,0.10794028514937963,0.053970142574689815
2,20,-550319.4979401833,0.6089855135709513,0.26018666354211745
3,30,-550323.1277477362,1.7584642918169264,0.705510423904343
4,40,-550332.687856227,3.4579569785390047,1.4308324281912064
5,50,-550351.1064843126,5.363930603794871,2.399470110888069
6,60,-550380.4573420562,7.222825593547897,3.537765304063214
7,70,-550421.9966657193,8.92134914774797,4.776906661698012
8,80,-550476.378998509,10.435118776326998,6.066340810057592
9,90,-550543.8659851132,11.777736402140002,7.3728544225858075
10,100,-550624.4762488435,12.971949858037984,8.675770604495485
11,110,-550718.0807996277,14.03870482811762,9.962491044130003
12,120,-550824.4612986101,14.99483823630726,11.225398917375424
13,130,-550943.3454498808,15.85368885592034,12.459941107577471
14,140,-551074.4291424977,16.62616086887429,13.663489830869368
15,150,-551217.3906812291,17.32153990268126,14.83466595389473
16,160,-551371.9003031536,17.94799022022636,15.972925311699512
17,170,-551537.6266856511,18.512805875614855,17.078294296540847
18,180,-551714.24143936,19.02255857732962,18.15119299192593
19,190,-551901.42223331,19.483174811085323,19.192312523459265
20,200,-552098.8549279604,19.89997758303069,20.20252708964254
21,210,-552306.2349910974,20.277732217373007,21.182829677251
22,220,-552523.268371727,20.620695841574335,22.13428500350129
23,230,-552749.6720007274,20.932656220823976,23.057994925649844
24,240,-552985.1739897509,21.21697021911389,23.955072882479
25,250,-553229.5136298719,21.47660614129565,24.82662521820312
26,260,-553482.4412248067,21.714198346494204,25.673738078461614
27,270,-553743.7178288425,21.932075604476267,26.497468364125236
28,280,-554013.1149188571,22.13228310018315,27.298837253430978
29,290,-554290.4139916715,22.316638805015828,28.078826229074917
30,300,-554575.4061601935,22.486756010272053,28.838375130482024
31,310,-554867.8917252661,22.64405482436996,29.578381088035535
32,320,-555167.6797428769,22.78979346556588,30.299698301650643
33,330,-555474.587594118,22.92509247299456,31.003138710504572
34,340,-555788.4405673923,23.050948090467145,31.6894731272012
35,350,-556109.0714538462,23.168242546147617,32.35943255145976
36,360,-556436.320154367,23.277765690162752,33.013709746228415
37,370,-556770.0333050557,23.380225492417253,33.65296104062145
38,380,-557110.0639254419,23.47624902211828,34.277808047211145
39,390,-557456.2710757165,23.56640152327026,34.88883941352251
40,400,-557808.5195375928,23.651190606295103,35.48661264896364
41,410,-558166.6795146063,23.731068776259693,36.071655809301596
42,420,-558530.6263403499,23.806451399676824,36.6444692227713
43,430,-558900.2402157168,23.877703916441533,37.20552707844036
44,440,-559275.4059539639,23.945160133566148,37.75527889082587
45,450,-559656.012734424,24.009128047924637,38.29415107267414
46,460,-560041.953894972,24.069877588632615,38.82254826631979
47,470,-560433.1267002849,24.12765556280498,39.340854557382414
48,480,-560829.432164318,24.182687282049926,39.84943473674211
49,490,-561230.7748410929,24.23518383232589,40.348635523470875
50,500,-561637.0626730658,24.285332085273836,40.83878663853102
51,510,-562048.2068054375,24.333307460951655,41.32020179723622
52,520,-562464.1214474818,24.379258147766777,41.79317957881722
53,530,-562884.7237168102,24.423313557167308,42.258004141009586
54,540,-563309.9334973961,24.465637786255684,42.7149464426795
55,550,-563739.6733176601,24.506347266899073,43.1642651010392
56,560,-564173.8682419668,24.54552683827933,43.60620656582032
57,570,-564612.4457165223,24.583302324847278,44.041006058297356
58,580,-565055.3355057078,24.619764662138145,44.46888841168257
59,590,-565502.4695556124,24.65496969067317,44.890068183325646
60,600,-565953.7819174916,24.68903075647532,45.30475052740367
61,610,-566409.2086283911,24.722060948924714,45.71313229421794
