,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-688611.9168773261,-0.0,0.0
1,10,-688611.9742852701,0.051008783958968705,0.025504391979484353
2,20,-688612.4391781825,0.2778337415016722,0.12046721933438675
3,30,-688614.1294525164,0.8159786702046403,0.3259220997439115
4,40,-688618.518153869,1.6754668104462325,0.6713518960837973
5,50,-688627.1643353655,2.7296036402258324,1.1537456114121596
6,60,-688641.3517976599,3.8584266164980363,1.7482415268095792
7,70,-688662.0360473364,4.998479933320778,2.4268113591358995
8,80,-688689.9082855608,6.125124856620095,3.16666594362614
9,90,-688725.4705017834,7.229458420685842,3.951122826091887
10,100,-688769.0903977448,8.305989047483312,4.768058857393044
11,110,-688821.0358825446,9.348857268752178,5.608306367437763
12,120,-688881.4964661187,10.351845456648151,6.4645813191353225
13,130,-688950.5971079194,11.309343023365365,7.330882944830227
14,140,-689028.4086860148,12.21704481658525,8.202180705661885
15,150,-689114.9563118276,13.072266534349177,9.074245952637282
16,160,-689210.226748244,13.873906886717307,9.943547760658838
17,170,-689314.1748931608,14.622207185692977,10.807172268095018
18,180,-689426.72957769,15.318496573297313,11.662750979023984
19,190,-689547.7986678721,15.964861884136912,12.50839271704608
20,200,-689677.2735106322,16.563886191288475,13.342617816147683
21,210,-689815.0326781289,17.118452808508312,14.164297180656284
22,220,-689960.945215957,17.63156921439804,14.972596872528083
23,230,-690114.8732651639,18.106266485908428,15.766928843497588
24,240,-690276.6743198534,18.54550039814783,16.546907923949767
25,250,-690446.2030113047,18.952106029755633,17.31231463617296
26,260,-690623.3125910801,19.328771499113664,18.063063900981795
27,270,-690807.8561270932,19.677990117846658,18.799178269600088
28,280,-690999.6874338439,20.002064625092316,19.520765219452734
29,290,-691198.661820834,20.30314279283923,20.227999130984244
30,300,-691404.6366546435,20.58319519078939,20.921106570247503
31,310,-691617.4718494616,20.843998752610037,21.60035335169523
32,320,-691837.0301356975,21.087185294646815,22.266034150191988
33,330,-692063.1773603505,21.314246371504847,22.918464547261827
34,340,-692295.7825983698,21.526530495070595,23.55797429903032
35,350,-692534.7183213867,21.725250902993114,24.184901651143445
36,360,-692779.8603910363,21.911549124971472,24.79958944950922
37,370,-693031.0881405978,22.086438114495884,25.402381900614998
38,380,-693288.2843493972,22.250810330838444,25.993621100683228
39,390,-693551.3351902029,22.40550055456697,26.57364492793567
40,400,-693820.1302133695,22.55128276301548,27.1427859695832
41,410,-694094.5622403768,22.68887352192246,27.701370583656534
42,420,-694374.5273601048,22.818861887109218,28.249717280895855
43,430,-694659.9247769136,22.9418107026315,28.78813563932781
44,440,-694950.6567562565,23.05827352813217,29.31692671560304
45,450,-695246.6285327086,23.16872765615699,29.83638285844063
46,460,-695547.7482192519,23.27360091718727,30.34678708874417
47,470,-695853.9267130869,23.373274217158887,30.848412865131102
48,480,-696165.0775960883,23.468117818096687,31.341524279110306
49,490,-696481.1170417351,23.558491333053183,31.826376608420105
50,500,-696801.9637377731,23.644697855925223,32.30321635568398
51,510,-697127.5387918797,23.72696318065573,32.77228062032809
52,520,-697457.7656377427,23.80558599989159,33.233797771796525
53,530,-697792.569924911,23.88088074452531,33.687988964958635
54,540,-698131.879526943,23.952901120920394,34.13506641422718
55,550,-698475.6243641647,24.021891202559384,34.57523336483136
56,560,-698823.7363058624,24.088198408088687,35.008687394017755
57,570,-699176.1492697474,24.151906022289687,35.435619418846905
58,580,-699532.7989407877,24.213090121181366,35.85621177913126
59,590,-699893.6228813108,24.271820543974172,36.270638709099146
60,600,-700258.5602585551,24.32839626824716,36.67906873910833
61,610,-700627.5519644293,24.383056185388618,37.08166649095074
62,620,-701000.540507168,24.435805241431808,37.47859055271984
63,630,-701377.4699368498,24.486540129315287,37.869991118289185
64,640,-701758.2857914206,24.53559474274516,38.256013072290806
65,650,-702142.9349188762,24.583231259166496,38.63679918513517
66,660,-702531.3658223874,24.628933957958502,39.01248379706667
67,670,-702923.5280432159,24.673191254291893,39.383194923023986
68,680,-703319.3724799954,24.716395645402372,39.74906141924148
69,690,-703718.851430991,24.758183504414095,40.110206749360074
70,700,-704121.9181938653,24.7987128974345,40.46674753975676
71,710,-704528.5273889136,24.837732932632207,40.818794815511495
72,720,-704938.6346008196,24.875598485372084,41.16645563941711
73,730,-705352.1964358123,24.913120092419454,41.50984065997327
74,740,-705769.1707847101,24.94915252840131,41.84905382374709
75,750,-706189.5165074192,24.98349476998571,42.18418581046863
76,760,-706613.1929969944,25.017800542363023,42.51533323531039
77,770,-707040.1611095701,25.051364403305342,42.842595225776314
78,780,-707470.382472722,25.08345402427361,43.16605779515085
79,790,-707903.8194075149,25.114722326808312,43.48580310587859
80,800,-708340.4352582056,25.145370230311524,43.801915608595294
81,810,-708780.1940205619,25.175343882190646,44.114477529832214
82,820,-709223.0607288044,25.204676078527875,44.423567936389006
83,830,-709669.0009021927,25.233194235916017,44.72926217984059
84,840,-710117.981163344,25.260718517261438,45.03163079377846
85,850,-710569.9683593588,25.287954215207478,45.33074488537822
86,860,-711024.9305114632,25.315126372710985,45.62667852451559
87,870,-711482.8360302733,25.34136636773201,45.91949952839495
88,880,-711943.6543369651,25.366124999685894,46.20926527521661
89,890,-712407.3549041155,25.39043976027163,46.496033905443625
90,900,-712873.908219285,25.41465368424568,46.779869345913184
91,910,-713343.2852115579,25.438737785059622,47.060835150914514
92,920,-713815.4575032423,25.462414312781505,47.33899112193032
93,930,-714290.3973817629,25.485473515462747,47.61439248322714
94,940,-714768.0774021182,25.50737105176681,47.887088663635964
