,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-713187.2422375239,-0.0,0.0
1,10,-713187.3426317176,0.04587502751965075,0.022937513759825376
2,20,-713187.9209890272,0.20711361460853367,0.09765343117178417
3,30,-713189.3784212057,0.6153073547640814,0.25198306061793113
4,40,-713192.7420128228,1.4091828409815208,0.5306821415346348
5,50,-713199.6183087573,2.539572598849191,0.960787256542244
6,60,-713211.6548650281,3.8297977560607253,1.5338943294322234
7,70,-713230.1747770997,5.124495134555035,2.2190795091912148
8,80,-713256.0997022738,6.343213352072052,2.981565710449649
9,90,-713290.0140747825,7.462931104452581,3.7926238285348512
10,100,-713332.26060628,8.489254981221164,4.6316938611766085
11,110,-713383.0219551517,9.436873437580651,5.485105402854969
12,120,-713442.3785302109,10.320087506657002,6.34405784158298
13,130,-713510.3457389303,11.149632628684055,7.202893511873844
14,140,-713586.8967458308,11.932508958334804,8.057886570280242
15,150,-713671.9760846433,12.672896358853905,8.90647748313495
16,160,-713765.5078441887,13.373207805166018,9.746820105674852
17,170,-713867.4008206466,14.034909630654143,10.57752430931141
18,180,-713977.5519620596,14.659077144402545,11.397512356381048
19,190,-714095.8488734278,15.246729034170862,12.205938655151112
20,200,-714222.171806918,15.798990953771863,13.002143140420957
21,210,-714356.3953031232,16.317151416081455,13.78562151941005
22,220,-714498.389633684,16.802650178509076,14.55600353770278
23,230,-714648.0220212301,17.25705212439645,15.313035257902811
24,240,-714805.1577335018,17.682014606776647,16.056563869262753
25,250,-714969.6610039012,18.079247709174506,16.78652412775409
26,260,-715141.3958576642,18.450455934891952,17.502925542223966
27,270,-715320.2267829069,18.797310600007787,18.20584034695494
28,280,-715506.0192986495,19.12144781165989,18.89539311660774
29,290,-715698.6404294682,19.424445067491583,19.57175176711753
30,300,-715897.9590936515,19.70779839091115,20.235119298934293
31,310,-716103.8464140537,19.97290966651636,20.88572630974813
32,320,-716316.1759531747,20.22110232776032,21.52382473791804
33,330,-716534.823894983,20.45362201573445,22.14968282566406
34,340,-716759.6691906076,20.671619606128697,22.763580595511304
35,350,-716990.5936450224,20.87615674659901,23.365805812149485
36,360,-717227.4819805183,21.06822565498291,23.95665086802328
37,370,-717470.221859915,21.248748071494617,24.536410357440765
38,380,-717718.7039100457,21.41855967428423,25.105378755259153
39,390,-717972.8216943443,21.578436122112947,25.663848525818324
40,400,-718232.4716918617,21.729102692101137,26.212108926419752
