,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-660846.5213239283,-0.0,0.0
1,10,-660846.5961816016,0.04551732138497755,0.022758660692488775
2,20,-660847.0883254722,0.23721736037987287,0.10482166147994576
3,30,-660848.5665898038,0.748308311085566,0.2888440534225083
4,40,-660852.3996742237,1.7049745981348676,0.6266839300369611
5,50,-660860.5144421537,3.0137137518177037,1.14117712998559
6,60,-660874.7607689566,4.471137146197726,1.8151432673505041
7,70,-660896.5720045182,5.918854956660653,2.6105133835808374
8,80,-660926.9294446642,7.280302687431684,3.488307655592507
9,90,-660966.4515952065,8.534212246505192,4.417449476140609
10,100,-661015.4996338089,9.68440662926878,5.37579271018767
11,110,-661074.2610181015,10.742084766869084,6.348289621963341
12,120,-661142.8074494706,11.718299124087203,7.324828665779205
13,130,-661221.1325674214,12.621809877513442,8.298545355341048
14,140,-661309.1762622127,13.459170638164515,9.26468424704799
15,150,-661406.840454826,14.235426296945661,10.219883122594911
16,160,-661513.9998482066,14.954725866438821,11.161732515819313
17,170,-661630.5094790225,15.620718849211697,12.088500606475282
18,180,-661756.2102488667,16.23684628805495,12.998957021806564
19,190,-661890.9331358053,16.80645025004633,13.892255536388257
20,200,-662034.5025301669,17.332761726342127,14.767849586126976
21,210,-662186.7387931145,17.81893794730422,15.625429056602297
22,220,-662347.4603349197,18.268021593295263,16.464871792857593
23,230,-662516.4852846091,18.68290793698399,17.28620427433925
24,240,-662693.6327243877,19.06637781236789,18.089570651306715
25,250,-662878.7237899072,19.421007006239943,18.875206995855844
26,260,-663071.5824102096,19.749185733887106,19.643419169324627
27,270,-663272.0359064152,20.053163262523586,20.394566077900528
28,280,-663479.915458699,20.334992314316352,21.129045815888094
29,290,-663695.0564129418,20.59654805001628,21.84728357605782
30,300,-663917.2984962089,20.839556553633862,22.54972241603246
31,310,-664146.4859512615,21.06559928149219,23.236816088939673
32,320,-664382.4676091236,21.276113792508852,23.909023097294266
33,330,-664625.0969080089,21.472400102551937,24.56680177079543
34,340,-664874.2318642789,21.65564464669443,25.21060652874003
35,350,-665129.7350163958,21.826925901608725,25.840885118357257
36,360,-665391.4733484304,21.98722042985029,26.458076407048793
37,370,-665659.318182956,22.13742577997039,27.062608871006525
38,380,-665933.1450775039,22.27835344199554,27.6548995029385
39,390,-666212.8337017107,22.410731202887852,28.23535279914213
40,400,-666498.2677049374,22.535229934263086,28.80436024002411
41,410,-666789.3345858017,22.652465089809237,29.362300188468364
42,420,-667085.9255623051,22.762987275532154,29.909537706490667
43,430,-667387.935435834,22.86730067574828,30.446424495313842
44,440,-667695.2624551734,22.96586968984922,30.973299132310785
45,450,-668007.8081934716,23.059119733516127,31.4904873657244
46,460,-668325.4774113961,23.14743529302655,31.998302364740812
47,470,-668648.177946428,23.23116212632158,32.49704494489415
48,480,-668975.8205722214,23.31062972643406,32.98700402716495
49,490,-669308.3189011939,23.38613453912261,33.46845711272472
50,500,-669645.5892578188,23.457949305302428,33.94167063168716
51,510,-669987.5505780326,23.526331061168385,34.40690042926144
52,520,-670334.1243028603,23.59149461974168,34.86439202820329
53,530,-670685.234279233,23.6536526071373,35.314380988728956
54,540,-671040.8066514556,23.713014881371016,35.757093607439316
55,550,-671400.7697937218,23.769756079971636,36.19274725168071
56,560,-671765.0541962592,23.824044695938937,36.62155062810198
57,570,-672133.5924035416,23.876023063610774,37.04370411169075
58,580,-672506.3189158457,23.92584088790459,37.459400159528016
59,590,-672883.1701172655,23.97364041914124,37.868823852791685
60,600,-673264.0842153549,24.019523953087756,38.27215299663076
61,610,-673649.0011465279,24.063611928082537,38.66955841696181
62,620,-674037.8625308328,24.10601624100223,39.061204494466075
63,630,-674430.6115934481,24.146838739034138,39.44724942854227
64,640,-674827.1931148532,24.186170047521728,39.82784545933246
65,650,-675227.5533665518,24.22407354852462,40.203138940125065
66,660,-675631.6400551534,24.260650352697027,40.57327077312366
67,670,-676039.4022618391,24.29597005863916,40.93837678821874
68,680,-676450.7904199098,24.33008338719364,41.29858766957623
69,690,-676865.7562138779,24.363097520996234,41.65402952647564
70,700,-677284.2525984233,24.395033231616452,42.004823948779084
71,710,-677706.2337007115,24.42594854724302,42.351087908311456
72,720,-678131.6547959263,24.45593981982654,42.6929345458906
73,730,-678560.4722853182,24.485004999337097,43.03047297500015
74,740,-678992.6436266626,24.513197355379813,43.363808200554914
75,750,-679428.1273110204,24.540591721088493,43.693041857222845
76,760,-679866.8828343477,24.56721655795134,44.01827222675347
77,770,-680308.8706523072,24.59309593913473,44.33959407965303
78,780,-680754.0521560106,24.61827570894373,44.65709896750195
79,790,-681202.389627848,24.642791294641267,44.97087546068506
