,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-585671.2463364938,-0.0,0.0
1,10,-585671.3081653249,0.08294431179238018,0.04147215589619009
2,20,-585671.9261706083,0.49954681962262837,0.20783101669803727
3,30,-585674.7495954587,1.4968960305210204,0.5822003933571978
4,40,-585682.5969411152,3.011076470313128,1.2080676238998422
5,50,-585698.1496393329,4.745953589997952,2.059047541688779
6,60,-585723.3784763253,6.4620071077079055,3.072143492997566
7,70,-585759.517311927,8.044217565673172,4.185231054283213
8,80,-585807.2400589201,9.465884548053143,5.351435807513189
9,90,-585866.8519420393,10.739680517330996,6.53970250939601
10,100,-585938.4310642552,11.887468325090596,7.73072484328004
11,110,-586021.918485562,12.928425893842364,8.91275398198195
12,120,-586117.1719428906,13.87672845855122,10.078606723535632
13,130,-586223.9974868804,14.74255098251742,11.223824934277218
14,140,-586342.1685830546,15.533565639879091,12.345616327336757
15,150,-586471.4381835297,16.256072000978747,13.442255595460301
16,160,-586611.5468393324,16.915652609616515,14.512738806210109
17,170,-586762.2284055148,17.517489456236927,15.55657322838524
18,180,-586923.2142271344,18.066480311891077,16.57364018184016
19,190,-587094.23624975,18.56727058419785,17.56409924096515
20,200,-587275.0293489627,19.024248498841168,18.52831783723086
21,210,-587465.3330846888,19.44149842016631,19.466816869229657
22,220,-587664.8929677887,19.822791952779532,20.380227687684233
23,230,-587873.4613451897,20.17160786736057,21.269258901118878
24,240,-588090.7980265289,20.491112993960286,22.134670303000895
25,250,-588316.6706628513,20.784170134720625,22.97725189306948
26,260,-588550.854940259,21.05337011040534,23.79780779788707
27,270,-588793.1346527284,21.301042640642834,24.59714405261475
28,280,-589043.301654159,21.529277182021218,25.376059183469625
29,290,-589301.155742814,21.739949845100657,26.135337283187255
30,300,-589566.504478319,21.934742000506926,26.87574303799629
31,310,-589839.1629706168,22.115155805807422,27.598018132722064
32,320,-590118.9536251463,22.282537057902687,28.302878835635784
33,330,-590405.7058833304,22.438088191582985,28.991014510371315
34,340,-590699.255943296,22.58289045352719,29.663086873776045
