,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-732652.5123766542,-0.0,0.0
1,10,-732652.502478117,0.009310987961362115,0.004655493980681057
2,20,-732652.5180181755,0.09056503429892473,0.0319522465360933
3,30,-732652.8551205611,0.3714497293200111,0.11650179333082633
4,40,-732654.3349603828,0.9400711555033923,0.2959189759887522
5,50,-732658.1604260628,1.760617252875818,0.5894895957142581
6,60,-732665.5526141451,2.7301750984916002,0.9930659125428065
7,70,-732677.5506695875,3.761931641123374,1.4892899070211572
8,80,-732694.9714352307,4.80603351900354,2.0583764048962623
9,90,-732718.4376653471,5.838930315733888,2.683138517374755
10,100,-732748.4204239113,6.850128831720212,3.350029976501537
11,110,-732785.2754625101,7.8341246458439855,4.0486329928986375
12,120,-732829.2699279188,8.786873393773565,4.770849292450293
13,130,-732880.6009856579,9.704763833069592,5.510229164616613
14,140,-732939.4090099055,10.584587723045843,6.261510302151146
15,150,-733005.7873205998,11.423759701719973,7.020323282317259
16,160,-733079.789771101,12.220503643434498,7.783006011231919
17,170,-733161.4370147462,12.973890744172973,8.546481771976687
18,180,-733250.721791405,13.683801258268073,9.308172384371574
19,190,-733347.6135106437,14.350820414329064,10.065931143677153
20,200,-733452.0622589496,14.976088536030135,10.817986525876039
21,210,-733564.002260045,15.561165780317962,11.56289268642722
22,220,-733683.3549035663,16.10790409371839,12.299485362980338
23,230,-733810.0313252184,16.618342282090452,13.026842402863256
24,240,-733943.9346465352,17.094613647507508,13.744248497666558
25,250,-734084.9618552302,17.538877538390807,14.451163832757446
26,260,-734233.00541225,17.953272199293142,15.147196618127055
27,270,-734387.9545893034,18.33987334303384,15.832079136859102
28,280,-734549.6965967328,18.700668538606255,16.505646930607327
29,290,-734718.117506107,19.037546537903836,17.167821001223636
30,300,-734893.1030219852,19.35228754670245,17.81859268800035
31,310,-735074.5391077904,19.646555077581446,18.458010734384878
32,320,-735262.3124972997,19.92189567796885,19.086170274959297
33,330,-735456.3111031224,20.17974552692899,19.703203615032546
34,340,-735656.4243422118,20.42143423778467,20.309272544516716
35,350,-735862.5433960628,20.64818802131054,20.904561868486052
36,360,-736074.5614038742,20.861133137333724,21.48927394331695
37,370,-736292.3736181704,21.06130982436588,22.06362419848156
38,380,-736515.8775023558,21.249677807488425,22.627837517188166
39,390,-736744.9728238719,21.427104901999673,23.18214501407347
40,400,-736979.5616827401,21.59439552656842,23.726781431258132
41,410,-737219.5485474216,21.752300535840956,24.261983333094395
42,420,-737464.840258651,21.901498050947005,24.787987410502684
43,430,-737715.3460275916,22.042602247526506,25.305028858616424
44,440,-737970.9774041341,22.17619083663444,25.813340355674153
45,450,-738231.6482540384,22.30279429051734,26.313151349722464
46,460,-738497.2747231051,22.422893936885586,26.804687283182282
47,470,-738767.7751865212,22.53693830643897,27.288169054026366
48,480,-739043.0702107169,22.645337301492674,27.76381264708471
49,490,-739323.0824920308,22.748469155674684,28.231828813590987
50,500,-739607.7368127466,22.846683094976417,28.692422880823145
51,510,-739896.959976443,22.94030477214839,29.145794660519464
52,520,-740190.6807612523,23.029625490412656,29.5921383159046
53,530,-740488.8298567549,23.114920331415412,30.03164230868861
54,540,-740791.3398062891,23.196454123954716,30.464489577463247
55,550,-741098.1449599584,23.274455788749115,30.890857521808357
56,560,-741409.1814099362,23.349134328355973,31.31091789717029
57,570,-741724.3869400992,23.420704229487455,31.724837084759198
58,580,-742043.700966675,23.48936053712977,32.13277634609112
59,590,-742367.0645021554,23.555262297883704,32.534891700411386
60,600,-742694.4200824049,23.61856575444108,32.931333948629614
61,610,-743025.7117335661,23.679447704745776,33.32224916356208
62,620,-743360.8849086377,23.738032382406395,33.70777874222694
63,630,-743699.8864716685,23.794432543116272,34.08805918996949
64,640,-744042.6645944722,23.8488145520912,34.46322275638085
65,650,-744389.1687859887,23.90125231959969,34.83339740714291
66,660,-744739.3497894016,23.951868938090094,35.19870674677804
67,670,-745093.1595632748,24.000801447062894,35.559270757899505
68,680,-745450.551268536,24.048055051942356,35.91520515066513
69,690,-745811.4791772458,24.09374029891638,36.26662140587723
70,700,-746175.8986624068,24.13802312361057,36.613628177766806
71,710,-746543.7661768972,24.180936797373377,36.956330915955185
72,720,-746915.0392123483,24.222475039330362,37.2948308354782
73,730,-747289.6762395331,24.262802419281797,37.62922604591003
74,740,-747667.6366928671,24.301962646801258,37.959612074440514
75,750,-748048.8809884262,24.339913454387045,38.28608061445265
76,760,-748433.3703694113,24.37686736121552,38.608720831524984
77,770,-748821.0670244949,24.41285121176345,38.927619966769996
78,780,-749211.9339761456,24.447801050957008,39.24286164804216
79,790,-749605.9350611931,24.481838585162656,39.55452666692144
80,800,-750003.0349167521,24.515038013225308,39.862693999979825
81,810,-750403.1989655293,24.547359456014295,40.167439897784796
82,820,-750806.3933763653,24.578889074805367,40.46883808285348
83,830,-751212.5850226834,24.609697674092722,40.76696054850764
84,840,-751621.7415379662,24.639730847999274,41.061876803886854
85,850,-752033.831175102,24.6691454198152,41.35365448857484
86,860,-752448.8229047328,24.697930253169034,41.64235972644238
87,870,-752866.68633713,24.72597071855853,41.92805562418508
88,880,-753287.3916809194,24.753373572533206,42.21080307220254
89,890,-753710.9097615574,24.780345304513922,42.49066266328736
90,900,-754137.2119905482,24.80687857940211,42.76769407845421
91,910,-754566.2704198294,24.832699699729112,43.041953475505565
92,920,-754998.0575795455,24.85782799813903,43.31349377174337
93,930,-755432.546550497,24.882698921635033,43.58236861422919
94,940,-755869.7109198464,24.90733547524426,43.848632392416754
95,950,-756309.5249172598,24.931269722336058,44.112335428477664
96,960,-756751.963126307,24.954769626259804,44.3735253960127
97,970,-757197.0006607479,24.977891589215073,44.632250172983916
98,980,-757644.6131534452,25.0006454920918,44.88855650522019
99,990,-758094.776565716,25.023191724467324,45.142490575139526
100,1000,-758547.4675256822,25.04506467957981,45.3940956547216
101,1010,-759002.6628511789,25.066705511262846,45.643413579660404
102,1020,-759460.339923791,25.08822571617813,45.89048767981002
103,1030,-759920.476544765,25.109299444037752,46.13535898154514
104,1040,-760383.0508417885,25.13006003482718,46.37806638099282
105,1050,-760848.0414226013,25.150315064907698,46.61864738238509
106,1060,-761315.4271674918,25.170414857345243,46.85713915942469
107,1070,-761785.1873728433,25.19061034174803,47.093580663831375
108,1080,-762257.3017629525,25.210275486891547,47.32800803463469
109,1090,-762731.7503736803,25.229500050877764,47.56045392460946
110,1100,-763208.5134974824,25.24869130234599,47.79095235486602
111,1110,-763687.571906646,25.267880751288534,48.01953841617651
112,1120,-764168.9065743041,25.286483267927224,48.246243784857505
113,1130,-764652.4989822248,25.304728491872083,48.47109769606031
114,1140,-765138.3305380072,25.323431110399866,48.69413320155436
115,1150,-765626.3834838185,25.341555771389057,48.91538155913004
116,1160,-766116.639916135,25.35915896157934,49.13486895605893
117,1170,-766609.0824395935,25.37719429970877,49.35262522401027
118,1180,-767103.6938318358,25.39477100714609,49.568679734194305
119,1190,-767600.4573592317,25.411921898546364,49.78305747717532
120,1200,-768099.3561444881,25.42926520749461,49.99578552995955
121,1210,-768600.3741013567,25.44631700460741,50.206890871924415
122,1220,-769103.4948788763,25.46325447660638,50.41639854250535
123,1230,-769608.7028491031,25.48025631684868,50.624334420530076
124,1240,-770115.9822212895,25.49710065950613,50.830723587996914
125,1250,-770625.3178590664,25.513165758456857,51.03558714078682
126,1260,-771136.6944348833,25.529418027517565,51.238947018215555
127,1270,-771650.0970820724,25.545874603299488,51.440828542072275
128,1280,-772165.5112256287,25.56183906495562,51.641253785381565
129,1290,-772682.9222498353,25.578236552511317,51.84024517098295
130,1300,-773202.3160910818,25.5943223789216,52.037825324194266
131,1310,-773723.6786537386,25.610115482928624,52.23401355802925
132,1320,-774246.9961326516,25.625642897480073,52.428828919563955
133,1330,-774772.254940232,25.64108416187218,52.6222908019612
134,1340,-775299.4415205539,25.656600916257403,52.81441944070974
135,1350,-775828.5428309847,25.671243378601506,53.005231705398174
136,1360,-776359.5455952969,25.687110493495222,53.19474829080427
137,1370,-776892.4370160718,25.70280095871722,53.38299203994538
138,1380,-777427.204702538,25.71780305002447,53.56997832869383
139,1390,-777963.835668592,25.73392470129504,53.75572684899234
140,1400,-778502.3182454457,25.747758355224803,53.94025120329752
141,1410,-779042.6397670695,25.76211651568883,54.123562506242884
142,1420,-779584.7882907407,25.777477746247314,54.3056832960603
143,1430,-780128.7522673954,25.791820748152958,54.48663025419955
144,1440,-780674.5195973726,25.807351769227125,54.66642030593648
145,1450,-781222.0792630354,25.821636078631958,54.84506929065537
146,1460,-781771.4196128293,25.83610393276353,55.02258922305336
147,1470,-782322.5294686282,25.85117754057865,55.19899820635037
148,1480,-782875.3980129252,25.865478688036088,55.374310755604526
149,1490,-783430.0140082457,25.879002707265208,55.54853642051457
150,1500,-783986.3670829367,25.89345365748148,55.72169022367015
151,1510,-784544.4459311402,25.90967014532362,55.89379534561449
152,1520,-785104.2410739235,25.92239493445959,56.06485999133583
153,1530,-785665.741342815,25.93527770131779,56.234886836785876
154,1540,-786228.9367477879,25.950232052372193,56.403896646437346
155,1550,-786793.8172192483,25.9646159517872,56.57190747225831
156,1560,-787360.3727416658,25.97744597465498,56.7389253426998
157,1570,-787928.5936417336,25.991291599656353,56.904961201502005
158,1580,-788498.469619127,26.009268831921396,57.07004382827289
159,1590,-789069.9920493399,26.022812896716754,57.23418438599036
160,1600,-789643.1511216089,26.03207049239472,57.39736735123734
161,1610,-790217.9370765429,26.04707113304455,57.55960909678398
162,1620,-790794.3406417139,26.064987710391755,57.72094811497519
163,1630,-791372.3534257665,26.07593090134335,57.881383126010775
164,1640,-791951.9659612536,26.086046242480744,58.04090127290111
165,1650,-792533.1687764382,26.102497088955484,58.1995303777163
166,1660,-793115.9537310963,26.118111102405237,58.357297863088036
167,1670,-793700.3120051922,26.13053252388538,58.514201999749645
168,1680,-794286.2350216866,26.142947897524692,58.67024351961882
169,1690,-794873.7140441315,26.15693302360584,58.82543728798046
170,1700,-795462.7408236811,26.17248738912167,58.9798025678756
171,1710,-796053.3070731355,26.18481215965306,59.13334425020585
172,1720,-796645.4048580024,26.19675313639479,59.286061380591136
173,1730,-797239.0252043991,26.21079174609622,59.437968466102035
174,1740,-797834.161160495,26.22222998199868,59.58907343505271
175,1750,-798430.8036343324,26.23817410414606,59.7393908823593
176,1760,-799028.945561834,26.253245003335053,59.888940176481256
177,1770,-799628.5793612037,26.264153915306213,60.037715784061575
178,1780,-800229.6966097647,26.278231678635095,60.185723566770314
179,1790,-800832.2904900898,26.29009164366289,60.332974834472395
180,1800,-801436.3528782973,26.30440042039858,60.47947862359578
181,1810,-802041.8764997901,26.318772049408032,60.62525019273307
182,1820,-802648.8545691456,26.329770891799384,60.770288518341836
183,1830,-803257.2788127058,26.343396710944944,60.91459954750462
184,1840,-803867.1430228272,26.357120316312518,61.058198650805565
185,1850,-804478.4392451211,26.368453356961385,61.20108735051471
186,1860,-805091.1612852733,26.38248001102501,61.34327408585959
187,1870,-805705.3009647487,26.40021257517788,61.48478353472746
188,1880,-806320.8531993346,26.40931340169614,61.625609874047214
189,1890,-806937.8097886705,26.418966232426733,61.76573885474936
190,1900,-807556.1641162473,26.437004001782043,61.90520136297127
191,1910,-808175.909928197,26.451612803525816,62.04401748582895
192,1920,-808797.0407182131,26.46112932432402,62.18217173647281
193,1930,-809419.5496724992,26.471186065604527,62.31965912966407
194,1940,-810043.4300554547,26.486530795047706,62.45650158653298
195,1950,-810668.6756729807,26.501361241927537,62.592718049472026
