,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-657684.2989049942,-0.0,0.0
1,10,-657684.3564734422,0.06024167314171791,0.030120836570858955
2,20,-657684.892058425,0.3351299192756414,0.14402415296062826
3,30,-657686.8812772639,1.0195175886852668,0.39772623089374975
4,40,-657692.1878102414,2.1699248979217374,0.838886441248178
5,50,-657702.9996489347,3.6178021752421046,1.4719072710126058
6,60,-657721.1828110369,5.142752563592512,2.2622502021695254
7,70,-657748.0604380075,6.603711118499631,3.162506567123637
8,80,-657784.4628289231,7.944666537479495,4.130741877037508
9,90,-657830.856719186,9.159062550135426,5.136120343970833
10,100,-657887.4661794967,10.260070081189046,6.157960656371142
11,110,-657954.3599450317,11.264808763732432,7.183000922418433
12,120,-658031.5098103951,12.188057962164748,8.202873432829803
13,130,-658118.8261118365,13.040718811491388,9.212275289387618
14,140,-658216.1803011673,13.830447242927042,10.207785941912153
15,150,-658323.417567292,14.563013831328137,11.187164280680008
16,160,-658440.3663554908,15.24259322993457,12.14892911349307
17,170,-658566.8437262977,15.87277240814001,13.092106399226761
18,180,-658702.658892889,16.457117067830403,14.016094787298064
19,190,-658847.6175850873,16.998181703823498,14.92055749922438
20,200,-659001.5228015492,17.498767696553834,15.805347262791475
21,210,-659164.1770895692,17.962139092467254,16.670486433597397
22,220,-659335.3842456024,18.390810419921763,17.516129376078606
23,230,-659514.9501923224,18.78737265131205,18.34252348476148
24,240,-659702.6835267828,19.154370306339132,19.14999401073728
25,250,-659898.3969866431,19.494009476111398,19.938923581641575
26,260,-660101.9067584737,19.80882003737497,20.709742618036397
27,270,-660313.0341961256,20.10062496123135,21.46291526048735
28,280,-660531.6050979145,20.371121779631338,22.19891908784484
29,290,-660757.4501092543,20.62234658568923,22.918246819377234
30,300,-660990.4050398975,20.855783707927902,23.62140091426263
31,310,-661230.3106383634,21.073153650792687,24.308886884407546
32,320,-661477.0126934912,21.27583595989273,24.98121139629366
33,330,-661730.3623334734,21.464352954109152,25.638863802168636
34,340,-661990.2151420347,21.64022016227248,26.282319802968416
35,350,-662256.4314261036,21.804871480708243,26.912056498776657
36,360,-662528.876673122,21.95862022403162,27.52853549923166
37,370,-662807.4203718546,22.102775213401806,28.132202487209
38,380,-663091.936671125,22.238295271416387,28.723497787049567
39,390,-663382.3042097281,22.36512043912661,29.302839248679813
40,400,-663678.4054009926,22.484233113704306,29.87062447592325
41,410,-663980.1266326675,22.596520675727486,30.427244715158302
42,420,-664287.3583639739,22.702063475840244,30.97307470089872
43,430,-664599.994441632,22.80156865248279,31.508471880540306
44,440,-664917.9323397893,22.89561292501171,32.03378381935763
45,450,-665241.0730121336,22.984341984018197,32.54934281656024
46,460,-665569.320509173,23.06835994936985,33.055467437088375
47,470,-665902.5821088433,23.148036634875428,33.55246618889796
48,480,-666240.7681219908,23.223272356577183,34.040630984827295
49,490,-666583.7916622635,23.29477359530574,34.52024184325565
50,500,-666931.5684617725,23.3628185471753,34.99157180010807
51,510,-667284.0173573941,23.42689752930317,35.454875451553384
52,520,-667641.0590563919,23.48812861389011,35.91039830804512
53,530,-668002.6170898026,23.546727767889237,36.358384639769795
54,540,-668368.6174422528,23.602335907984525,36.79906372827245
55,550,-668738.9879375077,23.655456895619942,37.23265348371061
56,560,-669113.6590398974,23.705931107443718,37.6593631910262
57,570,-669492.5627538641,23.75427865043158,38.07939415555447
58,580,-669875.6334454758,23.800517870305463,38.49294189910142
59,590,-670262.8072394489,23.84456917412762,38.90019139741343
60,600,-670654.0220013097,23.887126718298575,39.30132340685231
61,610,-671049.2175346432,23.92803387541216,39.696514221379765
62,620,-671448.335308289,23.966847574751547,40.0859266754167
63,630,-671851.3183438543,24.00367706243701,40.46971307775675
64,640,-672258.1110975747,24.039440551586495,40.848026580577425
65,650,-672668.6595829462,24.074457101625782,41.22102284143766
66,660,-673082.9115372051,24.107695421401733,41.58884502921137
67,670,-673500.8158725622,24.139010357227917,41.95162095377163
68,680,-673922.3227013333,24.17004926427035,42.30948377258173
69,690,-674347.3835116453,24.20018724176931,42.6625683987193
70,700,-674775.9515414994,24.22800497262511,43.01098925276019
71,710,-675207.9802447815,24.255371369657173,43.35485890557029
72,720,-675643.4249559355,24.282506432477334,43.6942998968967
73,730,-676082.2419758724,24.308221294309,44.02942308018828
74,740,-676524.3886517229,24.332580305205294,44.36032707297418
75,750,-676969.8232802753,24.35638761271548,44.68711231677881
76,760,-677418.5050936213,24.38023532199441,45.00988451921003
77,770,-677870.3946580717,24.402696781180566,45.32873987423082
78,780,-678325.4532383208,24.42400161211845,45.64376305713668
79,790,-678783.6427614687,24.445601923396875,45.955046169550045
80,800,-679244.9265120521,24.466506518423614,46.262680834805366
81,810,-679709.2683848268,24.485824856071964,46.566743567558305
82,820,-680176.6330390426,24.504833405476354,46.86731035045815
83,830,-680646.985773546,24.524013904380322,47.16446508986556
84,840,-681120.2931433041,24.54224664060166,47.45828491481807
85,850,-681596.5219641469,24.559953889198187,47.74884003324551
86,860,-682075.6400316801,24.577136294369303,48.036200677533635
87,870,-682557.6157801073,24.59373942652322,48.32043433486397
88,880,-683042.4181462396,24.610350074735408,48.601609199417
89,890,-683530.0170624708,24.626260090278684,48.87979050972062
90,900,-684020.3827835603,24.641677260689967,49.15503849251254
91,910,-684513.4863268973,24.65704279083002,49.42741495660884
92,920,-685009.2992774413,24.67167976420599,49.69697842981113
93,930,-685507.7938518912,24.68597722899305,49.96378395360371
94,940,-686008.9425886112,24.700290196324865,50.22788878360734
95,950,-686512.7190014997,24.713653077676874,50.48934516423178
96,960,-687019.0966615666,24.727038100361824,50.74820367930806
97,970,-687528.0498997725,24.741022984089796,51.00452138239052
98,980,-688039.5536670639,24.75410339621608,51.25834887459932
99,990,-688553.5832817501,24.765783909737365,51.509725037214224
100,1000,-689070.1143882332,24.777916003076683,51.758694333945456
101,1010,-689589.123041065,24.79057625882262,52.005309539004514
102,1020,-690110.5862758036,24.80224127664711,52.2496147781494
103,1030,-690634.4808503833,24.813674824929404,52.491649124410465
104,1040,-691160.7845325022,24.825214547151404,52.73145584958547
105,1050,-691689.4750382744,24.836412932010568,52.969076475610194
106,1060,-692220.530948642,24.84687501238659,53.20454734924424
107,1070,-692753.9307168063,24.857964834905655,53.4379083040505
108,1080,-693289.6535440317,24.869076186208986,53.66920163020549
109,1090,-693827.6790924728,24.878810487475285,53.89845922606618
110,1100,-694367.9869083792,24.888589222595563,54.12571216096548
111,1110,-694910.5573068502,24.898624940001252,54.35099808017548
112,1120,-695455.3706688078,24.909090365981683,54.5743553446504
