,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-671547.5754268607,-0.0,0.0
1,10,-671547.6163462886,0.0406428166810656,0.0203214083405328
2,20,-671547.9999169951,0.21899385310243819,0.09539127995667514
3,30,-671549.3238978116,0.6840195285069058,0.26414299798343566
4,40,-671552.8042841915,1.5484866465558298,0.5717070835540654
5,50,-671560.1517097147,2.7579616683215136,1.0410640812056955
6,60,-671573.0935178534,4.1455142067919954,1.662319765270513
7,70,-671593.0432149643,5.558503211647622,2.4048152261922953
8,80,-671621.019512894,6.909622996510006,3.2337026071632864
9,90,-671657.6975957091,8.165378192730712,4.1191861662635345
10,100,-671703.4936229171,9.32159162106109,5.038897869134962
11,110,-671758.6425461994,10.385407559579475,5.977041430168901
12,120,-671823.2540994245,11.366497137711848,6.922709457554447
13,130,-671897.3526150881,12.273675082885894,7.868377931223949
14,140,-671980.9028997242,13.113933102751623,8.808797111158492
15,150,-672073.827838078,13.892938865566972,9.74024982701376
16,160,-672176.0200803175,14.61513410625048,10.660070730019653
17,170,-672287.3508980428,15.284338193028816,11.566333029458475
18,180,-672407.6750961764,15.904318424477234,12.457659010979114
19,190,-672536.837106697,16.478400339590735,13.333087748081015
20,200,-672674.6730418676,17.009663428296342,14.19197144798818
21,210,-672821.0146844873,17.501023044018066,15.033904058553162
22,220,-672975.6903144153,17.955656119360356,15.858678177032562
23,230,-673138.5275442661,18.376505592939814,16.66625052267482
24,240,-673309.3542344527,18.765896968846192,17.456695961546213
25,250,-673487.9995442065,19.12629314530929,18.230178011303362
26,260,-673674.2946494382,19.4602720759169,18.98693987566949
27,270,-673868.0736131795,19.76996835366009,19.72728640219721
28,280,-674069.1739445406,20.057403268339073,20.45156484277104
29,290,-674277.4365241579,20.324489227609572,21.16015498633933
30,300,-674492.7066728834,20.572369085712126,21.853450032496767
31,310,-674714.8332133812,20.803049093653712,22.53185590048961
32,320,-674943.6692266738,21.018264356534928,23.19579933095811
33,330,-675179.0725465964,21.218851925371574,23.84570746797399
34,340,-675420.9046109099,21.40609904794257,24.482000798653466
35,350,-675669.0317003272,21.580899265943987,25.105094933829974
36,360,-675923.3236410847,21.744607289973672,25.715401929355
37,370,-676183.6547389333,21.898004065087324,26.3133293377905
38,380,-676449.9033460262,22.041745455213782,26.899271278159002
39,390,-676721.9512954477,22.176879264868287,27.473613209609184
40,400,-676999.684888289,22.303707829909456,28.03672852241725
41,410,-677282.9933691567,22.422807645532885,28.588973744017128
42,420,-677571.7701383816,22.535074406512983,29.130697313058768
43,430,-677865.9113527639,22.641434512331095,29.662244502703828
44,440,-678165.3173640996,22.74150505195142,30.183943190805437
45,450,-678469.8911359174,22.835479543078645,30.696096935056264
46,460,-678779.5386853192,22.92467353441164,31.199005719604607
