,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-687916.9909850977,-0.0,0.0
1,10,-687917.0368733621,0.042538204611628314,0.021269102305814157
2,20,-687917.4508965007,0.21809721916215494,0.09706250940216704
3,30,-687918.8301780755,0.6462621824350206,0.2592971779318759
4,40,-687922.272752287,1.411860619066283,0.5434901190543314
5,50,-687929.2403118879,2.474382792279357,0.9674109756655526
6,60,-687941.2132142639,3.7096671111183244,1.5239881808200153
7,70,-687959.4455080386,4.995261710888006,2.1899315146671143
8,80,-687984.884790315,6.251869876449927,2.937477789865807
9,90,-688018.195056823,7.4421718740079115,3.741673650144367
10,100,-688059.8157157482,8.555060622660674,4.58288067427784
11,110,-688110.0209250473,9.591800692633841,5.446624645985139
12,120,-688168.9668836722,10.557869433250744,6.322526812944853
13,130,-688236.7260685177,11.459218136215348,7.203177198415506
14,140,-688313.3109497069,12.301000190753262,8.083237792884757
15,150,-688398.6903447148,13.08740412116459,8.958806032307622
16,160,-688492.8007305724,13.821888329135248,9.826986846631918
17,170,-688595.554365235,14.50744769267621,10.685610494937283
18,180,-688706.8452322608,15.146820972621203,11.533045159974428
19,190,-688826.5535567969,15.74262998002814,12.368069923308214
20,200,-688954.5493361105,16.297438537061684,13.189785623051286
21,210,-689090.695127264,16.81377324249479,13.997549520822941
22,220,-689234.8483170343,17.294114098127466,14.79092550285277
23,230,-689386.8629324788,17.740883788486805,15.569644937243721
24,240,-689546.5911417729,18.15642550103368,16.33357518855482
25,250,-689713.88444863,18.542990343485144,17.082693860029394
26,260,-689888.5946756799,18.90271905769474,17.81706749493169
27,270,-690070.5747493309,19.23762788212047,18.536833691151696
28,280,-690259.6793158295,19.549612146813928,19.242186276246503
29,290,-690455.7652394867,19.840439841209445,19.933363042140265
30,300,-690658.6919733317,20.111755932244684,20.610635523330714
31,310,-690868.3218535614,20.365082161396245,21.274300522654087
32,320,-691084.5203054103,20.601819222047936,21.924673015117875
33,330,-691307.1559930057,20.823261787835495,22.56208040694473
34,340,-691536.1009115163,21.03060210010734,23.186857933722784
35,350,-691771.2304497686,21.224929782736606,23.799344776629002
36,360,-692012.4234024461,21.40724674640221,24.399880930717334
37,370,-692259.5619691403,21.578472406280355,24.98880478065839
38,380,-692512.531723094,21.73944843192586,25.566451133225925
39,390,-692771.2215667891,21.890946326195262,26.133149665358356
40,400,-693035.5236736704,22.033671210636427,26.68922371351946
41,410,-693305.3334170801,22.16827185880099,27.23498938241828
42,420,-693580.5492954573,22.29534173244024,27.77075489609415
43,430,-693861.0728496724,22.41542332668035,28.296820088291135
44,440,-694146.8085760371,22.52901942755566,28.813476129982156
45,450,-694437.6638388477,22.636588717054078,29.32100536679791
46,460,-694733.5487833691,22.738548336533082,29.819681153302373
47,470,-695034.3762402158,22.835285307758074,30.309767854498933
48,480,-695340.0616414286,22.927159680286422,30.791521001605723
49,490,-695650.5229269523,23.014504367066493,31.265187462905303
50,500,-695965.6804658883,23.09761001699373,31.73100544437184
51,510,-696285.4569641926,23.176756778085817,32.189204650209284
52,520,-696609.7773783617,23.252212449477483,32.64000672173715
53,530,-696938.5688498862,23.324205705855388,33.08362536406784
54,540,-697271.7606081038,23.39295856535908,33.52026650873594
55,550,-697609.2839096974,23.458672663909965,33.95012863751471
56,560,-697951.0719553018,23.521535430057014,34.37340300729265
57,570,-698297.0598223552,23.58172806361686,34.79027398020553
58,580,-698647.1843992355,23.639407797309104,35.20091924217413
59,590,-699001.3843161102,23.694724493904463,35.60550999037514
60,600,-699359.5998830295,23.74781642470026,36.00421121052932
61,610,-699721.773029861,23.798809200248797,36.39718188729457
62,620,-700087.8472444399,23.847830220201374,36.78457530530723
63,630,-700457.7675201367,23.895000720440294,37.1665393796211
64,640,-700831.4803027665,23.940428345091732,37.54321683892776
65,650,-701208.9334394411,23.98418346137614,37.914745154307454
66,660,-701590.0761288089,24.02635540263145,38.28125671720045
67,670,-701974.8588562603,24.067064220973407,38.642879518032714
68,680,-702363.233382368,24.106377727130752,38.99973725231102
69,690,-702755.1526696293,24.144359869341326,39.35194915920437
70,700,-703150.5708581195,24.181083606585112,39.69963031445368
71,710,-703549.4432133574,24.216627904577766,40.04289197334583
72,720,-703951.726095932,24.251044204342175,40.38184163567348
73,730,-704357.3769277359,24.28437950121588,40.716583031316986
74,740,-704766.3541360801,24.3166980891199,41.04721641187935
75,750,-705178.6171514301,24.348049636173474,41.37383875690284
76,760,-705594.1263373576,24.378498771588838,41.696543948150065
77,770,-706012.843001597,24.4080687465815,42.015422761389345
