,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-631600.9427812279,-0.0,0.0
1,10,-631601.0259604596,0.0925033972802339,0.04625169864011695
2,20,-631601.8423666824,0.48908581591676925,0.21477485125942625
3,30,-631604.8924548143,1.370205941592576,0.5654139621707146
4,40,-631612.5236684552,2.694434035627637,1.1305858735562653
5,50,-631627.0283617235,4.232207528155414,1.8906108808252613
6,60,-631650.1493105843,5.77818180671311,2.7953467842002286
7,70,-631683.021928858,7.2230713927565375,3.7927956056708356
8,80,-631726.2961647582,8.533612404554152,4.842080051866652
9,90,-631780.2901896654,9.71534420342941,5.915172171786253
10,100,-631845.1110809548,10.786267370043786,6.9942268849234095
11,110,-631920.7377580436,11.764693099883159,8.068299030693016
12,120,-632007.0710666316,12.665010840981267,9.130766593001319
13,130,-632103.9660286031,13.497032528973063,10.177592013771939
14,140,-632211.2477551117,14.267863079917154,11.206275188070142
15,150,-632328.7236300211,14.982591791587762,12.21526145302487
16,160,-632456.1897666772,15.644951276993382,13.20358590681717
17,170,-632593.43480955,16.25842021460704,14.170679464064596
18,180,-632740.2441564352,16.82614186881108,15.116261123595176
19,190,-632896.4010954661,17.351202364417254,16.04026454182167
20,200,-633061.6899725684,17.83633224287769,16.942783436430908
21,210,-633235.8962284653,18.28446815119531,17.824036222293216
22,220,-633418.8084531873,18.698489883530435,18.684346381254727
23,230,-633610.2189198476,19.08095175838681,19.52411535952124
24,240,-633809.92418814,19.434337913640775,20.343800698484117
25,250,-634017.7258751576,19.76103540990155,21.143903446549665
26,260,-634233.430486282,20.063471771089844,21.924960150345576
27,270,-634456.8504871235,20.34328618172146,22.68752366782719
28,280,-634687.8036640718,20.602664538065397,23.432155913604944
29,290,-634926.11330084,20.843527105957037,24.15943179449823
30,300,-635171.6092197732,21.06681403348924,24.86991651872231
31,310,-635424.1258071165,21.2744533162855,25.56416642975819
32,320,-635683.5038608526,21.467974432744086,26.242739874080872
33,330,-635949.5892208979,21.648292534446227,26.906181406932593
34,340,-636222.2334699729,21.816126977239037,27.55501123599679
35,350,-636501.2929892665,21.972840944232352,28.189734360495642
36,360,-636786.6291108311,22.119954763515814,28.81085368220811
37,370,-637078.108575857,22.2573353844898,29.418850078638933
38,380,-637375.6024792043,22.385981742368326,30.01417727247899
39,390,-637678.986146647,22.506906872527907,30.59727975193527
40,400,-637988.1400388853,22.620231960201664,31.168582739547126
41,410,-638302.9477244858,22.727317973575584,31.728498053361545
42,420,-638623.2978305265,22.82806618752073,32.27742316038202
43,430,-638949.0822954695,22.922451894404336,32.81572599139763
44,440,-639280.1966375844,23.01177139179778,33.34376353188418
45,450,-639616.5400775177,23.09644501404552,33.861888100886425
46,460,-639958.0152368166,23.17656127362276,34.37043441198766
47,470,-640304.5280329118,23.252177242317636,34.869717143950396
48,480,-640655.9873675911,23.3236635603011,35.360035560387765
49,490,-641012.3050753206,23.391601114155492,35.8416801964282
50,500,-641373.3958846659,23.456179366767138,36.314931797383174
51,510,-641739.1773023125,23.517739746964107,36.780059667001474
52,520,-642109.5693452341,23.57625833407525,37.2373205346259
53,530,-642484.4948153803,23.631587476501515,37.686954830795
54,540,-642863.8783891362,23.684563629724863,38.12919585038035
55,550,-643247.6474888078,23.735122769736492,38.564271208831634
