,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-661433.5056574428,-0.0,0.0
1,10,-661433.5620579931,0.038985692098503937,0.019492846049251968
2,20,-661433.9603410934,0.2101746761763934,0.0915293611426023
3,30,-661435.2342867777,0.6590306582918857,0.25391147323534824
4,40,-661438.6185182674,1.4635999371646902,0.546699908429582
5,50,-661445.6935910061,2.531032976723509,0.9827531982475192
6,60,-661457.9126948131,3.713568642432801,1.5453205494559368
7,70,-661476.4011590483,4.906074527523014,2.2052184978150757
8,80,-661501.9639956417,6.057788186031393,2.9342641542651102
9,90,-661535.1434386764,7.153165476332651,3.710273997910553
10,100,-661576.3042374004,8.191331376030575,4.517238648730562
11,110,-661625.6775648659,9.176857820476291,5.343935118462831
12,120,-661683.4098046633,10.11485057529062,6.182517126697347
13,130,-661749.5820831299,11.006748574602533,7.027305717639681
14,140,-661824.2315405104,11.853101862769108,7.873967267805709
15,150,-661907.353520085,12.655884412815794,8.719155148093703
16,160,-661998.9192816798,13.414054705062881,9.560207171387447
17,170,-662098.8739821409,14.127742507812222,10.394918219385726
18,180,-662207.1421596118,14.79945940307226,11.221536152380576
19,190,-662323.636191274,15.427690373058422,12.038624098832951
20,200,-662448.2527251062,16.01425464631756,12.84497231691348
21,210,-662580.877748561,16.56427847509913,13.639716265811876
22,220,-662721.3917998932,17.077378969074918,14.422226097849489
23,230,-662869.6703124671,17.55462040092389,15.191970529775427
24,240,-663025.580654624,18.000620786938825,15.948605645465431
25,250,-663188.9926509836,18.416092196348476,16.691940422453627
26,260,-663359.7705439997,18.80434530687634,17.421884291512832
27,270,-663537.7807370143,19.166344057137003,18.13843861399946
28,280,-663722.890195386,19.503359823091877,18.84164519390906
29,290,-663914.9634068332,19.82039204147587,19.531650373731097
30,300,-664113.8717893767,20.11706461533322,20.208665681253475
31,310,-664319.4845484336,20.392818631514114,20.87286652104958
32,320,-664531.6761361879,20.651488703023688,21.524462461574878
33,330,-664750.3190043971,20.89728612544423,22.16376751991484
34,340,-664975.2948438778,21.127288239024335,22.791088482549824
35,350,-665206.4835041491,21.342520857855575,23.406677052941816
36,360,-665443.7691847901,21.546378651168197,24.01082546709804
37,370,-665687.0394563101,21.738992891911714,24.603850900357067
38,380,-665936.1839464259,21.921784807025688,25.18606561150664
